compound,n_strains,n_clades,f_observed,empirical_p,null_f_mean,null_f_p95
row_4109_palmitoyl_arginine,265,6,1.5453010954423045,0.17991004497751126,1.0463730978842427,4.159018710319047
row_51126_myristoyl_arginine,265,6,1.0567645529648688,0.3793103448275862,1.005315297712794,1.9135041718052233
row_51152_palmitoyl_lysine,265,6,1.837430098560243,0.06046976511744128,0.9928054079690065,1.9085508167805532
row_24998_histidine_MH,265,6,1.3807579716916054,0.1969015492253873,1.0268104183110682,2.022014706614008
row_40740_histidine_MNa,265,6,2.6504220174513344,0.012993503248375811,1.0143851597953644,2.0436849092736726
