compound,headgroup,chain1_n,chain2_n,formula,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,total_scans,dedup_group_id,sirius_formula,sirius_structure_name,sirius_npc_class
diacyl-lysine-3OH-C10:0/C14:0,lysine,10,14,C30H58N2O5,[M+Na]+,549.4237936711,14588,549.4138,-18.189367142675962,5.79,True,False,10,asid_9487,,,
diacyl-lysine-3OH-C14:0/C10:0,lysine,14,10,C30H58N2O5,[M+Na]+,549.4237936711,14588,549.4138,-18.189367142675962,5.79,True,False,10,asid_9487,,,
diacyl-lysine-3OH-C15:0/C10:0,lysine,15,10,C31H60N2O5,[M+NH4]+,558.4840485876999,21121,558.4835,-0.9822799796505164,6.584386,True,False,13,asid_21121,C34H65NO3,,
diacyl-ornithine-3OH-C12:0/C14:0,ornithine,12,14,C31H60N2O5,[M+NH4]+,558.4840485876999,21121,558.4835,-0.9822799796505164,6.584386,True,False,13,asid_21121,C34H65NO3,,
diacyl-ornithine-3OH-C10:0/C16:0,ornithine,10,16,C31H60N2O5,[M+NH4]+,558.4840485876999,21121,558.4835,-0.9822799796505164,6.584386,True,False,13,asid_21121,C34H65NO3,,
diacyl-ornithine-3OH-C14:0/C12:0,ornithine,14,12,C31H60N2O5,[M+NH4]+,558.4840485876999,21121,558.4835,-0.9822799796505164,6.584386,True,False,13,asid_21121,C34H65NO3,,
diacyl-lysine-3OH-C10:0/C15:0,lysine,10,15,C31H60N2O5,[M+NH4]+,558.4840485876999,21121,558.4835,-0.9822799796505164,6.584386,True,False,13,asid_21121,C34H65NO3,,
diacyl-ornithine-3OH-C16:0/C10:0,ornithine,16,10,C31H60N2O5,[M+NH4]+,558.4840485876999,21121,558.4835,-0.9822799796505164,6.584386,True,False,13,asid_21121,C34H65NO3,,
diacyl-lysine-3OH-C12:0/C14:0,lysine,12,14,C32H62N2O5,[M+Na]+,577.4550937987001,3888,577.4454,-16.78710397439204,5.938155,True,False,21,asid_3888,,,
diacyl-lysine-3OH-C12:0/C14:0,lysine,12,14,C32H62N2O5,[M+Na]+,577.4550937987001,32746,577.4654,17.84762384232623,5.628,True,False,8,asid_32746,,,
