compound,headgroup,chain1_n,chain2_n,formula,neutral_mass,adduct,target_mz
diacyl-ornithine-3OH-C10:0/C18:0,ornithine,10,18,C33H64N2O5,568.4815231625,[M+H]+,569.4887996144
diacyl-lysine-3OH-C17:0/C10:0,lysine,17,10,C33H64N2O5,568.4815231625,[M+H]+,569.4887996144
diacyl-ornithine-3OH-C15:0/C12:0,ornithine,15,12,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-ornithine-3OH-C17:0/C10:0,ornithine,17,10,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-lysine-3OH-C16:0/C10:0,lysine,16,10,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-ornithine-3OH-C10:0/C17:0,ornithine,10,17,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-lysine-3OH-C10:0/C16:0,lysine,10,16,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-lysine-3OH-C14:0/C12:0,lysine,14,12,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-ornithine-3OH-C12:0/C15:0,ornithine,12,15,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-lysine-3OH-C12:0/C14:0,lysine,12,14,C32H62N2O5,554.4658730987001,[M+NH4]+,572.4996986515
diacyl-lysine-3OH-C12:0/C14:0,lysine,12,14,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-ornithine-3OH-C17:0/C10:0,ornithine,17,10,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-lysine-3OH-C14:0/C12:0,lysine,14,12,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-lysine-3OH-C10:0/C16:0,lysine,10,16,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-lysine-3OH-C16:0/C10:0,lysine,16,10,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-ornithine-3OH-C15:0/C12:0,ornithine,15,12,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-ornithine-3OH-C10:0/C17:0,ornithine,10,17,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-ornithine-3OH-C12:0/C15:0,ornithine,12,15,C32H62N2O5,554.4658730987001,[M+Na]+,577.4550937987001
diacyl-ornithine-3OH-C17:0/C12:0,ornithine,17,12,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-lysine-3OH-C12:0/C16:0,lysine,12,16,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-ornithine-3OH-C14:0/C15:0,ornithine,14,15,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-ornithine-3OH-C12:0/C17:0,ornithine,12,17,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-ornithine-3OH-C15:0/C14:0,ornithine,15,14,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-lysine-3OH-C14:0/C14:0,lysine,14,14,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
diacyl-lysine-3OH-C16:0/C12:0,lysine,16,12,C34H66N2O5,582.4971732263,[M+H]+,583.5044496782
