compound,headgroup,chain1_n,chain2_n,formula,neutral_mass,adduct,target_mz
diacyl-lysine-3OH-C17:0/C14:0,lysine,17,14,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-lysine-3OH-C16:0/C15:0,lysine,16,15,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-lysine-3OH-C14:0/C17:0,lysine,14,17,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-ornithine-3OH-C15:0/C17:0,ornithine,15,17,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-lysine-3OH-C16:0/C15:0,lysine,16,15,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-ornithine-3OH-C14:0/C18:0,ornithine,14,18,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-lysine-3OH-C15:0/C16:0,lysine,15,16,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-lysine-3OH-C17:0/C14:0,lysine,17,14,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-ornithine-3OH-C18:0/C14:0,ornithine,18,14,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-ornithine-3OH-C17:0/C15:0,ornithine,17,15,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-lysine-3OH-C14:0/C17:0,lysine,14,17,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-ornithine-3OH-C16:0/C16:0,ornithine,16,16,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-ornithine-3OH-C15:0/C17:0,ornithine,15,17,C37H72N2O5,624.5441234177,[M+Na]+,647.5333441177
diacyl-ornithine-3OH-C17:0/C17:0,ornithine,17,17,C39H76N2O5,652.5754235453,[M+H]+,653.5826999972
diacyl-ornithine-3OH-C16:0/C18:0,ornithine,16,18,C39H76N2O5,652.5754235453,[M+H]+,653.5826999972
diacyl-lysine-3OH-C17:0/C16:0,lysine,17,16,C39H76N2O5,652.5754235453,[M+H]+,653.5826999972
diacyl-lysine-3OH-C15:0/C18:0,lysine,15,18,C39H76N2O5,652.5754235453,[M+H]+,653.5826999972
diacyl-lysine-3OH-C18:0/C15:0,lysine,18,15,C39H76N2O5,652.5754235453,[M+H]+,653.5826999972
diacyl-lysine-3OH-C16:0/C17:0,lysine,16,17,C39H76N2O5,652.5754235453,[M+H]+,653.5826999972
diacyl-ornithine-3OH-C18:0/C16:0,ornithine,18,16,C39H76N2O5,652.5754235453,[M+H]+,653.5826999972
diacyl-ornithine-3OH-C18:0/C15:0,ornithine,18,15,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-ornithine-3OH-C15:0/C18:0,ornithine,15,18,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-lysine-3OH-C14:0/C18:0,lysine,14,18,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-ornithine-3OH-C16:0/C17:0,ornithine,16,17,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-ornithine-3OH-C17:0/C16:0,ornithine,17,16,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-lysine-3OH-C17:0/C15:0,lysine,17,15,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-lysine-3OH-C18:0/C14:0,lysine,18,14,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-lysine-3OH-C15:0/C17:0,lysine,15,17,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-lysine-3OH-C16:0/C16:0,lysine,16,16,C38H74N2O5,638.5597734815001,[M+NH4]+,656.5935990343
diacyl-lysine-3OH-C17:0/C15:0,lysine,17,15,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-lysine-3OH-C14:0/C18:0,lysine,14,18,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-lysine-3OH-C18:0/C14:0,lysine,18,14,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-lysine-3OH-C15:0/C17:0,lysine,15,17,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-ornithine-3OH-C15:0/C18:0,ornithine,15,18,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-ornithine-3OH-C16:0/C17:0,ornithine,16,17,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-ornithine-3OH-C17:0/C16:0,ornithine,17,16,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-ornithine-3OH-C18:0/C15:0,ornithine,18,15,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-lysine-3OH-C16:0/C16:0,lysine,16,16,C38H74N2O5,638.5597734815001,[M+Na]+,661.5489941815001
diacyl-lysine-3OH-C18:0/C16:0,lysine,18,16,C40H78N2O5,666.5910736091,[M+H]+,667.598350061
diacyl-ornithine-3OH-C18:0/C17:0,ornithine,18,17,C40H78N2O5,666.5910736091,[M+H]+,667.598350061
diacyl-lysine-3OH-C16:0/C18:0,lysine,16,18,C40H78N2O5,666.5910736091,[M+H]+,667.598350061
diacyl-lysine-3OH-C17:0/C17:0,lysine,17,17,C40H78N2O5,666.5910736091,[M+H]+,667.598350061
diacyl-ornithine-3OH-C17:0/C18:0,ornithine,17,18,C40H78N2O5,666.5910736091,[M+H]+,667.598350061
diacyl-lysine-3OH-C17:0/C16:0,lysine,17,16,C39H76N2O5,652.5754235453,[M+NH4]+,670.6092490981
diacyl-ornithine-3OH-C18:0/C16:0,ornithine,18,16,C39H76N2O5,652.5754235453,[M+NH4]+,670.6092490981
diacyl-lysine-3OH-C15:0/C18:0,lysine,15,18,C39H76N2O5,652.5754235453,[M+NH4]+,670.6092490981
diacyl-ornithine-3OH-C16:0/C18:0,ornithine,16,18,C39H76N2O5,652.5754235453,[M+NH4]+,670.6092490981
diacyl-lysine-3OH-C16:0/C17:0,lysine,16,17,C39H76N2O5,652.5754235453,[M+NH4]+,670.6092490981
diacyl-ornithine-3OH-C17:0/C17:0,ornithine,17,17,C39H76N2O5,652.5754235453,[M+NH4]+,670.6092490981
diacyl-lysine-3OH-C18:0/C15:0,lysine,18,15,C39H76N2O5,652.5754235453,[M+NH4]+,670.6092490981
diacyl-lysine-3OH-C18:0/C15:0,lysine,18,15,C39H76N2O5,652.5754235453,[M+Na]+,675.5646442453001
diacyl-ornithine-3OH-C17:0/C17:0,ornithine,17,17,C39H76N2O5,652.5754235453,[M+Na]+,675.5646442453001
diacyl-ornithine-3OH-C18:0/C16:0,ornithine,18,16,C39H76N2O5,652.5754235453,[M+Na]+,675.5646442453001
diacyl-lysine-3OH-C17:0/C16:0,lysine,17,16,C39H76N2O5,652.5754235453,[M+Na]+,675.5646442453001
diacyl-ornithine-3OH-C16:0/C18:0,ornithine,16,18,C39H76N2O5,652.5754235453,[M+Na]+,675.5646442453001
diacyl-lysine-3OH-C15:0/C18:0,lysine,15,18,C39H76N2O5,652.5754235453,[M+Na]+,675.5646442453001
diacyl-lysine-3OH-C16:0/C17:0,lysine,16,17,C39H76N2O5,652.5754235453,[M+Na]+,675.5646442453001
diacyl-lysine-3OH-C17:0/C18:0,lysine,17,18,C41H80N2O5,680.6067236729001,[M+H]+,681.6140001248001
diacyl-lysine-3OH-C18:0/C17:0,lysine,18,17,C41H80N2O5,680.6067236729001,[M+H]+,681.6140001248001
diacyl-ornithine-3OH-C18:0/C18:0,ornithine,18,18,C41H80N2O5,680.6067236729001,[M+H]+,681.6140001248001
diacyl-ornithine-3OH-C18:0/C17:0,ornithine,18,17,C40H78N2O5,666.5910736091,[M+NH4]+,684.6248991619
diacyl-lysine-3OH-C17:0/C17:0,lysine,17,17,C40H78N2O5,666.5910736091,[M+NH4]+,684.6248991619
diacyl-lysine-3OH-C16:0/C18:0,lysine,16,18,C40H78N2O5,666.5910736091,[M+NH4]+,684.6248991619
diacyl-ornithine-3OH-C17:0/C18:0,ornithine,17,18,C40H78N2O5,666.5910736091,[M+NH4]+,684.6248991619
diacyl-lysine-3OH-C18:0/C16:0,lysine,18,16,C40H78N2O5,666.5910736091,[M+NH4]+,684.6248991619
diacyl-lysine-3OH-C17:0/C17:0,lysine,17,17,C40H78N2O5,666.5910736091,[M+Na]+,689.5802943091
diacyl-lysine-3OH-C16:0/C18:0,lysine,16,18,C40H78N2O5,666.5910736091,[M+Na]+,689.5802943091
diacyl-ornithine-3OH-C18:0/C17:0,ornithine,18,17,C40H78N2O5,666.5910736091,[M+Na]+,689.5802943091
diacyl-ornithine-3OH-C17:0/C18:0,ornithine,17,18,C40H78N2O5,666.5910736091,[M+Na]+,689.5802943091
diacyl-lysine-3OH-C18:0/C16:0,lysine,18,16,C40H78N2O5,666.5910736091,[M+Na]+,689.5802943091
diacyl-lysine-3OH-C18:0/C18:0,lysine,18,18,C42H82N2O5,694.6223737367001,[M+H]+,695.6296501886001
diacyl-lysine-3OH-C18:0/C17:0,lysine,18,17,C41H80N2O5,680.6067236729001,[M+NH4]+,698.6405492257
diacyl-ornithine-3OH-C18:0/C18:0,ornithine,18,18,C41H80N2O5,680.6067236729001,[M+NH4]+,698.6405492257
diacyl-lysine-3OH-C17:0/C18:0,lysine,17,18,C41H80N2O5,680.6067236729001,[M+NH4]+,698.6405492257
diacyl-lysine-3OH-C17:0/C18:0,lysine,17,18,C41H80N2O5,680.6067236729001,[M+Na]+,703.5959443729001
diacyl-lysine-3OH-C18:0/C17:0,lysine,18,17,C41H80N2O5,680.6067236729001,[M+Na]+,703.5959443729001
diacyl-ornithine-3OH-C18:0/C18:0,ornithine,18,18,C41H80N2O5,680.6067236729001,[M+Na]+,703.5959443729001
diacyl-lysine-3OH-C18:0/C18:0,lysine,18,18,C42H82N2O5,694.6223737367001,[M+NH4]+,712.6561992895
diacyl-lysine-3OH-C18:0/C18:0,lysine,18,18,C42H82N2O5,694.6223737367001,[M+Na]+,717.6115944367001
