"compound","n_species","n_species_zero","K","K_p_value","lambda","lambda_logL","lambda_p_value"
"row_4109_palmitoyl_arginine",16,0,0.357589982296591,0.509,0.0308746378067049,-18.3440469092687,0.901017045895569
"row_51126_myristoyl_arginine",16,2,0.383944132714621,0.58,7.33137435857406e-05,-29.6104034279457,1
"row_51152_palmitoyl_lysine",16,2,0.374559794139311,0.617,7.33137435857406e-05,-27.2761334944948,1
"row_24998_histidine_MH",16,3,0.348516399172462,0.688000000000001,0.064451968020177,-32.990419598452,0.762430457881928
"row_40740_histidine_MNa",16,4,0.330830762583946,0.778000000000001,0.0935291899445108,-33.0868955443841,0.705368985756161
