compound,category,formula,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,is_default_adduct,total_scans,dedup_group_id,is_group_representative,sirius_npc_class,sirius_structure_name,sirius_formula
C4-HSL,short_medium_chain,C8H13NO3,[M+Na]+,194.07876398620002,42918,194.0807,9.975402564542033,1.437614,True,False,True,10,asid_42918,True,,,
3-oxo-C4-HSL,short_medium_chain,C8H11NO4,[M+NH4]+,203.10263339730002,25097,203.1065,19.03767880952394,5.037,True,True,False,9,asid_19887,False,Cinnamic acids and derivatives,"1-[4-hydroxy-3-(3-methylbuta-1,3-dien-1-yl)phenyl]ethan-1-one",C13H14O2
3-oxo-C4-HSL,short_medium_chain,C8H11NO4,[M+NH4]+,203.10263339730002,26305,203.1063,18.05295499446927,5.199,True,False,True,7,asid_26305,True,Noreudesmane sesquiterpenoids,"1-[4-hydroxy-3-(3-methylbuta-1,3-dien-1-yl)phenyl]ethan-1-one",C13H14O2
C5-HSL,short_medium_chain,C9H15NO3,[M+NH4]+,203.1390189028,36960,203.1421,15.167431725580908,4.240602,True,False,False,6,asid_6671,False,Menthane monoterpenoids,,C14H18O
C5-HSL,short_medium_chain,C9H15NO3,[M+Na]+,208.09441404999998,28552,208.0964,9.543504610979404,1.418482,True,False,True,8,asid_28552,True,N-acyl amines,4-(Cyclopropanecarbonylamino)-3-methylbutanoic acid,C11H13NO3
C5-HSL,short_medium_chain,C9H15NO3,[M+Na]+,208.09441404999998,49491,208.0963,9.062953509060492,1.840786,True,False,True,8,asid_49491,True,,,
3-hydroxy-C4-HSL,short_medium_chain,C8H13NO4,[M+Na]+,210.0736786083,41348,210.0755,8.670251847149872,0.699403,True,False,True,24,asid_41348,True,Pyridine alkaloids,N-Phenyliminodiacetic acid,C10H11NO4
3-oxo-C7-HSL,short_medium_chain,C11H17NO4,[M+H]+,228.1230344878,19026,228.1193,-16.370498526698533,4.825294,True,False,True,6,asid_19026,True,,,
3-hydroxy-C7-HSL,short_medium_chain,C11H19NO4,[M+H]+,230.1386845516,34915,230.1392,2.239729496146231,7.527,True,True,True,8,asid_3404,True,,,
C7-HSL,short_medium_chain,C11H19NO3,[M+NH4]+,231.1703190304,9090,231.1698,-2.245229414297386,1.256,True,True,True,82,asid_10257,True,,,
C7-HSL,short_medium_chain,C11H19NO3,[M+NH4]+,231.1703190304,13755,231.1698,-2.245229414297386,0.534218,True,True,False,60,asid_12288,False,Dipeptides,,C11H22N2O3
C7-HSL,short_medium_chain,C11H19NO3,[M+Na]+,236.1257141776,13051,236.1275,7.563015346358885,2.853914,True,False,True,16,asid_13051,True,,,
