dedup_group_id,fraction,predictor,n_high,n_low,quantile,rank_biserial,empirical_p,empirical_fdr
asid_6547,cell,a*,73,65,0.25,-0.15763962065331927,0.015968063872255488,0.6021802548748656
asid_7520,cell,a*,73,65,0.25,-0.3719704952581664,0.017964071856287425,0.6475651637900669
asid_1109,cell,a*,73,65,0.25,-0.2349841938883035,0.17964071856287425,0.9470522601995056
asid_1408,cell,a*,73,65,0.25,-0.39894625922023175,0.00998003992015968,0.47733800691300327
asid_1,cell,a*,73,65,0.25,0.01538461538461533,0.3592814371257485,0.9470522601995056
asid_2,cell,a*,73,65,0.25,-0.4621707060063225,0.001996007984031936,0.2249523940624498
asid_3,cell,a*,73,65,0.25,-0.36944151738672293,0.013972055888223553,0.561459049114885
asid_2299,cell,a*,73,65,0.25,0.0029504741833509263,0.9840319361277445,1.0
asid_6120,cell,a*,73,65,0.25,0.23793466807165442,0.1377245508982036,0.9470522601995056
asid_37,cell,a*,73,65,0.25,-0.08788198103266587,0.34331337325349304,0.9470522601995056
asid_8023,cell,a*,73,65,0.25,0.19199157007376189,0.3712574850299401,0.9470522601995056
asid_42,cell,a*,73,65,0.25,0.2958904109589041,0.07984031936127745,0.929731984961194
asid_48,cell,a*,73,65,0.25,-0.031822971548999046,0.7624750499001997,1.0
asid_51,cell,a*,73,65,0.25,0.15616438356164386,0.3393213572854291,0.9470522601995056
asid_55,cell,a*,73,65,0.25,0.05753424657534245,0.5229540918163673,1.0
asid_841,cell,a*,73,65,0.25,0.06090621707060062,0.5209580838323353,1.0
asid_11312,cell,a*,73,65,0.25,0.11865121180189675,0.4870259481037924,0.9835817551303162
asid_13848,cell,a*,73,65,0.25,0.0,,
asid_72,cell,a*,73,65,0.25,-0.27671232876712337,0.2055888223552894,0.9470522601995056
asid_223,cell,a*,73,65,0.25,-0.04952581664910438,0.7245508982035929,1.0
asid_86,cell,a*,73,65,0.25,-0.05437302423603785,0.7305389221556886,1.0
