dedup_group_id,fraction,predictor,n_strains,spearman_rho,empirical_p,empirical_fdr,asymptotic_p,asymptotic_fdr,rho_drop_Rhodotorula_taiwanensis,rho_drop_Rhodotorula_sphaerocarpa,rho_drop_Rhodotorula_glutinis,rho_drop_ALL_TOP3
asid_6547,cell,a*,274,0.14623070105112704,0.014925373134328358,0.39505597014925375,0.015413318374786933,0.14226609795317938,,,,
asid_7520,cell,a*,274,0.2436404471440968,0.014925373134328358,0.39505597014925375,4.579323495383136e-05,0.0038151019677929664,,,,
asid_1109,cell,a*,274,0.13982309661141779,0.24378109452736318,0.6372919353848044,0.020597174947147405,0.1647337297866826,,,,
asid_1408,cell,a*,274,0.21851520742031694,0.03482587064676617,0.43538763745846415,0.0002677277694298218,0.011244566316052517,,,,
asid_1,cell,a*,274,-0.050979365077427924,0.472636815920398,0.7855896315641742,0.40060146880398717,0.6445316476442009,,,,
asid_2,cell,a*,274,0.2345441419893975,0.024875621890547265,0.42139303482587065,8.874803665125893e-05,0.005673397819400036,,,,
asid_3,cell,a*,274,0.2414225190867527,0.014925373134328358,0.39505597014925375,5.3938276533444605e-05,0.004184951470884969,,,,
asid_2299,cell,a*,274,-0.032088662809244495,0.8656716417910447,0.9458919121870758,0.5968957601859662,0.7772905541908692,,,,
asid_6120,cell,a*,274,-0.21956234494984975,0.04477611940298507,0.444872412132884,0.0002496874906908114,0.010663124602442887,,,,
asid_37,cell,a*,274,0.02343507813171034,0.7313432835820896,0.8889467991303944,0.6993491579954448,0.8413674225307469,,,,
asid_8023,cell,a*,274,-0.1807060450379826,0.06965174129353234,0.4703922249219021,0.00267950230583519,0.05177654265495983,,,,
asid_42,cell,a*,274,-0.2309329418976687,0.024875621890547265,0.42139303482587065,0.00011459330528018914,0.006417876187961556,,,,
asid_48,cell,a*,274,0.021754304090070516,0.7661691542288557,0.902043702488369,0.7199736590225192,0.8482213058548144,,,,
