dedup_group_id,fraction,predictor,species,n_strains,spearman_rho,empirical_p,empirical_fdr,asymptotic_p,asymptotic_fdr
asid_6547,cell,a*,Rhodotorula toruloides,10,0.29012942659282975,1.0,1.0,0.4161202535070595,0.6842487867083337
asid_7520,cell,a*,Rhodotorula toruloides,10,0.3575757575757576,1.0,1.0,0.3103760917056799,0.6266309328593703
asid_1109,cell,a*,Rhodotorula toruloides,10,0.2606060606060606,0.34930139720558884,1.0,0.4670890543863402,0.7279213036066446
asid_1408,cell,a*,Rhodotorula toruloides,10,0.45454545454545453,0.688622754491018,1.0,0.186904810349332,0.5792374258047123
asid_1,cell,a*,Rhodotorula toruloides,10,,,,,
asid_2,cell,a*,Rhodotorula toruloides,10,0.3090909090909091,0.8562874251497006,1.0,0.3848412302612835,0.6743856200806531
asid_3,cell,a*,Rhodotorula toruloides,10,0.44242424242424244,1.0,1.0,0.20042268671194224,0.5792374258047123
asid_2299,cell,a*,Rhodotorula toruloides,10,0.3404271044608361,0.688622754491018,1.0,0.3357822630985314,0.6374915414789742
asid_6120,cell,a*,Rhodotorula toruloides,10,0.16162704595880897,1.0,1.0,0.6555331032057026,0.7886954830499898
asid_37,cell,a*,Rhodotorula toruloides,10,-0.09726488698881033,0.15768463073852296,1.0,0.7892345325825416,0.8807262329926298
asid_8023,cell,a*,Rhodotorula toruloides,10,0.15197638592001614,1.0,1.0,0.6751243317896831,0.8037689914500946
asid_42,cell,a*,Rhodotorula toruloides,10,-0.006135431191398488,1.0,1.0,0.9865792494806584,0.9873212220586933
asid_48,cell,a*,Rhodotorula toruloides,10,-0.6,0.15768463073852296,1.0,0.06668799999999996,0.5792374258047123
asid_51,cell,a*,Rhodotorula toruloides,10,0.01818181818181818,0.8083832335329342,1.0,0.9602404181286243,0.973787023373979
asid_55,cell,a*,Rhodotorula toruloides,10,-0.47878787878787876,0.15768463073852296,1.0,0.1615229280174558,0.5792374258047123
asid_841,cell,a*,Rhodotorula toruloides,10,-0.16363636363636364,1.0,1.0,0.6514773427962428,0.7854764784526028
asid_11312,cell,a*,Rhodotorula toruloides,10,-0.5757575757575758,1.0,1.0,0.08155281477260236,0.5792374258047123
asid_13848,cell,a*,Rhodotorula toruloides,10,,,,,
asid_72,cell,a*,Rhodotorula toruloides,10,-0.06666666666666667,0.8083832335329342,1.0,0.8548130882487426,0.9208895061761576
asid_223,cell,a*,Rhodotorula toruloides,10,-0.24848484848484848,0.3013972055888224,1.0,0.48877630451924314,0.7368730373859675
asid_86,cell,a*,Rhodotorula toruloides,10,0.21212121212121213,0.6846307385229541,1.0,0.5563057751029299,0.7385326862709775
asid_87,cell,a*,Rhodotorula toruloides,10,-0.45454545454545453,0.8083832335329342,1.0,0.186904810349332,0.5792374258047123
asid_733,cell,a*,Rhodotorula toruloides,10,,,,,
asid_3175,cell,a*,Rhodotorula toruloides,10,-0.28484848484848485,0.6367265469061876,1.0,0.42503815489214547,0.6897779372049575
asid_1689,cell,a*,Rhodotorula toruloides,10,-0.503030303030303,0.15768463073852296,1.0,0.13833369839449197,0.5792374258047123
asid_100,cell,a*,Rhodotorula toruloides,10,-0.6242424242424243,0.15768463073852296,1.0,0.053717767217167395,0.5792374258047123
asid_2837,cell,a*,Rhodotorula toruloides,10,-0.4909090909090909,1.0,1.0,0.14965567342083677,0.5792374258047123
asid_5691,cell,a*,Rhodotorula toruloides,10,-0.5636363636363636,1.0,1.0,0.08972402831709125,0.5792374258047123
asid_114,cell,a*,Rhodotorula toruloides,10,-0.2606060606060606,0.469061876247505,1.0,0.4670890543863402,0.7279213036066446
asid_122,cell,a*,Rhodotorula toruloides,10,-0.1099063912519901,0.6407185628742516,1.0,0.7624629172199548,0.8642098255585585
asid_2687,cell,a*,Rhodotorula toruloides,10,-0.5757575757575758,1.0,1.0,0.08155281477260236,0.5792374258047123
asid_5769,cell,a*,Rhodotorula toruloides,10,-0.4909090909090909,1.0,1.0,0.14965567342083677,0.5792374258047123
asid_136,cell,a*,Rhodotorula toruloides,10,-0.4909090909090909,0.15768463073852296,1.0,0.14965567342083677,0.5792374258047123
asid_138,cell,a*,Rhodotorula toruloides,10,-0.4061811972299616,1.0,1.0,0.2441286818964912,0.5792374258047123
asid_139,cell,a*,Rhodotorula toruloides,10,,,,,
asid_152,cell,a*,Rhodotorula toruloides,10,-0.47878787878787876,0.6367265469061876,1.0,0.1615229280174558,0.5792374258047123
asid_154,cell,a*,Rhodotorula toruloides,10,0.11255497190653004,1.0,1.0,0.7568815529887493,0.8599892952315138
