dedup_group_id,fraction,predictor,n_high,n_low,quantile,rank_biserial,empirical_p,empirical_fdr
asid_6547,cell,C*,71,63,0.25,-0.13257321708025938,0.0718562874251497,1.0
asid_7520,cell,C*,71,63,0.25,-0.2600044712720768,0.15169660678642716,1.0
asid_1109,cell,C*,71,63,0.25,-0.27297116029510393,0.08383233532934131,1.0
asid_1408,cell,C*,71,63,0.25,-0.3306505700871898,0.033932135728542916,0.8555931615030808
asid_1,cell,C*,71,63,0.25,0.01810865191146882,0.37325349301397204,1.0
asid_2,cell,C*,71,63,0.25,-0.28772635814889336,0.11377245508982035,1.0
asid_3,cell,C*,71,63,0.25,-0.2586630896490052,0.16367265469061876,1.0
asid_2299,cell,C*,71,63,0.25,-0.07534093449586399,0.5588822355289421,1.0
asid_6120,cell,C*,71,63,0.25,0.14196288844176164,0.3992015968063872,1.0
asid_37,cell,C*,71,63,0.25,-0.027721886876816537,0.7485029940119761,1.0
asid_8023,cell,C*,71,63,0.25,0.1558238318801699,0.4291417165668663,1.0
asid_42,cell,C*,71,63,0.25,0.2345182204337134,0.1317365269461078,1.0
asid_48,cell,C*,71,63,0.25,0.06505700871898057,0.500998003992016,1.0
asid_51,cell,C*,71,63,0.25,0.11826514643416053,0.4550898203592814,1.0
asid_55,cell,C*,71,63,0.25,0.13525598032640285,0.1596806387225549,1.0
asid_841,cell,C*,71,63,0.25,0.13793874357254643,0.17365269461077845,1.0
asid_11312,cell,C*,71,63,0.25,0.07623518891124526,0.5369261477045908,1.0
asid_13848,cell,C*,71,63,0.25,0.0,,
asid_72,cell,C*,71,63,0.25,-0.23094120277218866,0.18163672654690619,1.0
asid_223,cell,C*,71,63,0.25,0.06371562709590883,0.5828343313373253,1.0
asid_86,cell,C*,71,63,0.25,-0.03621730382293764,0.7624750499001997,1.0
asid_87,cell,C*,71,63,0.25,-0.10753409344958631,0.34530938123752497,1.0
asid_733,cell,C*,71,63,0.25,-0.021909233176838905,0.6007984031936128,1.0
asid_3175,cell,C*,71,63,0.25,-0.10038005812653705,0.3532934131736527,1.0
asid_1689,cell,C*,71,63,0.25,0.06237424547283699,0.46706586826347307,1.0
asid_100,cell,C*,71,63,0.25,0.014084507042253502,0.8842315369261478,1.0
asid_2837,cell,C*,71,63,0.25,0.0556673373574782,0.6427145708582834,1.0
asid_5691,cell,C*,71,63,0.25,0.06103286384976525,0.6447105788423154,1.0
asid_114,cell,C*,71,63,0.25,0.1468812877263581,0.1437125748502994,1.0
asid_122,cell,C*,71,63,0.25,0.10395707578806168,0.530938123752495,1.0
asid_2687,cell,C*,71,63,0.25,0.059691482226693515,0.656686626746507,1.0
asid_5769,cell,C*,71,63,0.25,0.06371562709590883,0.6027944111776448,1.0
asid_136,cell,C*,71,63,0.25,0.07668231611893583,0.41916167664670656,1.0
asid_138,cell,C*,71,63,0.25,-0.08428347864967578,0.18163672654690619,1.0
asid_139,cell,C*,71,63,0.25,-0.007377598926894713,0.9860279441117764,1.0
asid_152,cell,C*,71,63,0.25,0.041135703107534116,0.8962075848303394,1.0
asid_154,cell,C*,71,63,0.25,0.033310976972948825,0.9041916167664671,1.0
asid_10098,cell,C*,71,63,0.25,0.1699083389224234,0.01996007984031936,0.7747497131720811
asid_157,cell,C*,71,63,0.25,-0.26447574334898283,0.013972055888223553,0.668691742728136
asid_64,cell,C*,71,63,0.25,0.049854683657500565,0.7125748502994012,1.0
asid_181,cell,C*,71,63,0.25,0.14151576123407106,0.17764471057884232,1.0
asid_4030,cell,C*,71,63,0.25,-0.03442879499217533,0.8263473053892215,1.0
asid_185,cell,C*,71,63,0.25,0.10261569416498995,0.26746506986027946,1.0
asid_32407,cell,C*,71,63,0.25,0.06595126313436173,0.469061876247505,1.0
asid_191,cell,C*,71,63,0.25,0.005365526492287054,0.9221556886227545,1.0
asid_192,cell,C*,71,63,0.25,0.13525598032640285,0.10379241516966067,1.0
asid_202,cell,C*,71,63,0.25,0.01810865191146882,0.437125748502994,1.0
asid_326,cell,C*,71,63,0.25,-0.3150011178180192,0.027944111776447105,0.8154133721507262
asid_209,cell,C*,71,63,0.25,-0.015873015873015817,0.7764471057884231,1.0
asid_213,cell,C*,71,63,0.25,0.01810865191146882,0.437125748502994,1.0
asid_225,cell,C*,71,63,0.25,-0.05253744690364415,0.564870259481038,1.0
asid_954,cell,C*,71,63,0.25,0.0511960652805723,0.6467065868263473,1.0
asid_6695,cell,C*,71,63,0.25,0.05879722781131236,0.6307385229540918,1.0
asid_34,cell,C*,71,63,0.25,-0.4138162307176392,0.001996007984031936,0.4919660678642714
asid_230,cell,C*,71,63,0.25,0.052984574111334726,0.688622754491018,1.0
asid_233,cell,C*,71,63,0.25,0.05924435501900294,0.7105788423153693,1.0
asid_221,cell,C*,71,63,0.25,0.14553990610328638,0.4031936127744511,1.0
asid_250,cell,C*,71,63,0.25,0.05030181086519114,0.5968063872255489,1.0
asid_252,cell,C*,71,63,0.25,0.020344287949921713,0.4111776447105788,1.0
asid_253,cell,C*,71,63,0.25,-0.009613234965347717,0.9860279441117764,1.0
asid_256,cell,C*,71,63,0.25,0.05432595573440646,0.7624750499001997,1.0
asid_259,cell,C*,71,63,0.25,-0.04225352112676051,0.26746506986027946,1.0
asid_2103,cell,C*,71,63,0.25,-0.133914598703331,0.15169660678642716,1.0
asid_263,cell,C*,71,63,0.25,-0.029733959311424085,0.7724550898203593,1.0
asid_272,cell,C*,71,63,0.25,0.0675162083612788,0.5029940119760479,1.0
asid_276,cell,C*,71,63,0.25,0.03196959534987709,0.7524950099800399,1.0
asid_52,cell,C*,71,63,0.25,0.10172143974960879,0.2694610778443114,1.0
asid_348,cell,C*,71,63,0.25,-0.41471048513302033,0.001996007984031936,0.4919660678642714
asid_286,cell,C*,71,63,0.25,0.08786049631120052,0.6866267465069861,1.0
asid_2492,cell,C*,71,63,0.25,-0.17728593784931812,0.05588822355289421,0.9856923005509554
asid_290,cell,C*,71,63,0.25,0.014531634249944081,0.8862275449101796,1.0
asid_291,cell,C*,71,63,0.25,0.046724793203666404,0.8662674650698603,1.0
asid_8726,cell,C*,71,63,0.25,-0.14062150681869,0.2894211576846307,1.0
asid_20964,cell,C*,71,63,0.25,0.16163648558014754,0.08582834331337326,1.0
asid_299,cell,C*,71,63,0.25,0.08741336910350994,0.12974051896207583,1.0
asid_300,cell,C*,71,63,0.25,-0.2512854907221105,0.0998003992015968,1.0
asid_4080,cell,C*,71,63,0.25,0.11066398390342047,0.19161676646706588,1.0
asid_8653,cell,C*,71,63,0.25,0.06349206349206349,0.11377245508982035,1.0
asid_308,cell,C*,71,63,0.25,0.1951710261569416,0.17365269461077845,1.0
asid_311,cell,C*,71,63,0.25,0.007154035323049368,0.812375249500998,1.0
asid_312,cell,C*,71,63,0.25,0.10708696624189584,0.5788423153692615,1.0
asid_313,cell,C*,71,63,0.25,0.0015649452269170805,1.0,1.0
asid_316,cell,C*,71,63,0.25,0.051866756092108224,0.8642714570858283,1.0
asid_318,cell,C*,71,63,0.25,0.11692376481108879,0.06786427145708583,1.0
asid_9484,cell,C*,71,63,0.25,0.046277665995975825,0.626746506986028,1.0
asid_329,cell,C*,71,63,0.25,0.10172143974960879,0.43313373253493015,1.0
asid_330,cell,C*,71,63,0.25,-0.00782472613458518,0.9780439121756487,1.0
asid_332,cell,C*,71,63,0.25,0.08763693270735529,0.7085828343313373,1.0
asid_28976,cell,C*,71,63,0.25,0.0556673373574782,0.8063872255489022,1.0
asid_4926,cell,C*,71,63,0.25,0.12295998211491166,0.30538922155688625,1.0
asid_11030,cell,C*,71,63,0.25,0.06729264475743346,0.590818363273453,1.0
asid_337,cell,C*,71,63,0.25,0.015873015873015928,0.7325349301397206,1.0
asid_22689,cell,C*,71,63,0.25,0.09121395036887991,0.45109780439121755,1.0
asid_341,cell,C*,71,63,0.25,-0.21752738654147108,0.07984031936127745,1.0
asid_345,cell,C*,71,63,0.25,0.02213279678068414,0.5389221556886228,1.0
asid_5466,cell,C*,71,63,0.25,0.019897160742231135,0.8842315369261478,1.0
asid_5738,cell,C*,71,63,0.25,0.15448245025709817,0.5069860279441117,1.0
asid_351,cell,C*,71,63,0.25,-0.036440867426782875,0.43912175648702595,1.0
asid_355,cell,C*,71,63,0.25,0.05209031969595346,0.716566866267465,1.0
asid_357,cell,C*,71,63,0.25,0.06304493628437291,0.5049900199600799,1.0
asid_358,cell,C*,71,63,0.25,0.09412027721886873,0.437125748502994,1.0
asid_11745,cell,C*,71,63,0.25,0.049407556449809986,0.6866267465069861,1.0
asid_364,cell,C*,71,63,0.25,0.06460988151128999,0.48502994011976047,1.0
asid_69,cell,C*,71,63,0.25,-0.26849988821819815,0.021956087824351298,0.7958274627216156
asid_368,cell,C*,71,63,0.25,-0.05432595573440646,0.2155688622754491,1.0
asid_12683,cell,C*,71,63,0.25,0.06684551754974288,0.590818363273453,1.0
asid_14882,cell,C*,71,63,0.25,0.10485133020344284,0.3333333333333333,1.0
asid_372,cell,C*,71,63,0.25,0.0860719874804382,0.36926147704590817,1.0
