dedup_group_id,fraction,predictor,n_high,n_low,quantile,rank_biserial,empirical_p,empirical_fdr
asid_374,cell,C*,71,63,0.25,0.08294209702660404,0.05588822355289421,0.9856923005509554
asid_379,cell,C*,71,63,0.25,-0.13749161636485585,0.14770459081836326,1.0
asid_7731,cell,C*,71,63,0.25,-0.32439078917952147,0.013972055888223553,0.668691742728136
asid_9253,cell,C*,71,63,0.25,0.004024144869215318,0.7325349301397206,1.0
asid_212,cell,C*,71,63,0.25,-0.23094120277218866,0.1656686626746507,1.0
asid_385,cell,C*,71,63,0.25,-0.35121842164095685,0.001996007984031936,0.4919660678642714
asid_387,cell,C*,71,63,0.25,-0.09322602280348757,0.469061876247505,1.0
asid_393,cell,C*,71,63,0.25,-0.0033534540576793948,0.9920159680638723,1.0
asid_817,cell,C*,71,63,0.25,0.12005365526492284,0.18363273453093812,1.0
asid_2361,cell,C*,71,63,0.25,-0.001117818019226391,0.9640718562874252,1.0
asid_401,cell,C*,71,63,0.25,-0.00782472613458518,0.9720558882235529,1.0
asid_402,cell,C*,71,63,0.25,-0.25106192711826525,0.013972055888223553,0.668691742728136
asid_18909,cell,C*,71,63,0.25,0.03509948580371114,0.8922155688622755,1.0
asid_408,cell,C*,71,63,0.25,0.1862284820031299,0.06187624750499002,1.0
asid_409,cell,C*,71,63,0.25,-0.1365973619494747,0.1936127744510978,1.0
asid_410,cell,C*,71,63,0.25,0.023921305611446453,0.874251497005988,1.0
asid_411,cell,C*,71,63,0.25,-0.049854683657500454,0.7145708582834331,1.0
asid_186,cell,C*,71,63,0.25,0.06997540800357704,0.437125748502994,1.0
asid_2420,cell,C*,71,63,0.25,0.16118935837245696,0.08383233532934131,1.0
asid_417,cell,C*,71,63,0.25,-0.027051196065280614,0.7944111776447106,1.0
asid_418,cell,C*,71,63,0.25,0.12139503688799469,0.49101796407185627,1.0
asid_8300,cell,C*,71,63,0.25,0.04761904761904767,0.7145708582834331,1.0
asid_6130,cell,C*,71,63,0.25,0.030628213726805242,0.7684630738522954,1.0
asid_425,cell,C*,71,63,0.25,0.08651911468812878,0.37924151696606784,1.0
asid_428,cell,C*,71,63,0.25,0.10127431254191821,0.5748502994011976,1.0
asid_133,cell,C*,71,63,0.25,0.04560697518444001,0.6746506986027944,1.0
asid_11360,cell,C*,71,63,0.25,0.022579923988374717,0.844311377245509,1.0
asid_432,cell,C*,71,63,0.25,0.025933378046054112,0.7584830339321357,1.0
asid_435,cell,C*,71,63,0.25,0.04761904761904767,0.22954091816367264,1.0
asid_436,cell,C*,71,63,0.25,0.023474178403755874,0.8762475049900199,1.0
asid_440,cell,C*,71,63,0.25,0.10887547507265816,0.37325349301397204,1.0
asid_441,cell,C*,71,63,0.25,0.05030181086519114,0.19760479041916168,1.0
asid_443,cell,C*,71,63,0.25,-0.28817348535658405,0.005988023952095809,0.5569427183369111
asid_444,cell,C*,71,63,0.25,-0.15448245025709806,0.1437125748502994,1.0
asid_448,cell,C*,71,63,0.25,0.036440867426782875,0.8243512974051896,1.0
asid_4258,cell,C*,71,63,0.25,0.07355242566510167,0.6047904191616766,1.0
asid_458,cell,C*,71,63,0.25,0.0382293762575453,0.7465069860279441,1.0
asid_5097,cell,C*,71,63,0.25,0.08115358819584173,0.688622754491018,1.0
asid_7040,cell,C*,71,63,0.25,0.020791415157612292,0.8842315369261478,1.0
asid_84,cell,C*,71,63,0.25,-0.20232506147999096,0.033932135728542916,0.8555931615030808
asid_3624,cell,C*,71,63,0.25,-0.14062150681869,0.14171656686626746,1.0
asid_473,cell,C*,71,63,0.25,0.029286832103733507,0.8163672654690619,1.0
asid_474,cell,C*,71,63,0.25,-0.009613234965347717,0.9860279441117764,1.0
asid_93,cell,C*,71,63,0.25,0.12944332662642521,0.21956087824351297,1.0
asid_480,cell,C*,71,63,0.25,0.01810865191146882,0.437125748502994,1.0
asid_4935,cell,C*,71,63,0.25,0.0046948356807511304,0.9900199600798403,1.0
asid_483,cell,C*,71,63,0.25,0.12363067292644758,0.17365269461077845,1.0
asid_485,cell,C*,71,63,0.25,-0.28996199418734636,0.05389221556886228,0.9749052354007582
asid_486,cell,C*,71,63,0.25,-0.10082718533422752,0.4291417165668663,1.0
asid_640,cell,C*,71,63,0.25,0.0511960652805723,0.6467065868263473,1.0
asid_489,cell,C*,71,63,0.25,-0.04851330203442883,0.6506986027944112,1.0
asid_490,cell,C*,71,63,0.25,-0.002012072434607548,0.9840319361277445,1.0
asid_83,cell,C*,71,63,0.25,-0.21350324167225576,0.05389221556886228,0.9749052354007582
asid_495,cell,C*,71,63,0.25,0.08964900514196283,0.36726546906187624,1.0
asid_150,cell,C*,71,63,0.25,0.08897831433042702,0.4151696606786427,1.0
asid_499,cell,C*,71,63,0.25,0.07735300693047176,0.5389221556886228,1.0
asid_500,cell,C*,71,63,0.25,0.017214397496087663,0.6467065868263473,1.0
asid_504,cell,C*,71,63,0.25,-0.08160071540353231,0.48902195608782434,1.0
asid_505,cell,C*,71,63,0.25,-0.15135255980326412,0.3592814371257485,1.0
asid_509,cell,C*,71,63,0.25,-0.0961323496534765,0.3373253493013972,1.0
asid_511,cell,C*,71,63,0.25,0.017661524703778242,0.48502994011976047,1.0
asid_6648,cell,C*,71,63,0.25,0.13190252626872345,0.4091816367265469,1.0
asid_515,cell,C*,71,63,0.25,0.14464565168790522,0.08982035928143713,1.0
asid_516,cell,C*,71,63,0.25,0.10172143974960879,0.6606786427145709,1.0
asid_1168,cell,C*,71,63,0.25,0.0002235636038453448,0.9960079840319361,1.0
asid_522,cell,C*,71,63,0.25,0.0663983903420523,0.590818363273453,1.0
asid_164,cell,C*,71,63,0.25,0.03420523138832998,0.4750499001996008,1.0
asid_524,cell,C*,71,63,0.25,-0.13212608987256869,0.4431137724550898,1.0
asid_1365,cell,C*,71,63,0.25,-0.0046948356807512415,0.9920159680638723,1.0
asid_4125,cell,C*,71,63,0.25,0.08450704225352113,0.6986027944111777,1.0
asid_537,cell,C*,71,63,0.25,0.07489380728817352,0.5508982035928144,1.0
asid_140,cell,C*,71,63,0.25,0.023474178403755874,0.8363273453093812,1.0
asid_542,cell,C*,71,63,0.25,0.012743125419181767,0.906187624750499,1.0
asid_14207,cell,C*,71,63,0.25,0.013637379834562924,0.8183632734530938,1.0
asid_544,cell,C*,71,63,0.25,0.04247708473060585,0.3213572854291417,1.0
asid_545,cell,C*,71,63,0.25,-0.012295998211491188,0.8962075848303394,1.0
asid_6097,cell,C*,71,63,0.25,0.11960652805723226,0.09181636726546906,1.0
asid_547,cell,C*,71,63,0.25,0.04851330203442883,0.7944111776447106,1.0
asid_548,cell,C*,71,63,0.25,0.033310976972948825,0.35528942115768464,1.0
asid_549,cell,C*,71,63,0.25,0.023921305611446453,0.5828343313373253,1.0
asid_554,cell,C*,71,63,0.25,0.2434607645875252,0.02594810379241517,0.8147208767179017
asid_4022,cell,C*,71,63,0.25,-0.027051196065280614,0.8163672654690619,1.0
asid_561,cell,C*,71,63,0.25,0.14106863402638048,0.20758483033932135,1.0
asid_407,cell,C*,71,63,0.25,-0.01497876145763466,0.8782435129740519,1.0
asid_788,cell,C*,71,63,0.25,-0.05879722781131225,0.5169660678642715,1.0
asid_570,cell,C*,71,63,0.25,0.020344287949921713,0.405189620758483,1.0
asid_572,cell,C*,71,63,0.25,-0.03577017661524695,0.5788423153692615,1.0
asid_578,cell,C*,71,63,0.25,0.056561591772859354,0.6526946107784432,1.0
asid_121,cell,C*,71,63,0.25,-0.03890006706908111,0.7325349301397206,1.0
asid_274,cell,C*,71,63,0.25,0.13190252626872345,0.5409181636726547,1.0
asid_584,cell,C*,71,63,0.25,0.0,,
asid_1381,cell,C*,71,63,0.25,-0.02123854236530298,0.6786427145708582,1.0
asid_592,cell,C*,71,63,0.25,0.17013190252626875,0.06387225548902195,1.0
asid_19609,cell,C*,71,63,0.25,0.03107534093449582,0.8283433133732535,1.0
asid_596,cell,C*,71,63,0.25,0.09456740442655931,0.2714570858283433,1.0
asid_5549,cell,C*,71,63,0.25,0.05387882852671588,0.22554890219560877,1.0
asid_599,cell,C*,71,63,0.25,-0.010507489380728874,0.9261477045908184,1.0
asid_601,cell,C*,71,63,0.25,0.005589090096132399,0.7485029940119761,1.0
asid_603,cell,C*,71,63,0.25,0.03465235859602056,0.8263473053892215,1.0
asid_604,cell,C*,71,63,0.25,0.13234965347641403,0.49101796407185627,1.0
asid_608,cell,C*,71,63,0.25,0.11379387435725463,0.25948103792415167,1.0
asid_614,cell,C*,71,63,0.25,-0.24256651017214392,0.033932135728542916,0.8555931615030808
asid_617,cell,C*,71,63,0.25,-0.0015649452269170805,0.9800399201596807,1.0
asid_7189,cell,C*,71,63,0.25,0.07332886206125644,0.43313373253493015,1.0
asid_619,cell,C*,71,63,0.25,0.1276548177956629,0.2215568862275449,1.0
asid_620,cell,C*,71,63,0.25,-0.033310976972948714,0.4411177644710579,1.0
asid_881,cell,C*,71,63,0.25,0.043147775542141775,0.6467065868263473,1.0
asid_245,cell,C*,71,63,0.25,0.07869438855354349,0.41916167664670656,1.0
asid_292,cell,C*,71,63,0.25,-0.15269394142633574,0.20958083832335328,1.0
asid_630,cell,C*,71,63,0.25,0.05745584618824051,0.6047904191616766,1.0
asid_5880,cell,C*,71,63,0.25,0.06282137268052757,0.6626746506986028,1.0
asid_632,cell,C*,71,63,0.25,-0.006483344511513556,0.936127744510978,1.0
asid_5596,cell,C*,71,63,0.25,0.039570757880617036,0.8203592814371258,1.0
asid_635,cell,C*,71,63,0.25,-0.052984574111334615,0.7285429141716567,1.0
asid_636,cell,C*,71,63,0.25,0.0337581041806394,0.3153692614770459,1.0
asid_638,cell,C*,71,63,0.25,0.03867650346523588,0.3712574850299401,1.0
asid_1064,cell,C*,71,63,0.25,-0.18980549966465454,0.2654690618762475,1.0
asid_1846,cell,C*,71,63,0.25,0.0556673373574782,0.6467065868263473,1.0
asid_182,cell,C*,71,63,0.25,0.0337581041806394,0.3153692614770459,1.0
asid_648,cell,C*,71,63,0.25,0.0382293762575453,0.7704590818363274,1.0
asid_650,cell,C*,71,63,0.25,0.018779342723004744,0.8303393213572854,1.0
asid_7824,cell,C*,71,63,0.25,0.007377598926894713,0.9401197604790419,1.0
asid_655,cell,C*,71,63,0.25,0.10775765705343165,0.25948103792415167,1.0
asid_15779,cell,C*,71,63,0.25,0.03778224904985472,0.7764471057884231,1.0
asid_669,cell,C*,71,63,0.25,0.0556673373574782,0.7884231536926147,1.0
asid_670,cell,C*,71,63,0.25,0.12810194500335348,0.5129740518962076,1.0
asid_2682,cell,C*,71,63,0.25,0.022579923988374717,0.8163672654690619,1.0
asid_676,cell,C*,71,63,0.25,-0.10865191146881292,0.10778443113772455,1.0
asid_679,cell,C*,71,63,0.25,0.07355242566510167,0.6047904191616766,1.0
asid_10929,cell,C*,71,63,0.25,-0.0968030404650122,0.3812375249500998,1.0
asid_151,cell,C*,71,63,0.25,-0.3060585736642074,0.015968063872255488,0.7123490575410265
asid_688,cell,C*,71,63,0.25,0.015873015873015928,0.7924151696606786,1.0
asid_690,cell,C*,71,63,0.25,-0.06908115358819589,0.5948103792415169,1.0
asid_5716,cell,C*,71,63,0.25,0.056561591772859354,0.6806387225548902,1.0
asid_698,cell,C*,71,63,0.25,0.052537446903644036,0.5449101796407185,1.0
asid_3131,cell,C*,71,63,0.25,0.07712944332662641,0.5708582834331337,1.0
asid_707,cell,C*,71,63,0.25,0.12676056338028174,0.25349301397205587,1.0
asid_711,cell,C*,71,63,0.25,0.0185557791191594,0.6447105788423154,1.0
asid_7794,cell,C*,71,63,0.25,0.038005812653699955,0.7904191616766467,1.0
asid_1284,cell,C*,71,63,0.25,-0.0015649452269170805,0.9920159680638723,1.0
asid_717,cell,C*,71,63,0.25,-0.00827185334227587,0.9580838323353293,1.0
asid_718,cell,C*,71,63,0.25,0.019897160742231135,0.45109780439121755,1.0
asid_721,cell,C*,71,63,0.25,0.010060362173038184,0.8063872255489022,1.0
asid_724,cell,C*,71,63,0.25,0.031746031746031744,0.6686626746506986,1.0
asid_247,cell,C*,71,63,0.25,0.05745584618824051,0.6407185628742516,1.0
asid_13733,cell,C*,71,63,0.25,-0.10127431254191821,0.31736526946107785,1.0
asid_729,cell,C*,71,63,0.25,0.06147999105745583,0.499001996007984,1.0
asid_732,cell,C*,71,63,0.25,0.020344287949921713,0.5089820359281437,1.0
asid_734,cell,C*,71,63,0.25,0.11826514643416053,0.26147704590818366,1.0
asid_735,cell,C*,71,63,0.25,-0.19025262687234523,0.3313373253493014,1.0
asid_737,cell,C*,71,63,0.25,-0.0196735971383859,0.8403193612774451,1.0
asid_18098,cell,C*,71,63,0.25,-0.014084507042253502,1.0,1.0
asid_740,cell,C*,71,63,0.25,-0.010060362173038184,0.9401197604790419,1.0
asid_9512,cell,C*,71,63,0.25,0.04180639391906993,0.874251497005988,1.0
asid_13779,cell,C*,71,63,0.25,-0.0046948356807512415,0.9640718562874252,1.0
asid_744,cell,C*,71,63,0.25,0.0,,
asid_745,cell,C*,71,63,0.25,0.015873015873015928,0.7664670658682635,1.0
asid_746,cell,C*,71,63,0.25,-0.023027051196065296,0.908183632734531,1.0
asid_748,cell,C*,71,63,0.25,-0.002012072434607548,0.9940119760479041,1.0
asid_749,cell,C*,71,63,0.25,0.01810865191146882,0.437125748502994,1.0
asid_750,cell,C*,71,63,0.25,0.015873015873015928,0.6746506986027944,1.0
asid_756,cell,C*,71,63,0.25,0.04404202995752293,0.3932135728542914,1.0
asid_9197,cell,C*,71,63,0.25,0.020791415157612292,0.8802395209580839,1.0
asid_758,cell,C*,71,63,0.25,0.02995752291526943,0.8243512974051896,1.0
asid_60,cell,C*,71,63,0.25,0.06863402638050531,0.5888223552894212,1.0
asid_763,cell,C*,71,63,0.25,0.0,1.0,1.0
asid_764,cell,C*,71,63,0.25,-0.009166107757657027,1.0,1.0
asid_765,cell,C*,71,63,0.25,-0.015425888665325349,0.8962075848303394,1.0
asid_5383,cell,C*,71,63,0.25,0.06460988151128999,0.5049900199600799,1.0
asid_773,cell,C*,71,63,0.25,0.09233176838810642,0.5568862275449101,1.0
asid_2397,cell,C*,71,63,0.25,0.016767270288397085,0.6966067864271457,1.0
asid_3878,cell,C*,71,63,0.25,-0.2193158953722334,0.25748502994011974,1.0
asid_32,cell,C*,71,63,0.25,-0.013637379834563035,0.8802395209580839,1.0
asid_3962,cell,C*,71,63,0.25,0.10932260228034874,0.5229540918163673,1.0
asid_789,cell,C*,71,63,0.25,-0.21797451374916155,0.09780439121756487,1.0
asid_793,cell,C*,71,63,0.25,0.0382293762575453,0.35129740518962077,1.0
asid_795,cell,C*,71,63,0.25,0.11580594679186229,0.17165668662674652,1.0
asid_800,cell,C*,71,63,0.25,-0.005141962888441709,0.9760479041916168,1.0
asid_3532,cell,C*,71,63,0.25,-0.1343617259110217,0.07584830339321358,1.0
asid_805,cell,C*,71,63,0.25,0.009389671361502372,0.7564870259481038,1.0
asid_3476,cell,C*,71,63,0.25,0.11915940084954169,0.31736526946107785,1.0
asid_811,cell,C*,71,63,0.25,-0.2828079588642969,0.013972055888223553,0.668691742728136
asid_821,cell,C*,71,63,0.25,0.07511737089201875,0.2894211576846307,1.0
asid_15555,cell,C*,71,63,0.25,0.007377598926894713,0.9540918163672655,1.0
asid_825,cell,C*,71,63,0.25,0.03733512184216414,0.8003992015968064,1.0
asid_828,cell,C*,71,63,0.25,0.06505700871898057,0.20958083832335328,1.0
asid_836,cell,C*,71,63,0.25,0.004024144869215318,0.9760479041916168,1.0
asid_46,cell,C*,71,63,0.25,-0.06147999105745594,0.3872255489021956,1.0
asid_838,cell,C*,71,63,0.25,0.04135926671137935,0.5389221556886228,1.0
asid_840,cell,C*,71,63,0.25,0.07712944332662641,0.5748502994011976,1.0
asid_842,cell,C*,71,63,0.25,0.1406215068186899,0.17964071856287425,1.0
asid_7582,cell,C*,71,63,0.25,0.03621730382293764,0.26746506986027946,1.0
asid_845,cell,C*,71,63,0.25,0.1540353230494076,0.14770459081836326,1.0
asid_31011,cell,C*,71,63,0.25,-0.0905432595573441,0.5868263473053892,1.0
asid_847,cell,C*,71,63,0.25,-0.20769058797227813,0.10578842315369262,1.0
asid_22189,cell,C*,71,63,0.25,0.04896042924211941,0.8203592814371258,1.0
asid_4230,cell,C*,71,63,0.25,0.015202325061480004,0.9001996007984032,1.0
asid_413,cell,C*,71,63,0.25,0.04761904761904767,0.5708582834331337,1.0
asid_860,cell,C*,71,63,0.25,0.03733512184216414,0.4431137724550898,1.0
asid_861,cell,C*,71,63,0.25,0.11625307399955287,0.18762475049900199,1.0
asid_867,cell,C*,71,63,0.25,-0.027721886876816537,0.8363273453093812,1.0
asid_873,cell,C*,71,63,0.25,-0.05790297339593109,0.49101796407185627,1.0
asid_580,cell,C*,71,63,0.25,0.08271853342275881,0.35728542914171657,1.0
asid_447,cell,C*,71,63,0.25,-0.1113346747149564,0.2714570858283433,1.0
asid_877,cell,C*,71,63,0.25,0.04538341158059467,0.7465069860279441,1.0
asid_879,cell,C*,71,63,0.25,-0.16856695729935156,0.22554890219560877,1.0
asid_885,cell,C*,71,63,0.25,-0.3091884641180416,0.001996007984031936,0.4919660678642714
asid_319,cell,C*,71,63,0.25,0.09143751397272526,0.7125748502994012,1.0
asid_887,cell,C*,71,63,0.25,-0.29622177509501446,0.013972055888223553,0.668691742728136
asid_892,cell,C*,71,63,0.25,0.036440867426782875,0.8263473053892215,1.0
asid_12903,cell,C*,71,63,0.25,0.06416275430359941,0.11776447105788423,1.0
asid_333,cell,C*,71,63,0.25,0.007377598926894713,0.9580838323353293,1.0
asid_8614,cell,C*,71,63,0.25,0.06729264475743346,0.4291417165668663,1.0
asid_901,cell,C*,71,63,0.25,0.019002906326849978,0.9181636726546906,1.0
asid_906,cell,C*,71,63,0.25,0.040017885088307614,0.6966067864271457,1.0
asid_909,cell,C*,71,63,0.25,-0.11513525598032648,0.16367265469061876,1.0
asid_910,cell,C*,71,63,0.25,0.1602951039570758,0.10778443113772455,1.0
asid_3235,cell,C*,71,63,0.25,0.0708696624189582,0.4590818363273453,1.0
asid_916,cell,C*,71,63,0.25,-0.15425888665325282,0.1377245508982036,1.0
asid_273,cell,C*,71,63,0.25,0.0427006483344512,0.720558882235529,1.0
asid_918,cell,C*,71,63,0.25,0.0046948356807511304,0.9780439121756487,1.0
asid_10230,cell,C*,71,63,0.25,0.035993740219092296,0.7425149700598802,1.0
asid_924,cell,C*,71,63,0.25,0.006036217303822977,0.7345309381237525,1.0
asid_321,cell,C*,71,63,0.25,0.02436843281913703,0.7884231536926147,1.0
asid_934,cell,C*,71,63,0.25,0.07757657053431699,0.48502994011976047,1.0
