dedup_group_id,fraction,predictor,species,n_strains,n_groups,n_perm,kruskal_H,empirical_p,empirical_fdr
asid_6547,cell,color,Rhodotorula mucilaginosa,206,3,200,1.5699125496546458,0.2885572139303483,0.6465133969279907
asid_7520,cell,color,Rhodotorula mucilaginosa,206,3,200,13.812700193219598,0.09950248756218906,0.4795502061676056
asid_1109,cell,color,Rhodotorula mucilaginosa,206,3,200,12.500724602067862,0.014925373134328358,0.2662584995626781
asid_1408,cell,color,Rhodotorula mucilaginosa,206,3,200,13.98965775997101,0.13930348258706468,0.5247931996703111
asid_1,cell,color,Rhodotorula mucilaginosa,206,3,200,0.12810089988545315,0.5572139303482587,0.7950450348800299
asid_2,cell,color,Rhodotorula mucilaginosa,206,3,200,22.92702303083138,0.009950248756218905,0.22357261312485194
asid_3,cell,color,Rhodotorula mucilaginosa,206,3,200,12.304487559980657,0.11940298507462686,0.49573513864903374
asid_2299,cell,color,Rhodotorula mucilaginosa,206,3,200,6.272180569234592,0.08955223880597014,0.4795502061676056
asid_6120,cell,color,Rhodotorula mucilaginosa,206,3,200,0.658001876513822,0.4427860696517413,0.7187086582909327
asid_37,cell,color,Rhodotorula mucilaginosa,206,3,200,0.2726509856447592,0.8706467661691543,0.9836338479993185
asid_8023,cell,color,Rhodotorula mucilaginosa,206,3,200,1.35938273433851,0.417910447761194,0.7076273033709825
asid_42,cell,color,Rhodotorula mucilaginosa,206,3,200,1.1323536648718573,0.46766169154228854,0.7386315285497199
asid_48,cell,color,Rhodotorula mucilaginosa,206,3,200,3.1420683838043715,0.572139303482587,0.8034640784174366
asid_51,cell,color,Rhodotorula mucilaginosa,206,3,200,5.5956045273351265,0.07960199004975124,0.4784738726748423
asid_55,cell,color,Rhodotorula mucilaginosa,206,3,200,1.5504770461598127,0.47761194029850745,0.7397380404721836
asid_841,cell,color,Rhodotorula mucilaginosa,206,3,200,1.8245877117543614,0.30845771144278605,0.659323991593561
asid_11312,cell,color,Rhodotorula mucilaginosa,206,3,200,2.7099850225781665,0.16417910447761194,0.535924665844076
asid_72,cell,color,Rhodotorula mucilaginosa,206,3,200,0.6125298130981491,0.8606965174129353,0.9790734130696565
asid_223,cell,color,Rhodotorula mucilaginosa,206,3,200,3.360639070965931,0.17412935323383086,0.5459331250723128
asid_86,cell,color,Rhodotorula mucilaginosa,206,3,200,0.18647208087747913,0.9353233830845771,1.0
asid_87,cell,color,Rhodotorula mucilaginosa,206,3,200,1.1558501610729763,0.43283582089552236,0.7109959341672836
asid_733,cell,color,Rhodotorula mucilaginosa,206,3,200,0.34417782375828665,0.22885572139303484,0.5987555982218102
asid_3175,cell,color,Rhodotorula mucilaginosa,206,3,200,0.6634339560145008,0.5970149253731343,0.8244117428660036
asid_1689,cell,color,Rhodotorula mucilaginosa,206,3,200,11.779770566404409,0.009950248756218905,0.22357261312485194
asid_100,cell,color,Rhodotorula mucilaginosa,206,3,200,11.23682210169477,0.014925373134328358,0.2662584995626781
asid_2837,cell,color,Rhodotorula mucilaginosa,206,3,200,2.9398871515136307,0.15422885572139303,0.535924665844076
asid_5691,cell,color,Rhodotorula mucilaginosa,206,3,200,2.2193619249682115,0.22885572139303484,0.5987555982218102
asid_114,cell,color,Rhodotorula mucilaginosa,206,3,200,3.719560567020949,0.05472636815920398,0.41548892704618495
asid_122,cell,color,Rhodotorula mucilaginosa,206,3,200,4.54237465939832,0.03482587064676617,0.36155307072995857
asid_2687,cell,color,Rhodotorula mucilaginosa,206,3,200,2.4496528266137148,0.22885572139303484,0.5987555982218102
asid_5769,cell,color,Rhodotorula mucilaginosa,206,3,200,2.789239076063609,0.15920398009950248,0.535924665844076
asid_136,cell,color,Rhodotorula mucilaginosa,206,3,200,14.813341400197942,0.004975124378109453,0.17261120866256952
asid_138,cell,color,Rhodotorula mucilaginosa,206,3,200,0.23546532604609638,0.6766169154228856,0.8789034866959079
asid_139,cell,color,Rhodotorula mucilaginosa,206,3,200,0.46834524901066743,0.23880597014925373,0.607278884478175
asid_152,cell,color,Rhodotorula mucilaginosa,206,3,200,1.5856646483275654,0.31840796019900497,0.6681823260836135
asid_154,cell,color,Rhodotorula mucilaginosa,206,3,200,1.9874640510214476,0.34328358208955223,0.6872225634660807
asid_10098,cell,color,Rhodotorula mucilaginosa,206,3,200,0.20142690131990548,0.39303482587064675,0.6989013852913687
asid_157,cell,color,Rhodotorula mucilaginosa,206,3,200,13.265202779479068,0.15920398009950248,0.535924665844076
asid_64,cell,color,Rhodotorula mucilaginosa,206,3,200,8.89146068007949,0.01990049751243781,0.2893697920260025
asid_181,cell,color,Rhodotorula mucilaginosa,206,3,200,0.3138699344467568,0.9154228855721394,1.0
asid_4030,cell,color,Rhodotorula mucilaginosa,206,3,200,0.1306533233416758,0.8557213930348259,0.9774198482292001
asid_185,cell,color,Rhodotorula mucilaginosa,206,3,200,1.4327971703762614,0.4975124378109453,0.7476154260544412
asid_32407,cell,color,Rhodotorula mucilaginosa,206,3,200,8.454591696434022,0.03482587064676617,0.36155307072995857
