dedup_group_id,fraction,predictor,species,n_strains,n_perm,spearman_rho,empirical_p,empirical_fdr,asymptotic_p,asymptotic_fdr
asid_2687,cell,a*,Rhodotorula mucilaginosa,209,500,-0.14588437877911561,0.05788423153692615,0.8930007284010179,0.03505986725425875,0.6300341138990114
asid_5769,cell,a*,Rhodotorula mucilaginosa,209,500,-0.13754272043745727,0.06187624750499002,0.893498915697197,0.04703828001509699,0.6453289286630882
asid_136,cell,a*,Rhodotorula mucilaginosa,209,500,-0.011706791279968393,0.9540918163672655,1.0,0.8663992989181221,0.9670642863881073
asid_138,cell,a*,Rhodotorula mucilaginosa,209,500,0.0999393236920701,0.08782435129740519,0.899861406754597,0.14993872115898715,0.7102864821979791
asid_139,cell,a*,Rhodotorula mucilaginosa,209,500,0.039518138892697674,0.5528942115768463,0.9699537924708099,0.5699652069878565,0.8708948464715152
asid_152,cell,a*,Rhodotorula mucilaginosa,209,500,0.039566756035499605,0.5049900199600799,0.9564818997638752,0.5694903842510245,0.8707390818924025
asid_154,cell,a*,Rhodotorula mucilaginosa,209,500,0.023745901940568883,0.7445109780439122,0.992862051073497,0.7328929466774867,0.9341353392335333
asid_10098,cell,a*,Rhodotorula mucilaginosa,209,500,-0.0656858998024381,0.3093812375249501,0.9184147428413613,0.3446916480169194,0.785116843104671
asid_157,cell,a*,Rhodotorula mucilaginosa,209,500,0.14634087030072435,0.5289421157684631,0.9615277436653749,0.03448681427743748,0.6270753419032808
asid_64,cell,a*,Rhodotorula mucilaginosa,209,500,-0.05488458909511541,0.6906187624750499,0.992862051073497,0.4299403180234417,0.8212690605977909
asid_181,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09051317246954432,0.18363273453093812,0.899861406754597,0.19245088317946188,0.7127251224849431
asid_4030,cell,a*,Rhodotorula mucilaginosa,209,500,0.02346020096593653,0.8183632734530938,0.9931031368295675,0.7359868424548712,0.9341353392335333
asid_185,cell,a*,Rhodotorula mucilaginosa,209,500,-0.065473999684526,0.41317365269461076,0.9484800283938551,0.3462536128674384,0.785116843104671
asid_32407,cell,a*,Rhodotorula mucilaginosa,209,500,-0.05127241179872759,0.7465069860279441,0.992862051073497,0.46095435105398197,0.8395202658230224
asid_191,cell,a*,Rhodotorula mucilaginosa,209,500,-0.046884921019569134,0.49101796407185627,0.9540901796243512,0.5002393447002114,0.8429956180924583
asid_192,cell,a*,Rhodotorula mucilaginosa,209,500,-0.0930327619075339,0.19760479041916168,0.899861406754597,0.180310267558596,0.7102864821979791
asid_202,cell,a*,Rhodotorula mucilaginosa,209,500,-0.020409776276461313,0.7984031936127745,0.992862051073497,0.7692762846611746,0.9341353392335333
asid_326,cell,a*,Rhodotorula mucilaginosa,209,500,0.19010488201766626,0.15169660678642716,0.899861406754597,0.0058330933814117105,0.37205676703058477
asid_209,cell,a*,Rhodotorula mucilaginosa,209,500,0.051790682822392804,0.32335329341317365,0.9221544973318061,0.456429650166299,0.8381525395016604
asid_213,cell,a*,Rhodotorula mucilaginosa,209,500,-0.020409776276461313,0.7984031936127745,0.992862051073497,0.7692762846611746,0.9341353392335333
asid_225,cell,a*,Rhodotorula mucilaginosa,209,500,-0.03640879283773703,0.5508982035928144,0.9696958869879113,0.6007149670568916,0.883156718426578
asid_954,cell,a*,Rhodotorula mucilaginosa,209,500,-0.008751774541248225,0.8922155688622755,1.0,0.8999167304260772,0.9760177875454085
asid_6695,cell,a*,Rhodotorula mucilaginosa,209,500,-0.12376833692623167,0.08383233532934131,0.899861406754597,0.07419027761946534,0.6929653052745318
asid_34,cell,a*,Rhodotorula mucilaginosa,209,500,0.1748724959251275,0.7425149700598802,0.992862051073497,0.01132572629215375,0.4815670525126078
asid_230,cell,a*,Rhodotorula mucilaginosa,209,500,-0.005848977486977908,0.9301397205588823,1.0,0.9330156606524576,0.9850190696903555
asid_233,cell,a*,Rhodotorula mucilaginosa,209,500,-0.07668384247331615,0.3073852295409182,0.9159458860057663,0.26977427300650164,0.7452938651394133
asid_221,cell,a*,Rhodotorula mucilaginosa,209,500,-0.00197958536315112,0.9700598802395209,1.0,0.9773056987764014,0.9919785563763457
asid_250,cell,a*,Rhodotorula mucilaginosa,209,500,0.03642015878857984,0.6506986027944112,0.992862051073497,0.6006012201570806,0.8831270277699129
asid_252,cell,a*,Rhodotorula mucilaginosa,209,500,-0.041054615478375,0.656686626746507,0.992862051073497,0.5550505143903406,0.8627519269126193
asid_253,cell,a*,Rhodotorula mucilaginosa,209,500,0.04360921104527311,0.4311377245508982,0.9484800283938551,0.5306799772124513,0.8524520414508804
asid_256,cell,a*,Rhodotorula mucilaginosa,209,500,-0.0749195314410973,0.18363273453093812,0.899861406754597,0.28098053081175167,0.7521210390438173
asid_259,cell,a*,Rhodotorula mucilaginosa,209,500,0.04412056385842356,0.43912175648702595,0.9484800283938551,0.5258673153837643,0.8507604896697061
asid_2103,cell,a*,Rhodotorula mucilaginosa,209,500,0.06084967663915032,0.6646706586826348,0.992862051073497,0.38144927551197316,0.7934918260048431
asid_263,cell,a*,Rhodotorula mucilaginosa,209,500,0.043343437585310264,0.48902195608782434,0.9540901796243512,0.5331900733822966,0.8526705561119566
asid_272,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1784571964933222,0.005988023952095809,0.49153866180682115,0.00973115673662765,0.4547629682859655
asid_276,cell,a*,Rhodotorula mucilaginosa,209,500,-0.045484136088958266,0.8962075848303394,1.0,0.5131430751931053,0.8457715796756643
asid_52,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1694238881861523,0.013972055888223553,0.5888223552894212,0.01419073655232327,0.5056664082859246
asid_348,cell,a*,Rhodotorula mucilaginosa,209,500,0.18764524948735475,0.7025948103792415,0.992862051073497,0.0065144577556045125,0.3967514916961716
asid_286,cell,a*,Rhodotorula mucilaginosa,209,500,-0.02770063882321743,0.7265469061876247,0.992862051073497,0.6905283362160145,0.9268261630583783
asid_2492,cell,a*,Rhodotorula mucilaginosa,209,500,0.1077185971922814,0.6167664670658682,0.9895097636134935,0.12055442637523169,0.7064815995726887
asid_290,cell,a*,Rhodotorula mucilaginosa,209,500,-0.14343570039933048,0.023952095808383235,0.704385621280803,0.03827334222449022,0.6335737707343089
asid_291,cell,a*,Rhodotorula mucilaginosa,209,500,-0.00010456155576477963,0.998003992015968,1.0,0.9988011285990366,0.9993304349734929
asid_8726,cell,a*,Rhodotorula mucilaginosa,209,500,-0.05297991482202009,0.5069860279441117,0.9575726498184104,0.44614149208866294,0.832019404866052
asid_20964,cell,a*,Rhodotorula mucilaginosa,209,500,-0.2459774190212833,0.03992015968063872,0.8228085314087981,0.0003306222126278572,0.17133829745548984
asid_299,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09711310528433528,0.09780439121756487,0.899861406754597,0.16186205222438452,0.7102864821979791
asid_300,cell,a*,Rhodotorula mucilaginosa,209,500,0.11711581744434404,0.04590818363273453,0.8497514774372823,0.09126045254504579,0.7064815995726887
asid_4080,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09609935077814466,0.15568862275449102,0.899861406754597,0.16630771546783094,0.7102864821979791
asid_8653,cell,a*,Rhodotorula mucilaginosa,209,500,-0.13607817947600342,0.12974051896207583,0.899861406754597,0.0494594998917244,0.6466726855649284
asid_308,cell,a*,Rhodotorula mucilaginosa,209,500,-0.03776980807553234,0.654690618762475,0.992862051073497,0.5871636723430514,0.8778626966928105
asid_311,cell,a*,Rhodotorula mucilaginosa,209,500,0.07879827562887634,0.13373253493013973,0.899861406754597,0.25675019047545405,0.7450519604410107
asid_312,cell,a*,Rhodotorula mucilaginosa,209,500,0.05691289537280307,0.3373253493013972,0.9286530467789996,0.4130664094423865,0.8119920688593759
asid_313,cell,a*,Rhodotorula mucilaginosa,209,500,0.05081697499373175,0.281437125748503,0.9119321003528049,0.46495094570800566,0.8417938666846994
asid_316,cell,a*,Rhodotorula mucilaginosa,209,500,0.0577111538102008,0.2954091816367265,0.9159458860057663,0.4065338227126438,0.8088941747066892
asid_318,cell,a*,Rhodotorula mucilaginosa,209,500,-0.08735976334633987,0.7105788423153693,0.992862051073497,0.2084723618851589,0.7201080963712113
asid_9484,cell,a*,Rhodotorula mucilaginosa,209,500,-0.19657849521921056,0.003992015968063872,0.42823444021048807,0.004334317968559276,0.3465217705929486
asid_329,cell,a*,Rhodotorula mucilaginosa,209,500,0.01192557870247257,0.8483033932135728,0.9956094707985187,0.8639263954578396,0.9660847917776901
asid_330,cell,a*,Rhodotorula mucilaginosa,209,500,0.056134051405607774,0.29740518962075846,0.9159458860057663,0.41949922385540517,0.8171170135086375
asid_332,cell,a*,Rhodotorula mucilaginosa,209,500,-0.028687341994368756,0.6686626746506986,0.992862051073497,0.680100721432785,0.9208477926456526
asid_28976,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04337241476522026,0.43912175648702595,0.9484800283938551,0.5329161093478064,0.8526603992486523
asid_4926,cell,a*,Rhodotorula mucilaginosa,209,500,-0.10861865617521346,0.05788423153692615,0.8930007284010179,0.11746585858034297,0.7064815995726887
asid_11030,cell,a*,Rhodotorula mucilaginosa,209,500,-0.15740443766759557,0.01996007984031936,0.6542470614326902,0.02283826121681318,0.5698754814526412
asid_337,cell,a*,Rhodotorula mucilaginosa,209,500,,,,,
asid_22689,cell,a*,Rhodotorula mucilaginosa,209,500,-0.17530698120920177,0.007984031936127744,0.5197880101865234,0.01112091775890704,0.4815670525126078
asid_341,cell,a*,Rhodotorula mucilaginosa,209,500,0.06886593170582916,0.7844311377245509,0.992862051073497,0.321788558536271,0.7729200413838733
asid_345,cell,a*,Rhodotorula mucilaginosa,209,500,-0.06071851446464829,0.6626746506986028,0.992862051073497,0.3824783201206806,0.7936392047066948
asid_5466,cell,a*,Rhodotorula mucilaginosa,209,500,0.02684225970716214,0.6846307385229541,0.992862051073497,0.6996475598165075,0.9293260560919937
asid_5738,cell,a*,Rhodotorula mucilaginosa,209,500,-0.03466450666511153,0.5389221556886228,0.9664561454598403,0.6182844257939446,0.8921744083605682
asid_351,cell,a*,Rhodotorula mucilaginosa,209,500,0.08197974102328409,0.11177644710578842,0.899861406754597,0.23798159056027732,0.7450519604410107
asid_355,cell,a*,Rhodotorula mucilaginosa,209,500,-0.08767548241232452,0.18363273453093812,0.899861406754597,0.2068263513497501,0.7201080963712113
asid_357,cell,a*,Rhodotorula mucilaginosa,209,500,-0.025113044849886954,0.9640718562874252,1.0,0.7181483129743178,0.9341353392335333
asid_358,cell,a*,Rhodotorula mucilaginosa,209,500,-0.10257158207845386,0.19560878243512975,0.899861406754597,0.13944323018484697,0.7089141353250125
asid_11745,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1292326094957674,0.0718562874251497,0.8960678379041124,0.062193009080122055,0.6798204380062927
asid_364,cell,a*,Rhodotorula mucilaginosa,209,500,-0.042109206582890794,0.4491017964071856,0.9484800283938551,0.5449243187310281,0.8587788929584148
asid_69,cell,a*,Rhodotorula mucilaginosa,209,500,0.07696776907303222,0.780439121756487,0.992862051073497,0.26799971287495233,0.7450519604410107
asid_368,cell,a*,Rhodotorula mucilaginosa,209,500,0.0035832309711549574,0.9580838323353293,1.0,0.9589337502831596,0.9860769225912775
asid_12683,cell,a*,Rhodotorula mucilaginosa,209,500,-0.11972895525527104,0.08183632734530938,0.899861406754597,0.08421485217701133,0.6929699309050901
asid_14882,cell,a*,Rhodotorula mucilaginosa,209,500,-0.07219491035280509,0.25748502994011974,0.9119321003528049,0.29889479732842245,0.7654409923076484
asid_372,cell,a*,Rhodotorula mucilaginosa,209,500,0.0274272682163668,0.8063872255489022,0.992862051073497,0.6934278026374145,0.9272289189944344
asid_374,cell,a*,Rhodotorula mucilaginosa,209,500,-0.03612351676628309,0.5269461077844312,0.961416941918251,0.6035730802886021,0.8843362469797723
asid_379,cell,a*,Rhodotorula mucilaginosa,209,500,0.13757263882062848,0.7864271457085829,0.992862051073497,0.04698986877840991,0.6453289286630882
asid_7731,cell,a*,Rhodotorula mucilaginosa,209,500,0.15289053052210946,0.5608782435129741,0.9727522724164018,0.02710055348205999,0.6019511173426971
asid_9253,cell,a*,Rhodotorula mucilaginosa,209,500,0.020566681370079193,0.7305389221556886,0.992862051073497,0.7675530368592316,0.9341353392335333
asid_212,cell,a*,Rhodotorula mucilaginosa,209,500,0.052666724513549305,0.7265469061876247,0.992862051073497,0.44883814101535235,0.833209404961449
asid_385,cell,a*,Rhodotorula mucilaginosa,209,500,0.12574613377771576,0.23952095808383234,0.9102567811237429,0.06964755968058764,0.6929653052745318
asid_387,cell,a*,Rhodotorula mucilaginosa,209,500,0.1190669622680693,0.15169660678642716,0.899861406754597,0.08595701061352538,0.6969237929119962
asid_393,cell,a*,Rhodotorula mucilaginosa,209,500,-0.06062621588937379,0.3213572854291417,0.9221544973318061,0.38320346857003595,0.7937027083416539
asid_817,cell,a*,Rhodotorula mucilaginosa,209,500,0.05951022661548978,0.36726546906187624,0.9401155226701586,0.39203731306520584,0.7987785970437521
asid_2361,cell,a*,Rhodotorula mucilaginosa,209,500,0.013931050202527445,0.7944111776447106,0.992862051073497,0.8413236155238113,0.9561876872796506
asid_401,cell,a*,Rhodotorula mucilaginosa,209,500,0.07811994744176642,0.15568862275449102,0.899861406754597,0.2608803432326476,0.7450519604410107
asid_402,cell,a*,Rhodotorula mucilaginosa,209,500,0.15808693048713357,0.5469061876247505,0.9691748472268904,0.02224698714309426,0.5698754814526412
asid_18909,cell,a*,Rhodotorula mucilaginosa,209,500,-0.02706581445719588,0.6726546906187625,0.992862051073497,0.6972683565956601,0.928421484930338
asid_408,cell,a*,Rhodotorula mucilaginosa,209,500,-0.15279063042220936,0.04790419161676647,0.8630068108058692,0.027202118171820874,0.6022803073262291
asid_409,cell,a*,Rhodotorula mucilaginosa,209,500,0.05085005127968864,0.7944111776447106,0.992862051073497,0.46466004867062394,0.8416030012109343
asid_410,cell,a*,Rhodotorula mucilaginosa,209,500,0.07861178769711219,0.2714570858283433,0.9119321003528049,0.2578811456214283,0.7450519604410107
asid_411,cell,a*,Rhodotorula mucilaginosa,209,500,-0.002957568747042431,0.9620758483033932,1.0,0.9660995240999888,0.9885085093760996
asid_186,cell,a*,Rhodotorula mucilaginosa,209,500,-0.05495557074504443,0.7265469061876247,0.992862051073497,0.429343177511314,0.8212481593050655
asid_2420,cell,a*,Rhodotorula mucilaginosa,209,500,-0.007789578842210421,0.9101796407185628,1.0,0.9108718122430752,0.9791490791485735
asid_417,cell,a*,Rhodotorula mucilaginosa,209,500,-0.02096968080014392,0.7485029940119761,0.992862051073497,0.7631322426878246,0.9341353392335333
asid_418,cell,a*,Rhodotorula mucilaginosa,209,500,-0.023045818020355647,0.720558882235529,0.992862051073497,0.7404818047491443,0.9341353392335333
asid_8300,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1269073032230927,0.0718562874251497,0.8960678379041124,0.0670878797287359,0.690116958874244
asid_6130,cell,a*,Rhodotorula mucilaginosa,209,500,-0.13190362269309638,0.10978043912175649,0.899861406754597,0.05693640856170843,0.6614930019798697
asid_425,cell,a*,Rhodotorula mucilaginosa,209,500,-0.06855784814907882,0.8902195608782435,1.0,0.3239632663913221,0.7743621931789704
asid_428,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04701813410535977,0.499001996007984,0.9542819123657448,0.4990211745909474,0.8424424683592541
asid_133,cell,a*,Rhodotorula mucilaginosa,209,500,0.10798789464202249,0.06986027944111776,0.8948182332756468,0.11962378340683984,0.7064815995726887
asid_11360,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09665477573607087,0.20359281437125748,0.899861406754597,0.16386082870101296,0.7102864821979791
asid_432,cell,a*,Rhodotorula mucilaginosa,209,500,-0.06367379175684634,0.2554890219560878,0.9119321003528049,0.35970337575823386,0.7894476903804917
asid_435,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1410621229462448,0.015968063872255488,0.6029540918163672,0.041622074077623146,0.6376946164460603
asid_436,cell,a*,Rhodotorula mucilaginosa,209,500,-0.08456280561543719,0.2155688622754491,0.899861406754597,0.22346721768390346,0.731613850261823
asid_440,cell,a*,Rhodotorula mucilaginosa,209,500,-0.06506651243493349,0.32335329341317365,0.9221544973318061,0.3492698514195659,0.785116843104671
asid_441,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04694773291347239,0.7065868263473054,0.992862051073497,0.4996647648668924,0.8424424683592541
asid_443,cell,a*,Rhodotorula mucilaginosa,209,500,0.12662174547929522,0.5568862275449101,0.9702853429353916,0.06771012313060157,0.690116958874244
asid_444,cell,a*,Rhodotorula mucilaginosa,209,500,0.058068915434476176,0.313373253493014,0.9221544973318061,0.4036260395884943,0.8061565824006482
asid_448,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09480650928019349,0.14171656686626746,0.899861406754597,0.1721087161179904,0.7102864821979791
asid_4258,cell,a*,Rhodotorula mucilaginosa,209,500,0.05031026604803293,0.38323353293413176,0.9423611750190685,0.46941986007406655,0.8424424683592541
asid_458,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04111068318032324,0.5149700598802395,0.9584616256446097,0.5545098621832583,0.8626696004137275
asid_5097,cell,a*,Rhodotorula mucilaginosa,209,500,-0.06939736048621019,0.24151696606786427,0.9114839314234339,0.31805958338997176,0.7718427889760427
asid_7040,cell,a*,Rhodotorula mucilaginosa,209,500,-0.11742430750065447,0.043912175648702596,0.8340662738908501,0.09040497352068054,0.7064815995726887
asid_84,cell,a*,Rhodotorula mucilaginosa,209,500,0.09618145012881855,0.6107784431137725,0.9859351065311239,0.16594432432325698,0.7102864821979791
asid_3624,cell,a*,Rhodotorula mucilaginosa,209,500,0.08768156041760371,0.8223552894211577,0.9941137062537748,0.2067947556389484,0.7201080963712113
asid_473,cell,a*,Rhodotorula mucilaginosa,209,500,-0.08984418393416961,0.23952095808383234,0.9102567811237429,0.19577238440185227,0.7136242598746844
asid_474,cell,a*,Rhodotorula mucilaginosa,209,500,0.01823377512964765,0.8183632734530938,0.9931031368295675,0.7932879125769756,0.9422999021602955
asid_93,cell,a*,Rhodotorula mucilaginosa,209,500,0.04913213321026826,0.4291417165668663,0.9484800283938551,0.47990093506783826,0.8424424683592541
asid_480,cell,a*,Rhodotorula mucilaginosa,209,500,-0.020409776276461313,0.7984031936127745,0.992862051073497,0.7692762846611746,0.9341353392335333
asid_4935,cell,a*,Rhodotorula mucilaginosa,209,500,-0.07674825174825174,0.3013972055888224,0.9159458860057663,0.26937101069758157,0.7450519604410107
asid_483,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09521227088781031,0.1437125748502994,0.899861406754597,0.17027209895521547,0.7102864821979791
asid_485,cell,a*,Rhodotorula mucilaginosa,209,500,0.07183738068850071,0.7005988023952096,0.992862051073497,0.30130049944075515,0.7665705635592641
asid_486,cell,a*,Rhodotorula mucilaginosa,209,500,-0.05610706928173093,0.34331337325349304,0.9315893352958887,0.4197231239442223,0.8171170135086375
asid_640,cell,a*,Rhodotorula mucilaginosa,209,500,-0.006184604868815395,0.9281437125748503,1.0,0.9291817133572877,0.9847598332709661
asid_489,cell,a*,Rhodotorula mucilaginosa,209,500,-0.0503181029496819,0.38922155688622756,0.9445376598987116,0.46935056357591054,0.8424424683592541
asid_490,cell,a*,Rhodotorula mucilaginosa,209,500,-0.03998460553360465,0.5069860279441117,0.9575726498184104,0.565417175070839,0.8682482804468995
asid_83,cell,a*,Rhodotorula mucilaginosa,209,500,0.017391933014289446,0.9700598802395209,1.0,0.8026312515298156,0.943820097907409
asid_495,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09249675321887493,0.16367265469061876,0.899861406754597,0.1828445156578792,0.7102864821979791
asid_150,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1053716367092296,0.14171656686626746,0.899861406754597,0.12890494919641424,0.7064815995726887
asid_499,cell,a*,Rhodotorula mucilaginosa,209,500,-0.07209697303835243,0.2215568862275449,0.899861406754597,0.299552516694082,0.765842468768906
asid_500,cell,a*,Rhodotorula mucilaginosa,209,500,-0.019534675963929188,0.8063872255489022,0.992862051073497,0.7789078252041542,0.9365388074651083
asid_504,cell,a*,Rhodotorula mucilaginosa,209,500,-0.06192228823807771,0.41916167664670656,0.9484800283938551,0.37309744777710685,0.7912038056464447
asid_505,cell,a*,Rhodotorula mucilaginosa,209,500,0.14758136600241864,0.23952095808383234,0.9102567811237429,0.03296954605912092,0.6217051714600921
asid_509,cell,a*,Rhodotorula mucilaginosa,209,500,0.14250379817606343,0.043912175648702596,0.8340662738908501,0.039559954550258986,0.6335737707343089
asid_511,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04701153359691802,0.7065868263473054,0.992862051073497,0.49908149622335973,0.8424424683592541
asid_6648,cell,a*,Rhodotorula mucilaginosa,209,500,-0.034492326960740616,0.8063872255489022,0.992862051073497,0.6200307522051072,0.8931561459850834
asid_515,cell,a*,Rhodotorula mucilaginosa,209,500,-0.16690046087242474,0.001996007984031936,0.384537048352275,0.015720223418209042,0.5236183443059322
asid_516,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04280722238323028,0.4810379241516966,0.9540901796243512,0.5382724312776397,0.8549338027727715
asid_1168,cell,a*,Rhodotorula mucilaginosa,209,500,0.0009175035490824964,0.9940119760479041,1.0,0.9894804784445714,0.9955435562922628
asid_522,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09069877490930123,0.18363273453093812,0.899861406754597,0.1915367039718027,0.7110131677128657
asid_164,cell,a*,Rhodotorula mucilaginosa,209,500,-0.022800894873841262,0.7544910179640718,0.992862051073497,0.7431427280591045,0.9341353392335333
asid_524,cell,a*,Rhodotorula mucilaginosa,209,500,0.07638285279945888,0.7005988023952096,0.992862051073497,0.27166419815838305,0.7467996594685895
asid_1365,cell,a*,Rhodotorula mucilaginosa,209,500,-0.021945102952458384,0.7584830339321357,0.992862051073497,0.7524640769683608,0.9341353392335333
asid_4125,cell,a*,Rhodotorula mucilaginosa,209,500,0.0027859623868825385,0.9700598802395209,1.0,0.9680654487894695,0.9888052192785752
asid_537,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09058178663441821,0.17365269461077845,0.899861406754597,0.1921125559378594,0.7120308315875119
asid_140,cell,a*,Rhodotorula mucilaginosa,209,500,-0.08591765122180282,0.14171656686626746,0.899861406754597,0.21611073245775783,0.7274272150712748
asid_542,cell,a*,Rhodotorula mucilaginosa,209,500,-0.0659997896840002,0.3033932135728543,0.9159458860057663,0.3423861079971384,0.7851160377100505
asid_14207,cell,a*,Rhodotorula mucilaginosa,209,500,-0.07551376200490965,0.23353293413173654,0.9012881840570699,0.27717167801196857,0.7489882582436764
asid_544,cell,a*,Rhodotorula mucilaginosa,209,500,-0.05371064622110159,0.500998003992016,0.9542819123657448,0.43988545422937364,0.8265369319204843
asid_545,cell,a*,Rhodotorula mucilaginosa,209,500,-0.02983049025026046,0.6327345309381237,0.992862051073497,0.6680953884593503,0.914296965360433
asid_6097,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09580751450533652,0.41317365269461076,0.9484800283938551,0.16760426111913715,0.7102864821979791
asid_547,cell,a*,Rhodotorula mucilaginosa,209,500,-0.013283856920454822,0.8063872255489022,0.992862051073497,0.848604596761303,0.9587221957447539
