dedup_group_id,fraction,predictor,species,n_strains,n_perm,spearman_rho,empirical_p,empirical_fdr,asymptotic_p,asymptotic_fdr
asid_6547,cell,a*,Rhodotorula mucilaginosa,209,500,0.14004570690855211,0.03792415169660679,0.8136454363999275,0.043129604838572706,0.6376946164460603
asid_7520,cell,a*,Rhodotorula mucilaginosa,209,500,0.12677585572322414,0.7265469061876247,0.992862051073497,0.06737372697444695,0.690116958874244
asid_1109,cell,a*,Rhodotorula mucilaginosa,209,500,-0.03424207371575792,0.6826347305389222,0.992862051073497,0.6225727320928514,0.8942389238911629
asid_1408,cell,a*,Rhodotorula mucilaginosa,209,500,0.08218886376781114,0.9560878243512974,1.0,0.2367825022428348,0.7450519604410107
asid_1,cell,a*,Rhodotorula mucilaginosa,209,500,-0.12440962900755688,0.13373253493013973,0.899861406754597,0.07269169843564441,0.6929653052745318
asid_2,cell,a*,Rhodotorula mucilaginosa,209,500,0.07323203112676797,0.9560878243512974,1.0,0.2919885344216058,0.7597948578754895
asid_3,cell,a*,Rhodotorula mucilaginosa,209,500,0.11863005415636994,0.7664670658682635,0.992862051073497,0.0871225680294743,0.6992530534620951
asid_2299,cell,a*,Rhodotorula mucilaginosa,209,500,0.06242519812820911,0.46706586826347307,0.9514276131878916,0.3692205843630334,0.7912038056464447
asid_6120,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1699501553670256,0.011976047904191617,0.5624571752018351,0.01388871299975871,0.5056664082859246
asid_37,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04472168068584395,0.4351297405189621,0.9484800283938551,0.5202382918950712,0.8492580962721265
asid_8023,cell,a*,Rhodotorula mucilaginosa,209,500,-0.09470794559194266,0.1277445109780439,0.899861406754597,0.17255706246333535,0.7102864821979791
asid_42,cell,a*,Rhodotorula mucilaginosa,209,500,-0.12891772157557624,0.027944111776447105,0.7515453423637056,0.06283817204834413,0.6815409539547548
asid_48,cell,a*,Rhodotorula mucilaginosa,209,500,0.05436668594563331,0.48902195608782434,0.9540901796243512,0.43431170010175546,0.8249300702133947
asid_51,cell,a*,Rhodotorula mucilaginosa,209,500,-0.14248497634427362,0.11377245508982035,0.899861406754597,0.03958631148430062,0.6335737707343089
asid_55,cell,a*,Rhodotorula mucilaginosa,209,500,-0.11887454650612546,0.18163672654690619,0.899861406754597,0.08646877537213181,0.6982594007809446
asid_841,cell,a*,Rhodotorula mucilaginosa,209,500,-0.029525737420474263,0.6347305389221557,0.992862051073497,0.6712878256649083,0.916407386012543
asid_11312,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1408657132341343,0.05588822355289421,0.8896877408757526,0.04190988287057052,0.6376946164460603
asid_13848,cell,a*,Rhodotorula mucilaginosa,209,500,,,,,
asid_72,cell,a*,Rhodotorula mucilaginosa,209,500,0.08466402019033598,0.3393213572854291,0.9295396438695446,0.22291157688547417,0.7315926892557888
asid_223,cell,a*,Rhodotorula mucilaginosa,209,500,0.00792496976707503,0.8862275449101796,1.0,0.9093292528106062,0.9791490791485735
asid_86,cell,a*,Rhodotorula mucilaginosa,209,500,0.015537094484462905,0.8902195608782435,1.0,0.8233148429385295,0.9517219545345862
asid_87,cell,a*,Rhodotorula mucilaginosa,209,500,-0.00907644986592355,0.872255489021956,0.9984193239458659,0.8962243006415936,0.9753697715075679
asid_733,cell,a*,Rhodotorula mucilaginosa,209,500,0.056528572481457894,0.3153692614770459,0.9221544973318061,0.4162334221659104,0.8141322176092582
asid_3175,cell,a*,Rhodotorula mucilaginosa,209,500,0.007400494242599506,0.9001996007984032,1.0,0.9153066353173364,0.9800743305564893
asid_1689,cell,a*,Rhodotorula mucilaginosa,209,500,-0.04355775803144224,0.7405189620758483,0.992862051073497,0.5311654597783053,0.8524520414508804
asid_100,cell,a*,Rhodotorula mucilaginosa,209,500,0.08839581471160418,0.25748502994011974,0.9119321003528049,0.20310598316718323,0.7172109021405485
asid_2837,cell,a*,Rhodotorula mucilaginosa,209,500,-0.1368881118881119,0.05189620758483034,0.8763867613609989,0.048107978477727485,0.6456077465457365
asid_5691,cell,a*,Rhodotorula mucilaginosa,209,500,-0.11035543403964457,0.11177644710578842,0.899861406754597,0.11168069688796188,0.7064815995726887
asid_114,cell,a*,Rhodotorula mucilaginosa,209,500,-0.029912193070087807,0.6027944111776448,0.9817769567834655,0.6672405200832096,0.9137101873872756
asid_122,cell,a*,Rhodotorula mucilaginosa,209,500,-0.0765855737047119,0.18163672654690619,0.899861406754597,0.2703903192016385,0.7456201311124493
