formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C23H39N5O6	[M + H]+	C23H40N5O6+		0.994	94.933	94.933	0.000	29	0.964	-1.830	2.146	-1.680		482.297	33	0.552	876480734598735293	876480707499337093	876480707495142788	2356	
1	C20H23N3O6S2	[M + H]+	C20H24N3O6S2+		0.864	179.540	179.540	0.000	46	0.980	-1.610	2.651	2.137		466.111	43	0.711	876481434833595422	876480708115899801	876480708111705496	16516	
1	C31H39N5O8	[M + H]+	C31H40N5O8+		0.676	136.661	136.661	0.000	46	0.853	-2.688	2.719	-5.308		610.284	142	2.372	876481121959487023	876480708229146013	876480708224951708	21389	
1	C21H31N5O5	[M + H]+	C21H32N5O5+		0.998	121.726	121.726	0.000	39	0.961	-2.236	2.419	-3.444		434.238	162	2.708	876480741821326802	876480707771966861	876480707767772556	5906	
1	C28H53ClN2O6S	[M + Na]+	C28H53ClN2NaO6S+		0.217	40.601	40.601	0.000	6	0.476	-3.599	3.599	-14.763		603.312	238	3.975	876480764550260208	876480708468221353	876480708468221352	41842	
1	C26H38N4O3	[M + H]+	C26H39N4O3+		0.509	166.965	166.965	0.000	39	0.816	-2.973	3.112	-6.957		455.299	324	5.405	876480856254522895	876480707138626941	876480707113461116	52	
1	C27H38N2O3	[M + H]+	C27H39N2O3+		0.644	51.053	51.053	0.000	12	0.866	-1.344	6.218	13.386		439.301	332	5.529	876480741280261575	876480708002653589	876480707998459284	10617	
1	C21H45O6	[M + H]+	C21H46O6+		0.981	58.511	58.511	0.000	15	0.790	-1.496	2.026	-18.235		394.322	364	6.071	876480768333522427	876480708455638437	876480708451444132	35250	
1	C47H69N3O7	[M + H]+	C47H70N3O7+		0.366	7.920	7.920	0.000	2	0.941	-1.811	2.438	-5.108		788.517	377	6.281	876480859639326234	876480707889407377	876480707885213072	6991	
1	C42H86O16	[M + Na]+	C42H86NaO16+		0.519	3.656	3.656	0.000	0	0.000	-2.653	2.653	-3.803		869.578	409	6.823	876480744417600988	876480708480804269	876480708476609964	47124	
1	C42H75N7O9	[M + H]+	C42H76N7O9+		0.417	10.088	10.088	0.000	1	0.451	5.999	5.999	-13.863		822.559	453	7.556	876480745461982694	876480707633554825	876480707629360520	4253	
1	C47H66N2O5	[M + H]+	C47H67N2O5+		0.538	104.034	104.034	0.000	30	0.812	-3.031	3.262	3.990		739.507	454	7.569	876480794069771781	876480707356730753	876480707348342144	1771	
1	C20H32O17	[M + Na]+	C20H32NaO17+		0.448	124.756	124.756	0.000	21	0.815	-1.950	2.421	1.287		567.154	459	7.651	876480887283983909	876480708342392225	876480708338197920	27668	
