Strain ID,Strain,Species,PCoA1,PCoA2,L,a,b
1,TFCN_17-291Y-1,Rhodotorula mucilaginosa,-0.48543678505512283,0.7719541265216154,74.4065104320801,10.2193943170427,4.62709083288781
2,TFCN_134A-3,Rhodotorula mucilaginosa,-0.5783983685691677,-0.7827671468992372,74.8390146525096,10.6646558433661,3.00532414810906
3,TFCN_98A-5,Rhodotorula mucilaginosa,0.797165575095738,-1.4766829099826817,74.6255439921095,9.5646790534335,1.68820503275542
4,TFCN_102C-2,Rhodotorula mucilaginosa,-1.5814710462534878,-2.443403753770858,75.7031207558279,11.9341765988286,1.76931572599181
5,TFCN_105A-2,Rhodotorula mucilaginosa,-1.191612249834273,-0.4711954311574587,73.7745430544409,11.4333516475857,2.63875372420743
6,TFCN_17-334Y-2,Rhodotorula mucilaginosa,-0.8839534489446466,-0.9934454628683307,73.9960689328322,11.2306051273895,2.09518808660548
7,TFCN_17-329Y-4,Rhodotorula mucilaginosa,0.37665311866528955,1.3031980911466343,72.1645850685104,9.75278516756549,3.30262626684705
8,TFCN_107A-6,Rhodotorula mucilaginosa,-2.7409295386045,2.804563750788718,73.1684708175677,12.1416514253847,6.62521614335988
9,TFCN_17-390M-1,Rhodotorula mucilaginosa,-1.1941878534419488,0.7061705486690923,74.0699794699648,11.0182009005583,4.39406480731059
10,TFCN_86C-9,Rhodotorula sphaerocarpa,-1.642390350147546,2.3670106975308065,72.1733689978466,11.4272611194875,5.0427877060594
11,TFCN_122C-2,Rhodotorula mucilaginosa,0.7201738868490662,-1.7861124853809485,75.3647352797334,9.55380944885558,1.91483615348281
12,TFCN_4M-1-3,Rhodotorula mucilaginosa,-1.608848407111911,-0.33184188243953705,74.2497726788568,11.6891795860052,3.28558255500939
13,TFCN_141C-2,Rhodotorula mucilaginosa,-0.8218575536781414,-1.0546105820124814,74.2782759269652,11.1195209786398,2.23817513090368
14,TFCN_130D-4,Rhodotorula mucilaginosa,-0.5573085259742213,-0.8814390522301603,74.3087220797853,10.8005016721196,2.43739812762955
15,TFCN_3M-1-1,Rhodotorula mucilaginosa,-0.792778715405618,0.9122437016630949,73.6363136222982,10.6662788497948,4.22775404047155
16,TFCN_186DK3-2,Rhodotorula sp. clade XI,-0.5477327093225507,-1.572563075536869,75.1238175334507,10.7984271380699,2.22098545418806
17,TFCN_7-9-3,Rhodotorula diobovata,-0.3390578088524878,1.9725910137858325,74.7594779869575,9.63675651727752,6.43261362403183
18,TFCN_25-395P-1,Rhodotorula mucilaginosa,-0.03537936720888044,0.11060364560319934,75.5021872783471,9.70695510021003,4.60016545646236
19,TFCN_152A-12,Rhodotorula mucilaginosa,-1.6284566914695155,-0.37571073706470376,74.0544060421004,11.7684209868189,3.07168710475514
20,TFCN_102D-1,Rhodotorula mucilaginosa,0.8397178305644332,1.7879386927735745,73.3380227757149,8.87141526684745,4.808472052502
21,TFCN_4M-1-2,Rhodotorula mucilaginosa,-1.1487914918787654,3.586356604537022,72.1139233221684,10.5961508764014,6.46891577162867
22,TFCN_209-6-11,Rhodotorula mucilaginosa,0.3434620366838693,-0.26030539796263447,73.574454577114,9.9065870752803,2.46494477444483
23,TFCN_110C-1,Rhodotorula mucilaginosa,3.7091046518709145,2.1323834334398266,71.2800810286025,6.43734054195056,3.03063535472329
24,TFCN_17-337P-5,Rhodotorula mucilaginosa,-1.3559752761015715,-0.5527315793852398,74.5700853220958,11.4279386020672,3.22027172454275
25,TFCN_137C-3,Rhodotorula mucilaginosa,-0.3890908681395928,-1.1328983842919578,73.6012572765501,10.8789579806825,1.50043888333397
26,TFCN_212C-2,Rhodotorula mucilaginosa,-1.0925489165966926,-1.2882417599179383,74.7094300517155,11.3513376890279,2.34324908305211
27,TFCN_25-0-2E390-1,Rhodotorula mucilaginosa,-0.2285186095524717,0.38223882055976416,73.5877930320512,10.2779039210127,3.40476246865301
28,TFCN_1A-1-3,Rhodotorula pacifica,0.2541014564698812,0.11491149124711321,73.8152318321741,9.82626219445341,3.16141636152164
29,TFCN_25-332D-2,Rhodotorula mucilaginosa,2.767234424017128,-2.0671939763854894,74.9528126190603,7.71828016394015,0.84164755600609
30,TFCN_2M-1-4,Rhodotorula mucilaginosa,-2.650279587883568,3.4118803453283513,71.5368608473653,12.2660683818819,6.042269135146711
