structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	2	0.984	0.984	-127.011		0.053	50.341	C15H25N5O9S2	[M + H]+	C15H26N5O9S2+	XWTZJVNNRXDFKT	InChI=1S/C15H25N5O9S2/c16-7(15(28)29)1-2-10(21)20-9(14(27)19-4-12(24)25)6-31-30-5-8(17)13(26)18-3-11(22)23/h7-9H,1-6,16-17H2,(H,18,26)(H,19,27)(H,20,21)(H,22,23)(H,24,25)(H,28,29)	H-gGlu-Cys(1)-Gly-OH.H-Cys(1)-Gly-OH	C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N	-8.300	102124098	NORMAN:(NS00103921);PUBCHEM:(102124098)	262146	484.115	32	0.539	876481581800604703	876481524971979780	876481524971979779	42366	
1	3	0.062	0.160	-445.520		0.003	134.820	C30H43N3O5	[M + Na]+	C30H43N3NaO5+	LJBDZBPRKRUUJF	InChI=1S/C30H43N3O5/c1-6-20(2)26(27(31)35)33-28(36)23(17-21-13-9-7-10-14-21)19-25(34)24(18-22-15-11-8-12-16-22)32-29(37)38-30(3,4)5/h7-16,20,23-26,34H,6,17-19H2,1-5H3,(H2,31,35)(H,32,37)(H,33,36)	tert-butyl N-[6-[[(2S,3S)-1-amino-3-methyl-1-oxopentan-2-yl]amino]-5-benzyl-3-hydroxy-6-oxo-1-phenylhexan-2-yl]carbamate	CCC(C)C(C(=O)N)NC(=O)C(CC1=CC=CC=C1)CC(C(CC2=CC=CC=C2)NC(=O)OC(C)(C)C)O	4.600	15693470;5479272;135696838;70049650;453511	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(15693470 5479272 135696838 70049650 453511);PUBMED:(null)	16777282	548.318	53	0.890	876481707248043092	876481524091175908	876481524086981603	6175	
1	8	0.463	0.463	-340.774		0.000	87.908	C21H31NO7S	[M + Na]+	C21H31NNaO7S+	OXCSBZDIZXLXRX	InChI=1S/C21H31NO7S/c22-16(21(28)29)15-30-18(17(23)11-10-14-20(26)27)12-8-6-4-2-1-3-5-7-9-13-19(24)25/h1-2,4-8,12,16-18,23H,3,9-11,13-15,22H2,(H,24,25)(H,26,27)(H,28,29)	13-[(2-amino-2-carboxyethyl)sulfanyl]-14-hydroxyoctadeca-4,7,9,11-tetraenedioic acid	C(CC(C(C=CC=CC=CCC=CCCC(=O)O)SCC(C(=O)O)N)O)CC(=O)O	-0.600	53481489;163039246;101925322;76043772;71581063	PUBCHEMANNOTATIONBIO;COCONUT:(CNP0319688);HMDB:(HMDB0012607);CHEBI:(74017);LIPIDMAPS:(LMFA03020056);SUPERNATURAL:(SN0277545);FooDB:(FDB029145);PUBCHEM:(53481489 163039246 101925322 76043772 71581063);LOTUS:(Q27144335);PUBCHEMANNOTATIONDRUG	3006267434	464.169	93	1.555	876481594614203450	876481524812596220	876481524808401915	34643	
1	1	0.900	0.900	-210.859		0.761	160.816	C22H33N5O6	[M + H]+	C22H34N5O6+	SGCMEWMDYRXRKP	InChI=1S/C22H33N5O6/c1-13(2)10-17(21(31)27-16(22(32)33)8-9-18(24)28)26-19(29)12-25-20(30)15(23)11-14-6-4-3-5-7-14/h3-7,13,15-17H,8-12,23H2,1-2H3,(H2,24,28)(H,25,30)(H,26,29)(H,27,31)(H,32,33)	H-Phe-Gly-Leu-Gln	CC(C)CC(C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)CNC(=O)C(CC1=CC=CC=C1)N	-0.302	20004506;131716522	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(20004506 131716522)	16777218	464.249	94	1.567	876481805965182072	876481524191839208	876481524187644903	7707	
1	4	0.172	0.172	-316.687		0.050	104.912	C37H50N6O8S	[M + H]+	C37H51N6O8S+	RGYQASRDAAARFT	InChI=1S/C37H50N6O8S/c1-23(40-36(50)51-37(3,4)5)32(46)39-24(2)34(48)43-19-12-17-29(43)33(47)42-28(22-26-15-10-7-11-16-26)35(49)52-20-18-30(44)41-27(31(38)45)21-25-13-8-6-9-14-25/h6-11,13-16,23-24,27-29H,12,17-22H2,1-5H3,(H2,38,45)(H,39,46)(H,40,50)(H,41,44)(H,42,47)	Boc-Ala-Ala-Pro-Phe-Unk-Phe-NH2	CC(C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)SCCC(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)OC(C)(C)C	3.100	10865508	PUBCHEM:(10865508)	2	739.339	136	2.272	876482576031008244	876481523562693588	876481523541722067	1112	
1	2	0.662	0.662	-187.187		0.017	68.738	C27H47N5O7	[M + Na]+	C27H47N5NaO7+	PIKNTYLCNSRFHW	InChI=1S/C27H47N5O7/c1-9-10-18-12-20(33)28-13-21(34)31-22(15(4)5)26(37)30-19(11-14(2)3)25(36)29-17(8)24(35)32-23(16(6)7)27(38)39-18/h14-19,22-23H,9-13H2,1-8H3,(H,28,33)(H,29,36)(H,30,37)(H,31,34)(H,32,35)		CCCC1CC(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)C(C)C)C)CC(C)C)C(C)C	2.700	16680816;44715309;44423149	COCONUT:(CNP0461882);SUPERNATURAL:(SN0286294);PUBCHEM:(16680816 44715309 44423149);LOTUS:(Q105209567)	271581186	576.335	196	3.265	876481718182593629	876481524988757000	876481524988756999	44265	
1	4	0.135	0.135	-513.467		0.091	25.388	C34H51N7O10	[M + Na]+	C34H51N7NaO10+	SGVOISSWPIGPIM	InChI=1S/C34H51N7O10/c1-5-18(3)28(33(50)37-21(17-42)15-26(35)44)41-32(49)25(16-27(45)46)38-31(48)24(14-20-9-11-22(43)12-10-20)39-34(51)29(19(4)6-2)40-30(47)23-8-7-13-36-23/h9-12,17-19,21,23-25,28-29,36,43H,5-8,13-16H2,1-4H3,(H2,35,44)(H,37,50)(H,38,48)(H,39,51)(H,40,47)(H,41,49)(H,45,46)	H-Pro-Ile-Tyr-Asp-Ile-Asn-al	CCC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(=O)O)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)N)C=O)NC(=O)C2CCCN2	-2.200	156009102	PUBCHEMANNOTATIONBIO;PUBCHEM:(156009102)	16777218	740.365	222	3.700	876482009112102041	876481525001339916	876481525001339915	47376	
1	1	-Infinity	-Infinity	-1330.299		1.000	54.419	C55H90N6O12	[M + H]+	C55H91N6O12+	ZPVLXYZHKCVJDX	InChI=1S/C55H90N6O12/c1-49(27-62)15-17-55(48(70)71)18-16-51(3)32(35(55)23-49)9-10-39-52(51,4)14-11-38-50(2,28-63)44(73-46-43(67)42(66)37(64)26-72-46)41(65)34(53(38,39)5)22-33-40(61-47(69)54(33)12-7-8-13-54)31(36-25-59-29-60-36)21-30(45(56)68)24-58-20-19-57-6/h9,25,29-31,33-35,37-46,57-58,62-68H,7-8,10-24,26-28,56H2,1-6H3,(H,59,60)(H,61,69)(H,70,71)	12-({3-[4-amino-4-hydroxy-1-(1H-imidazol-4-yl)-3-({[2-(methylamino)ethyl]amino}methyl)butyl]-1-oxo-2-azaspiro[4.4]nonan-4-yl}methyl)-11-hydroxy-2,9-bis(hydroxymethyl)-2,6a,6b,9,12a-pentamethyl-10-[(3,4,5-trihydroxyoxan-2-yl)oxy]-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(C(C(C(C5(C)CO)OC6C(C(C(CO6)O)O)O)O)CC7C(NC(=O)C78CCCC8)C(CC(CNCCNC)C(N)O)C9=CN=CN9)C)C)C2C1)C)C(=O)O)CO	-0.900	162835184;162835185	COCONUT:(CNP0096889);TeroMol:(TKC159564);SUPERNATURAL:(SN0477034);PUBCHEM:(162835184 162835185)	11534338	1027.668	298	4.973	876481611856987197	876481523772408792	876481523764020183	2082	
1	4	0.666	0.666	-464.852		0.072	18.329	C44H78NO12P	[M + H]+	C44H79NO12P+	CFWPBJBBOMABKR	InChI=1S/C44H78NO12P/c1-6-8-10-11-12-13-14-15-16-17-18-19-24-28-43(46)51-35-38(36-53-58(49,50)52-33-32-45(3,4)5)54-44(47)29-25-21-20-23-27-39-40(42-34-41(39)56-57-42)31-30-37(55-48)26-22-9-7-2/h9,20,22-23,30-31,37-42H,6-8,10-19,21,24-29,32-36H2,1-5H3,(H-,48,49,50)/p+1	OxPC 36:5+4O(2Cyc)	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCC=CCC1C2CC(C1C=CC(CC=CCC)OO)OO2	9.700	138134488;138134489	PUBCHEM:(138134488 138134489)	2	844.530	315	5.244	876481723358364777	876481523885655004	876481523881460699	2739	
1	2	0.302	0.302	-176.478		0.213	13.154	C31H44O4	[M + H]+	C31H45O4+	FJWIFMCUHVVWDK	InChI=1S/C31H44O4/c1-19(2)12-11-16-30(10)22(14-13-20(3)4)18-29(9)26-23(15-17-28(7,8)35-26)25(33)31(30,27(29)34)24(32)21(5)6/h12-13,15,17,21-22H,11,14,16,18H2,1-10H3	Papuaforin E	CC(C)C(=O)C12C(=O)C3=C(C(C1=O)(CC(C2(C)CCC=C(C)C)CC=C(C)C)C)OC(C=C3)(C)C	7.600	101117449;85371997;11027256	COCONUT:(CNP0140063);TeroMol:(TKC026015 TKC090055);SUPERNATURAL:(SN0087698);PUBCHEM:(101117449 85371997 11027256);LOTUS:(Q104996373 Q104996372 Q104996371);PUBMED;KNAPSACK:(FJWIFMCUHVVWDK-UHFFFAOYSA-N)	279969874	481.327	334	5.565	876481810461475981	876481524380582896	876481524376388591	13722	
