"amino_acid","n","slope","p_value","lambda","converged"
"S",99,1276.8518358035,0.310553472542218,0.162839439190361,TRUE
"L",99,-1705.92089901985,0.583848617408038,0.167138023113392,TRUE
"Q",99,-4589.90716372867,0.412147492593406,0.161366883251386,TRUE
"W",99,-4747.82957770451,0.545381387774262,0.150595235279657,TRUE
"T",99,-6656.58354307073,0.204769860322988,0.196207412815585,TRUE
"C",99,-1347.05160221165,0.683447056749682,0.173723601537468,TRUE
