row_id,dedup_group_id,fraction,n_strains_present,n_strains_total,pct_strains_present,n_species_present,species_present
2190,asid_12288,cell,289,292,98.97260273972603,17,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sp. clade XIII;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
2190,asid_12288,supernatant,291,293,99.31740614334471,17,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sp. clade XIII;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
1621,asid_1621,cell,218,292,74.65753424657534,16,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
1621,asid_1621,supernatant,290,293,98.97610921501706,17,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sp. clade XIII;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
5985,asid_5985,cell,218,292,74.65753424657534,16,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
5985,asid_5985,supernatant,290,293,98.97610921501706,17,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sp. clade XIII;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
7524,asid_7524,cell,226,292,77.3972602739726,17,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sp. clade XIII;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
7524,asid_7524,supernatant,290,293,98.97610921501706,17,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sp. clade XIII;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
3827,asid_13126,cell,191,292,65.41095890410959,16,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
3827,asid_13126,supernatant,290,293,98.97610921501706,17,Cystobasidium sp.;Pseudomicrostroma phylloplanum;Rhodotorula araucariae;Rhodotorula dairenensis;Rhodotorula diobovata;Rhodotorula glutinis;Rhodotorula graminis;Rhodotorula kratochvilovae;Rhodotorula mucilaginosa;Rhodotorula pacifica;Rhodotorula paludigena;Rhodotorula sp. clade I;Rhodotorula sp. clade XI;Rhodotorula sp. clade XIII;Rhodotorula sphaerocarpa;Rhodotorula taiwanensis;Rhodotorula toruloides
