ComponentIndex	n_members	max_rho_abs	es	p_maxrho_perm	p_es_perm	p_fdr_max	p_es_fdr	p_maxrho_fdr
1	11	0.16227136707685913	0.4317094089905016	0.087001	0.263001	1.0	0.6708852942477875	0.31845127936507933
5	14	0.1877476489582116	0.495940634012896	0.036001	0.270001	0.998001	0.6752953427331887	0.2562293395061728
7	2	0.15170360373544683	1.2112833724626466	0.033001	0.029001000000000002	1.0	0.4674480135135135	0.25541868987341776
8	27	0.17529789446948646	0.38360998266791957	0.093001	0.49300099999999997	1.0	0.7712756485753053	0.31913736011904764
10	9	0.15524422367478347	0.592591527328578	0.086001	0.091001	1.0	0.6088941179775281	0.3157934808917197
17	3	0.09086921813148323	0.4702201201475882	0.210001	0.150001	1.0	0.6256061608832807	0.3707980903522205
19	23	0.1565745467347298	0.5193838847648767	0.137001	0.159001	1.0	0.6256061608832807	0.34071767237687367
20	43	0.16250927514364233	0.42484143115993994	0.20200100000000001	0.30700099999999997	1.0	0.6873245689320389	0.36925141758241753
21	4	0.1302000821451622	0.5924624034440892	0.082001	0.226001	1.0	0.6417931397590362	0.30999066557377053
25	5	0.07498345810226806	0.3012383672312769	0.391001	0.725001	1.0	0.8888994199363732	0.4551632960725075
28	2	0.06106860050298974	0.3690882708435531	0.30200099999999996	0.499001	1.0	0.7748422396251674	0.408047908032596
36	4	0.11327097768745363	0.6432258672590181	0.179001	0.157001	1.0	0.6256061608832807	0.36474719332161687
38	28	0.10437593313869918	0.22557016924385279	0.42700099999999996	0.848001	1.0	0.9457953169082126	0.47023128271251186
44	2	0.11419788118201142	0.8596515594182419	0.083001	0.092001	1.0	0.6088941179775281	0.3107147824675325
47	2	0.05868063912623615	0.3748380244133749	0.29500099999999996	0.445001	1.0	0.7565023784172662	0.40614084278959806
48	2	0.0710555549166375	0.37905417406751585	0.241001	0.462001	1.0	0.7582956718749999	0.387551119944212
52	13	0.22720205042859504	0.5018009669599289	0.002001	0.29300099999999996	0.6840010000000001	0.6839461983967936	0.09228612
54	2	0.08627677778333642	0.49132710299244875	0.209001	0.380001	1.0	0.7376113686868687	0.3707980903522205
56	6	0.11122801683442415	0.3203720056932083	0.229001	0.6680010000000001	1.0	0.8529403687707642	0.3821102069464544
58	2	0.12000997185787468	0.5439532297337162	0.082001	0.30100099999999996	1.0	0.6868479550781249	0.30999066557377053
66	3	0.19289977756796978	1.021352431439643	0.005001	0.029001000000000002	0.995001	0.4674480135135135	0.12813673333333334
68	2	0.07949383535088224	0.3541625939063141	0.249001	0.597001	1.0	0.8194549440476191	0.39221059153005466
71	4	0.13792023483490856	0.4513463775670332	0.07000100000000001	0.378001	1.0	0.7376113686868687	0.3080578358778626
77	2	0.08517911633101816	0.3275883855244529	0.112001	0.212001	1.0	0.641212125	0.32616166997518614
84	2	0.05571886497453771	0.34301404255020673	0.317001	0.511001	1.0	0.7762637061923584	0.41440153401360547
86	2	0.08126735663765555	0.4166427291251928	0.200001	0.41700099999999996	1.0	0.7524290344287949	0.3689618448
89	2	0.10376122678933278	0.5077831986397167	0.136001	0.315001	1.0	0.6926789980988592	0.3401500065075922
94	19	0.19062100668301513	0.602086803981091	0.039001	0.018001	0.997001	0.4674480135135135	0.2599315202312139
100	4	0.08683758886938064	0.5819987212823565	0.267001	0.225001	1.0	0.6417931397590362	0.3995705281329923
101	2	0.1056832868093212	0.6555504917526817	0.133001	0.199001	1.0	0.641212125	0.3370333032967033
103	2	0.002543169611928721	0.0114085645248479	0.49300099999999997	0.999001	1.0	1.0	0.5021467782685511
106	2	0.0728763133661669	0.3344728889245341	0.243001	0.5500010000000001	1.0	0.7945782184769039	0.3896803240611961
108	2	0.08528231443555624	0.5629683076988538	0.178001	0.247001	1.0	0.6623073325581394	0.3638921152482269
114	2	0.08265334561963689	0.4849446140049608	0.183001	0.321001	1.0	0.6996486824196597	0.3650521678200692
129	2	0.1280856396982415	0.7109451895213609	0.059001	0.162001	1.0	0.6256061608832807	0.2906771134453781
