ComponentIndex	n_members	max_rho_abs	es	p_maxrho_perm	p_es_perm	p_fdr_max	p_es_fdr	p_maxrho_fdr
1	11	0.15379141831876253	0.474594246983663	0.102001	0.34600099999999995	1.0	0.9968013841354724	0.5021642497745716
5	14	0.16492210888509087	0.42368961447100134	0.067001	0.42400099999999996	1.0	0.9968013841354724	0.5021642497745716
7	2	0.02396654917796702	0.0874297157644444	0.42900099999999997	0.9340010000000001	1.0	0.9968013841354724	0.5021642497745716
8	27	0.09917536189022486	0.31673453907611654	0.47100099999999995	0.824001	1.0	0.9968013841354724	0.5021642497745716
10	9	0.07818135094262825	0.3078640765295086	0.48000099999999996	0.768001	1.0	0.9968013841354724	0.5021642497745716
17	3	0.05797912952443215	0.2954377320628882	0.41100099999999995	0.6790010000000001	1.0	0.9968013841354724	0.5021642497745716
19	23	0.1511866618304658	0.3957910557388548	0.186001	0.517001	1.0	0.9968013841354724	0.5021642497745716
20	43	0.156738651155923	0.5349151494520241	0.245001	0.174001	1.0	0.9968013841354724	0.5021642497745716
21	4	0.04059229741320138	0.16409270735040873	0.504001	0.9120010000000001	1.0	0.9968013841354724	0.5101959201053556
25	5	0.13361675857953945	0.5474429617827429	0.107001	0.266001	1.0	0.9968013841354724	0.5021642497745716
28	2	0.05429641636611264	0.26740625102554605	0.34700099999999995	0.6710010000000001	1.0	0.9968013841354724	0.5021642497745716
36	4	0.07814804412633361	0.3152886171960067	0.35100099999999995	0.713001	1.0	0.9968013841354724	0.5021642497745716
38	28	0.1701427901193463	0.32868670965348273	0.099001	0.705001	1.0	0.9968013841354724	0.5021642497745716
44	2	0.08240097345089989	0.4482831872152271	0.174001	0.377001	1.0	0.9968013841354724	0.5021642497745716
47	2	0.08323257665071238	0.3249214666961933	0.192001	0.566001	1.0	0.9968013841354724	0.5021642497745716
48	2	0.020726909087261672	0.06446339528025279	0.47600099999999995	0.960001	1.0	0.9968013841354724	0.5021642497745716
52	13	0.08710793055856339	0.2808510054812666	0.438001	0.823001	1.0	0.9968013841354724	0.5021642497745716
54	2	0.11152253995923722	0.4885920119188659	0.063001	0.109001	1.0	0.9968013841354724	0.5021642497745716
56	6	0.08618902638097967	0.33535978286087703	0.37300099999999997	0.703001	1.0	0.9968013841354724	0.5021642497745716
58	2	0.08488973264182209	0.37454359371552476	0.214001	0.48500099999999996	1.0	0.9968013841354724	0.5021642497745716
66	3	0.034005582273225615	0.17210762721311534	0.48000099999999996	0.881001	1.0	0.9968013841354724	0.5021642497745716
68	2	0.08536982647885256	0.6322958419173759	0.191001	0.216001	1.0	0.9968013841354724	0.5021642497745716
71	4	0.14479986147205437	0.40292870857680524	0.053001	0.47200099999999995	1.0	0.9968013841354724	0.5021642497745716
77	2	0.05501692712273504	0.1855533561482844	0.198001	0.440001	1.0	0.9968013841354724	0.5021642497745716
84	2	0.05952704813151455	0.2960027632407769	0.328001	0.613001	1.0	0.9968013841354724	0.5021642497745716
86	2	0.022807049444283856	0.09450311526412175	0.47600099999999995	0.9200010000000001	1.0	0.9968013841354724	0.5021642497745716
89	2	0.09402212640945501	0.5464409489557568	0.156001	0.277001	1.0	0.9968013841354724	0.5021642497745716
94	19	0.10213242921332825	0.27652723115585137	0.42500099999999996	0.873001	1.0	0.9968013841354724	0.5021642497745716
100	4	0.08707392517815649	0.4528783199686557	0.266001	0.215001	1.0	0.9968013841354724	0.5021642497745716
101	2	0.08104666491675437	0.489527095772086	0.215001	0.335001	1.0	0.9968013841354724	0.5021642497745716
103	2	0.01786505252934996	0.0495591612768817	0.399001	0.8010010000000001	1.0	0.9968013841354724	0.5021642497745716
106	2	0.05869580549934629	0.2818258369517167	0.318001	0.615001	1.0	0.9968013841354724	0.5021642497745716
108	2	0.05469450573813648	0.20210305386090419	0.326001	0.7820010000000001	1.0	0.9968013841354724	0.5021642497745716
114	2	0.03240456779845667	0.1405735734023282	0.448001	0.856001	1.0	0.9968013841354724	0.5021642497745716
129	2	0.17825226137681455	1.1253464376995657	0.009000999999999999	0.036001	1.0	0.9968013841354724	0.5021642497745716
132	2	0.0704195203799791	0.3721561069747048	0.266001	0.503001	1.0	0.9968013841354724	0.5021642497745716
135	6	0.09719914562714083	0.3204461050826524	0.323001	0.738001	1.0	0.9968013841354724	0.5021642497745716
138	2	0.04842611962573978	0.276665196673664	0.42700099999999996	0.695001	1.0	0.9968013841354724	0.5021642497745716
147	10	0.07593152789391949	0.30327307107357	0.47700099999999995	0.595001	1.0	0.9968013841354724	0.5021642497745716
160	2	0.009181452709858259	0.024264377227159475	0.445001	0.900001	1.0	0.9968013841354724	0.5021642497745716
169	2	0.11867816581938535	0.7974345463189325	0.049001	0.105001	1.0	0.9968013841354724	0.5021642497745716
171	7	0.178627698167245	0.597921092428774	0.033001	0.174001	1.0	0.9968013841354724	0.5021642497745716
172	2	0.08325243610287988	0.45124465014117066	0.223001	0.42100099999999996	1.0	0.9968013841354724	0.5021642497745716
182	12	0.14602288184275403	0.4736931916921865	0.115001	0.158001	1.0	0.9968013841354724	0.5021642497745716
184	2	0.06699543468816335	0.4604298383909298	0.28600099999999995	0.386001	1.0	0.9968013841354724	0.5021642497745716
203	2	0.0699356249933566	0.25374428913168834	0.157001	0.312001	1.0	0.9968013841354724	0.5021642497745716
277	6	0.18096618876054665	1.1253759879235121	0.024001	0.002001	1.0	0.9968013841354724	0.5021642497745716
278	2	0.13044232374563158	1.0433217907917163	0.055001	0.044001	1.0	0.9968013841354724	0.5021642497745716
282	3	0.07930626246698261	0.27483040132934433	0.28400099999999995	0.748001	1.0	0.9968013841354724	0.5021642497745716
292	4	0.08815549849980926	0.2815633572614682	0.207001	0.467001	1.0	0.9968013841354724	0.5021642497745716
297	32	0.14234176483720135	0.5570823984814459	0.30100099999999996	0.128001	1.0	0.9968013841354724	0.5021642497745716
300	3	0.05756859011178483	0.1723483238901036	0.375001	0.875001	1.0	0.9968013841354724	0.5021642497745716
322	2	0.11875434513203505	0.9430131205244698	0.08500100000000001	0.082001	1.0	0.9968013841354724	0.5021642497745716
348	7	0.2062202617474506	0.7515976708684402	0.008001	0.033001	0.980001	0.9968013841354724	0.5021642497745716
349	73	0.2097531393647979	0.3522395172323013	0.044001	0.725001	0.955001	0.9968013841354724	0.5021642497745716
350	13	0.0908963818275968	0.2177506933619225	0.444001	0.9360010000000001	1.0	0.9968013841354724	0.5021642497745716
351	3	0.05112394079541382	0.28590376948975743	0.42900099999999997	0.702001	1.0	0.9968013841354724	0.5021642497745716
352	3	0.09001224193701785	0.48968142406861975	0.220001	0.35400099999999995	1.0	0.9968013841354724	0.5021642497745716
353	2	0.024224288868237194	0.08589995324444821	0.47800099999999995	0.945001	1.0	0.9968013841354724	0.5021642497745716
354	4	0.024121014803938932	0.1037995785329213	0.506001	0.992001	1.0	0.9997351459600347	0.5104279553805775
355	2	0.12426447621648364	0.6539890477679771	0.066001	0.191001	1.0	0.9968013841354724	0.5021642497745716
356	2	0.06739994167133578	0.2616259919437256	0.278001	0.690001	1.0	0.9968013841354724	0.5021642497745716
357	3	0.12862975949390043	0.6132164570848982	0.091001	0.215001	1.0	0.9968013841354724	0.5021642497745716
363	2	0.13498026818437883	0.6873345140624768	0.050001000000000004	0.17100100000000001	1.0	0.9968013841354724	0.5021642497745716
365	2	0.09924407298821969	0.5533767796527201	0.104001	0.257001	1.0	0.9968013841354724	0.5021642497745716
366	2	0.04167296395936766	0.2599171914482147	0.383001	0.648001	1.0	0.9968013841354724	0.5021642497745716
367	2	0.04553194490628202	0.2673469765413086	0.389001	0.6650010000000001	1.0	0.9968013841354724	0.5021642497745716
368	2	0.04225941960104077	0.18067113587443495	0.375001	0.7870010000000001	1.0	0.9968013841354724	0.5021642497745716
370	31	0.15766657598577732	0.3959025246329587	0.159001	0.502001	1.0	0.9968013841354724	0.5021642497745716
373	2	0.11789359034623072	0.5314000205663797	0.08500100000000001	0.322001	1.0	0.9968013841354724	0.5021642497745716
381	2	0.03579901409437866	0.18184716681651786	0.37300099999999997	0.7880010000000001	1.0	0.9968013841354724	0.5021642497745716
390	2	0.09285988688656513	0.40255755489199946	0.135001	0.405001	1.0	0.9968013841354724	0.5021642497745716
392	2	0.0007679957092557033	0.0019345056049069277	0.48000099999999996	0.991001	1.0	0.9997351459600347	0.5021642497745716
425	24	0.17605127845211505	0.4867016050645035	0.079001	0.185001	1.0	0.9968013841354724	0.5021642497745716
426	2	0.06924446408600991	0.46364164283545584	0.274001	0.36900099999999997	1.0	0.9968013841354724	0.5021642497745716
427	4	0.0794567199670148	0.34002703389400113	0.321001	0.592001	1.0	0.9968013841354724	0.5021642497745716
428	2	0.11574675815382636	0.6254130271996109	0.080001	0.197001	1.0	0.9968013841354724	0.5021642497745716
429	4	0.21033150970606926	0.8827497664337592	0.006001	0.057001	0.955001	0.9968013841354724	0.5021642497745716
436	3	0.027565742886192693	0.1190143511604476	0.48900099999999996	0.946001	1.0	0.9968013841354724	0.5038589392314566
441	2	0.04483168596160695	0.24530605586969922	0.393001	0.695001	1.0	0.9968013841354724	0.5021642497745716
444	8	0.1590579526390974	0.4751362430597067	0.079001	0.35700099999999996	1.0	0.9968013841354724	0.5021642497745716
464	3	0.06507496297197074	0.1796852903327355	0.29100099999999995	0.648001	1.0	0.9968013841354724	0.5021642497745716
499	51	0.14601399660580164	0.3609610798079291	0.326001	0.606001	1.0	0.9968013841354724	0.5021642497745716
503	17	0.09910414827334751	0.29108913012855253	0.451001	0.864001	1.0	0.9968013841354724	0.5021642497745716
504	2	0.03948523473542628	0.12301717863893594	0.280001	0.580001	1.0	0.9968013841354724	0.5021642497745716
506	4	0.0694238732884509	0.315001964444305	0.35700099999999996	0.602001	1.0	0.9968013841354724	0.5021642497745716
512	2	0.1162568388599296	0.5352403192550667	0.086001	0.29000099999999995	1.0	0.9968013841354724	0.5021642497745716
513	3	0.08663902806019423	0.3518485705413969	0.23400100000000001	0.5320010000000001	1.0	0.9968013841354724	0.5021642497745716
515	2	0.13178974095467338	0.7672639901502707	0.064001	0.138001	1.0	0.9968013841354724	0.5021642497745716
516	2	0.09643287452483544	0.3955115011156277	0.081001	0.161001	1.0	0.9968013841354724	0.5021642497745716
518	3	0.07425002487427472	0.20000630499802866	0.244001	0.599001	1.0	0.9968013841354724	0.5021642497745716
521	5	0.05297912321538927	0.15390639841735915	0.467001	0.965001	1.0	0.9968013841354724	0.5021642497745716
522	5	0.055632499006534455	0.2018982513434599	0.41100099999999995	0.772001	1.0	0.9968013841354724	0.5021642497745716
526	17	0.10553416824958829	0.4174385757270448	0.380001	0.37300099999999997	1.0	0.9968013841354724	0.5021642497745716
529	32	0.13059045961630045	0.3256767951838822	0.341001	0.754001	1.0	0.9968013841354724	0.5021642497745716
532	27	0.1491899781599754	0.34219892779607364	0.240001	0.6660010000000001	1.0	0.9968013841354724	0.5021642497745716
557	2	0.08157791263304069	0.5288186764612184	0.213001	0.30500099999999997	1.0	0.9968013841354724	0.5021642497745716
566	2	0.03543471301716246	0.11339926151321753	0.460001	0.9290010000000001	1.0	0.9968013841354724	0.5021642497745716
572	29	0.1487317950065801	0.33630850110966054	0.230001	0.724001	1.0	0.9968013841354724	0.5021642497745716
573	2	0.0747790285865257	0.31234008810138764	0.259001	0.616001	1.0	0.9968013841354724	0.5021642497745716
574	6	0.08450130871412094	0.19645542006898084	0.378001	0.9360010000000001	1.0	0.9968013841354724	0.5021642497745716
576	3	0.14770226430647132	0.6989287666709405	0.045001	0.153001	1.0	0.9968013841354724	0.5021642497745716
578	3	0.03488066015695353	0.15070483139791283	0.47600099999999995	0.9230010000000001	1.0	0.9968013841354724	0.5021642497745716
579	3	0.05823106530045226	0.1989312400394948	0.384001	0.834001	1.0	0.9968013841354724	0.5021642497745716
580	2	0.11203891223094256	0.7609727146138517	0.100001	0.148001	1.0	0.9968013841354724	0.5021642497745716
581	8	0.14136243082342573	0.44745722406410277	0.116001	0.28500099999999995	1.0	0.9968013841354724	0.5021642497745716
583	2	0.058321546648084595	0.22152262197359623	0.31000099999999997	0.721001	1.0	0.9968013841354724	0.5021642497745716
584	4	0.09004876623449193	0.3429153486724905	0.29600099999999996	0.589001	1.0	0.9968013841354724	0.5021642497745716
585	3	0.07151954473136288	0.24280344404223805	0.35400099999999995	0.7920010000000001	1.0	0.9968013841354724	0.5021642497745716
