strain_code,species
TFCN_209-6-5,Rhodotorula mucilaginosa
DBVPG_3444,Rhodotorula mucilaginosa
DBVPG_4466,Rhodotorula mucilaginosa
TFCN_25-395P-1,Rhodotorula mucilaginosa
TFCN_17-0-2E390-2,Rhodotorula mucilaginosa
TFCN_3M-1-1,Rhodotorula mucilaginosa
TFCN_4M-1-3,Rhodotorula mucilaginosa
DBVPG_5226,Rhodotorula mucilaginosa
TFCN_17Y-278-1,Rhodotorula mucilaginosa
,
TFCN_0520-4-2-1,Rhodotorula taiwanensis
DBVPG_4963,Rhodotorula mucilaginosa
TFCN_340-1,Rhodotorula mucilaginosa
DBVPG_6743,Rhodotorula mucilaginosa
DBVPG_5225,Rhodotorula mucilaginosa
DBVPG_3772,Rhodotorula dairenensis
DBVPG_3768,Rhodotorula dairenensis
TFCN_17-267M-1,Rhodotorula mucilaginosa
TFCN_102D-2,Rhodotorula mucilaginosa
TFCN_25-0-2E390-1,Rhodotorula mucilaginosa
TFCN_48D-10,Rhodotorula paludigena
TFCN_43A-0-22,Rhodotorula paludigena
DBVPG_6803,Rhodotorula mucilaginosa
TFCN_17-334C-1,Rhodotorula mucilaginosa
TFCN_17-334Y-2,Rhodotorula mucilaginosa
DBVPG_6081,Rhodotorula glutinis
DBVPG_4629,Rhodotorula sp. clade I
DBVPG_10383,Rhodotorula kratochvilovae
DBVPG_5759,Rhodotorula mucilaginosa
TFCN_17-332C-2,Rhodotorula mucilaginosa
TFCN_17-291Y-1,Rhodotorula mucilaginosa
TFCN_25-333Y-2,Rhodotorula sp. clade I
TFCN_48A-2,Rhodotorula paludigena
DBVPG_3773,Rhodotorula dairenensis
TFCN_209-6-12,Rhodotorula mucilaginosa
TFCN_17-332P-2,Rhodotorula mucilaginosa
DBVPG_5227,Rhodotorula mucilaginosa
DBVPG_5758,Rhodotorula mucilaginosa
DBVPG_3774,Rhodotorula mucilaginosa
TFCN_172A-1,Rhodotorula mucilaginosa
,
TFCN_186DK3-2,Rhodotorula sp. clade XI
TFCN_152C-6,Rhodotorula toruloides
TFCN_86C-9,Rhodotorula sphaerocarpa
DBVPG_5236,Rhodotorula mucilaginosa
TFCN_181A-1,Rhodotorula mucilaginosa
TFCN_340-3,Rhodotorula mucilaginosa
DBVPG_5228,Rhodotorula mucilaginosa
TFCN_25-335C-1,Rhodotorula diobovata
DBVPG_3853,Rhodotorula dairenensis
,
DBVPG_10348,Rhodotorula sp. clade XI
TFCN_25-0-2E332-1,Rhodotorula mucilaginosa
TFCN_1A_1_5,Rhodotorula pacifica
TFCN_25-337Y-1,Rhodotorula mucilaginosa
TFCN_86A-6,Rhodotorula sphaerocarpa
DBVPG_4947,Rhodotorula mucilaginosa
DBVPG_3237,Rhodotorula mucilaginosa
TFCN_100D-1,Rhodotorula mucilaginosa
TFCN_17-332P-1,Rhodotorula mucilaginosa
TFCN_17-334Y-5,Rhodotorula mucilaginosa
TFCN_98C-3,Rhodotorula mucilaginosa
TFCN_7-9-3,Rhodotorula diobovata
DBVPG_6093,Rhodotorula mucilaginosa
DBVPG_3445,Rhodotorula mucilaginosa
TFCN_110C-1,Rhodotorula mucilaginosa
DBVPG_3778,Rhodotorula mucilaginosa
DBVPG_3443,Rhodotorula mucilaginosa
TFCN_17-332M-1,Rhodotorula mucilaginosa
TFCN_S22D-1,Rhodotorula taiwanensis
DBVPG_4202,Rhodotorula mucilaginosa
TFCN_25-332C-1,Rhodotorula mucilaginosa
TFCN_17-332M-2,Rhodotorula mucilaginosa
TFCN_17-328C-3,Rhodotorula sp. clade I
TFCN_17-325D-2,Rhodotorula mucilaginosa
DBVPG_4203,Rhodotorula mucilaginosa
TFCN_223A-8,Rhodotorula mucilaginosa
TFCN_211A-3,Rhodotorula mucilaginosa
NRRL_Y-7196,Rhodotorula diobovata
NRRL_Y-48721,Rhodotorula evergladensis
TFCN_22C-4,Rhodotorula mucilaginosa
TFCN_4M-1-4,Rhodotorula mucilaginosa
DBVPG_3984,Rhodotorula mucilaginosa
DBVPG_3238,Rhodotorula mucilaginosa
TFCN_25-0-2E333-9,Rhodotorula mucilaginosa
DBVPG_6741,Rhodotorula mucilaginosa
TFCN_1B-1-2,Rhodotorula pacifica
DBVPG_3380,Rhodotorula glutinis
DBVPG_7316,Rhodotorula paludigena
TFCN_25-332D-1,Rhodotorula mucilaginosa
DBVPG_3983,Rhodotorula mucilaginosa
TFCN_25-333Y-10,Rhodotorula mucilaginosa
DBVPG_6742,Rhodotorula mucilaginosa
TFCN_25-337M-3,Rhodotorula mucilaginosa
TFCN_17-337P-5,Rhodotorula mucilaginosa
DBVPG_7922,Rhodotorula evergladensis
DBVPG_4531,Rhodotorula taiwanensis
TFCN_17-325P-1,Rhodotorula mucilaginosa
DBVPG_4379,Rhodotorula mucilaginosa
DBVPG_3770,Rhodotorula dairenensis
TFCN_17-0-2E390-1,Rhodotorula mucilaginosa
DBVPG_4408,Rhodotorula mucilaginosa
TFCN_98D-11,Rhodotorula mucilaginosa
TFCN_4M-1-2,Rhodotorula mucilaginosa
TFCN_17-325D-4,Rhodotorula mucilaginosa
DBVPG_3769,Rhodotorula dairenensis
TFCN_0520-4-2-2,Rhodotorula taiwanensis
JES-025-001,Rhodotorula mucilaginosa
TFCN_17-334Y-3,Rhodotorula mucilaginosa
DBVPG_10937,Rhodotorula mucilaginosa
TFCN_33A-4,Rhodotorula mucilaginosa
TFCN_48A-15,Rhodotorula paludigena
,
TFCN_141C-2,Rhodotorula mucilaginosa
TFCN_102C-2,Rhodotorula mucilaginosa
DBVPG_10619,Rhodotorula mucilaginosa
DBVPG_10780,Rhodotorula mucilaginosa
TFCN_25-0-2E333-5,Rhodotorula mucilaginosa
TFCN_2M_1_3,Rhodotorula mucilaginosa
TFCN_83C-1,Rhodotorula sphaerocarpa
TFCN_48C-3,Rhodotorula paludigena
TFCN_25-327D-1,Rhodotorula mucilaginosa
,
DBVPG_10753,Rhodotorula kratochvilovae
TFCN_17-0-2E334-10,Rhodotorula mucilaginosa
DBVPG_5229,Rhodotorula mucilaginosa
DBVPG_8058,Rhodotorula sp. clade I
DBVPG_4534,Rhodotorula mucilaginosa
TFCN_17-329Y-4,Rhodotorula mucilaginosa
TFCN_137C-3,Rhodotorula mucilaginosa
DBVPG_3777,Rhodotorula mucilaginosa
DBVPG_5235,Rhodotorula mucilaginosa
TFCN_102C-1,Rhodotorula mucilaginosa
TFCN_43A-4,Rhodotorula paludigena
DBVPG_10075,Cystobasidium sp.
TFCN_1A-14,Rhodotorula mucilaginosa
DBVPG_3776,Rhodotorula mucilaginosa
DBVPG_4669,Rhodotorula mucilaginosa
TFCN_152D-6,Rhodotorula toruloides
DBVPG_3780,Rhodotorula mucilaginosa
TFCN_342-3,Rhodotorula mucilaginosa
TFCN_273H-1,Rhodotorula mucilaginosa
DBVPG_6202,Rhodotorula diobovata
DBVPG_6083,Rhodotorula graminis
DBVPG_3854,Rhodotorula mucilaginosa
DBVPG_4920,Rhodotorula mucilaginosa
TFCN_138A-1,Rhodotorula mucilaginosa
TFCN_25-333P-5,Rhodotorula paludigena
TFCN_363-1-2,Rhodotorula mucilaginosa
DBVPG_4946,Rhodotorula mucilaginosa
DBVPG_4945,Rhodotorula mucilaginosa
TFCN_17-328P-3,Rhodotorula sp. clade I
TFCN_25-333D-5,Rhodotorula sp. clade I
DBVPG_6195,Rhodotorula diobovata
DBVPG_3090,Rhodotorula mucilaginosa
TFCN_105A-2,Rhodotorula mucilaginosa
DBVPG_3985,Rhodotorula glutinis
TFCN_209-6-17,Rhodotorula mucilaginosa
TFCN_86A-3,Rhodotorula mucilaginosa
,
TFCN_7-9-2,Rhodotorula diobovata
TFCN_209-6-2,Rhodotorula mucilaginosa
DBVPG_3382,Rhodotorula mucilaginosa
TFCN_106A-1,Rhodotorula mucilaginosa
TFCN_152A-2,Rhodotorula mucilaginosa
DBVPG_3383,Rhodotorula mucilaginosa
DBVPG_6740,Pseudomicrostroma phylloplanum
TFCN_25-333Y-9,Rhodotorula mucilaginosa
TFCN_25-333D-1,Rhodotorula sp. clade I
TFCN_209-6-1,Rhodotorula mucilaginosa
TFCN_107C-3,Rhodotorula mucilaginosa
TFCN_2M-1-4,Rhodotorula mucilaginosa
TFCN_137D-4,Rhodotorula mucilaginosa
TFCN_25-334D-3,Rhodotorula mucilaginosa
TFCN_86A-12,Rhodotorula mucilaginosa
TFCN_17_332M_1,Rhodotorula mucilaginosa
TFCN_17-332C-1,Rhodotorula mucilaginosa
DBVPG_4958,Rhodotorula mucilaginosa
TFCN_25-0-2E334-1,Rhodotorula mucilaginosa
NRRL_Y-2510,Rhodotorula mucilaginosa
DBVPG_7019,Rhodotorula mucilaginosa
TFCN_209-6-14,Rhodotorula mucilaginosa
TFCN_86C-7,Rhodotorula sp. clade I
TFCN_98A-5,Rhodotorula mucilaginosa
DBVPG_4962,Rhodotorula mucilaginosa
DBVPG_7539,Rhodotorula kratochvilovae
TFCN_25-333C-2,Rhodotorula mucilaginosa
TFCN_25-333P-2,Rhodotorula mucilaginosa
TFCN_89D-3,Rhodotorula mucilaginosa
DBVPG_10842,Rhodotorula mucilaginosa
NRRL_Y-12923,Rhodotorula paludigena
DBVPG_10886,Rhodotorula mucilaginosa
,
TFCN_17-0-2E337-3,Rhodotorula mucilaginosa
TFCN_152A-5,Rhodotorula mucilaginosa
TFCN_86A_5,Rhodotorula sphaerocarpa
TFCN_49A-1,Rhodotorula paludigena
DBVPG_3775,Rhodotorula mucilaginosa
TFCN_152A_3,Rhodotorula toruloides
TFCN_140A-3,Rhodotorula mucilaginosa
TFCN_25-332M-2,Rhodotorula mucilaginosa
TFCN_17-0-2E334-4,Rhodotorula mucilaginosa
NRRL_Y-17376,Rhodotorula araucariae
TFCN_270H-1,Rhodotorula mucilaginosa
TFCN_25-0-2E333-7,Rhodotorula mucilaginosa
DBVPG_4618,Rhodotorula mucilaginosa
TFCN_152D-4,Rhodotorula toruloides
DBVPG_3853,Rhodotorula dairenensis
TFCN_152A-12,Rhodotorula mucilaginosa
NRRL_Y-2474,Rhodotorula graminis
TFCN_342-2,Rhodotorula paludigena
TFCN_152A-6,Rhodotorula toruloides
DBVPG_5757,Rhodotorula mucilaginosa
TFCN_357-1,Rhodotorula taiwanensis
TFCN_25-332D-2,Rhodotorula mucilaginosa
TFCN_98C-8,Rhodotorula mucilaginosa
DBVPG_4950,Rhodotorula mucilaginosa
TFCN_122C-2,Rhodotorula mucilaginosa
DBVPG_3446,Rhodotorula mucilaginosa
DBVPG_3858,Rhodotorula mucilaginosa
TFCN_25-335Y-1,Rhodotorula mucilaginosa
DBVPG_3857,Rhodotorula mucilaginosa
TFCN_48D-10,
TFCN_48D-4,Rhodotorula paludigena
DBVPG_3044,Rhodotorula mucilaginosa
TFCN_1A-1-2,Rhodotorula paludigena
TFCN_98D-7,Rhodotorula mucilaginosa
DBVPG_3855,Rhodotorula mucilaginosa
TFCN_7W-292-3,Rhodotorula dairenensis
DBVPG_3442,Rhodotorula mucilaginosa
TFCN_213-6-2,Rhodotorula mucilaginosa
DBVPG_3239,Rhodotorula mucilaginosa
