strain_code,species
TFCN_211C_2,Rhodotorula diobovata
TFCN_4M-1-5,Rhodotorula mucilaginosa
DBVPG_4201,Rhodotorula mucilaginosa
TFCN_25-332M-1,Rhodotorula mucilaginosa
DBVPG_6739,Rhodotorula toruloides
DBVPG_3381,Rhodotorula mucilaginosa
DBVPG_6660,Rhodotorula mucilaginosa
TFCN_213-6-4,Rhodotorula mucilaginosa
TFCN_118C-2,Rhodotorula mucilaginosa
DBVPG_6649,Rhodotorula mucilaginosa
NRRL_Y-2504,Rhodotorula dairenensis
TFCN_17-331Y-3,
TFCN_17-334D-6,Rhodotorula mucilaginosa
TFCN_98C-5,Rhodotorula mucilaginosa
TFCN_25-325Y-1,Rhodotorula mucilaginosa
DBVPG_4530,Rhodotorula taiwanensis
DBVPG_7323,Rhodotorula paludigena
TFCN_152A-4,Rhodotorula toruloides
DBVPG_3771,Rhodotorula dairenensis
TFCN_17-390M-1,Rhodotorula mucilaginosa
DBVPG_4964,Rhodotorula mucilaginosa
DBVPG_10882,Rhodotorula mucilaginosa
TFCN_86A-8,Rhodotorula sphaerocarpa
TFCN_25-332P-2,Rhodotorula mucilaginosa
DBVPG_4378,Rhodotorula mucilaginosa
,
TFCN_25-334Y-6,Rhodotorula mucilaginosa
DBVPG_7021,Rhodotorula graminis
TFCN_17-333D-2,Rhodotorula mucilaginosa
DBVPG_3538,Rhodotorula mucilaginosa
DBVPG_4380,Rhodotorula mucilaginosa
TFCN_152A-1,Rhodotorula mucilaginosa
TFCN_17-334Y-6,Rhodotorula diobovata
TFCN_152C-2,Rhodotorula toruloides
,
TFCN_209-6-11,Rhodotorula mucilaginosa
TFCN_1A-1-3,Rhodotorula pacifica
DBVPG_7947,Rhodotorula sp. clade XIII
TFCN_270H-2,Rhodotorula mucilaginosa
TFCN_25-332Y-1,Rhodotorula mucilaginosa
NRRL_Y-7192,Rhodotorula sphaerocarpa
DBVPG_4610,Rhodotorula paludigena
TFCN_152C-5,Rhodotorula mucilaginosa
DBVPG_8043,Rhodotorula mucilaginosa
TFCN_98C-7,Rhodotorula mucilaginosa
TFCN_98D-9,Rhodotorula mucilaginosa
TF_CN_86C_3,Rhodotorula sphaerocarpa
DBVPG_4949,Rhodotorula mucilaginosa
DBVPG_3045,Rhodotorula mucilaginosa
TFCN_48A-3,Rhodotorula paludigena
TF_CN_186CL4_2,Rhodotorula mucilaginosa
TFCN_25-335P-1,Rhodotorula diobovata
TFCN_107A-6,Rhodotorula mucilaginosa
TFCN_17-333P-6,Rhodotorula mucilaginosa
TFCN_212C-2,Rhodotorula mucilaginosa
TFCN_404D-1,Rhodotorula mucilaginosa
TFCN_134A-3,Rhodotorula mucilaginosa
TFCN_48A-10,Rhodotorula paludigena
TFCN_152C-3,Rhodotorula toruloides
TFCN_102D-1,Rhodotorula mucilaginosa
TFCN_98A-10,Rhodotorula mucilaginosa
DBVPG_3235,Rhodotorula mucilaginosa
DBVPG_3856,Rhodotorula mucilaginosa
DBVPG_6094,Rhodotorula mucilaginosa
TFCN_54D-1,Rhodotorula mucilaginosa
TFCN_130D-4,Rhodotorula mucilaginosa
DBVPG_6091,Rhodotorula mucilaginosa
DBVPG_3236,Rhodotorula mucilaginosa
DBVPG_6121,Rhodotorula toruloides
TFCN_7_6_3,Rhodotorula diobovata
DBVPG_4377,Rhodotorula mucilaginosa
TFCN_222A-2,Rhodotorula sp. clade I
DBVPG_4957,Rhodotorula mucilaginosa
DBVPG_4304,Rhodotorula mucilaginosa
DBVPG_6092,Rhodotorula mucilaginosa
TFCN_25-331D-1,Rhodotorula mucilaginosa
TFCN_86C-10,Rhodotorula sphaerocarpa
DBVPG_3384,Rhodotorula mucilaginosa
,
TFCN_17-338D-3,Rhodotorula mucilaginosa
TFCN_54D-2,Rhodotorula mucilaginosa
DBVPG_6593,Rhodotorula mucilaginosa
TFCN_25-0-2E333-1,Rhodotorula mucilaginosa
TFCN_17-0-2E329-4,Rhodotorula graminis
DBVPG_4376,Rhodotorula mucilaginosa
DBVPG_4952,Rhodotorula mucilaginosa
TFCN_209-6-4,Rhodotorula mucilaginosa
DBVPG_4956,Rhodotorula mucilaginosa
