row ID,row m/z,row retention time,adduct
4396,525.3016,5.376,[M+H]1+
770,524.3255,5.682696,[M+Na]1+
863,584.3463,5.553,[M+Na]1+
3132,201.123,0.725964,[M+H]1+
3297,547.4015,5.701568,[M+H]1+
5866,347.2568,5.255,[M-3H2O+H]1+
823,609.4016,5.376,[M+H]1+
6645,411.2704,5.369,[M+H]1+
498,495.3297,5.501,[M+ACN+H]1+
148,485.3091,5.255,[M-2H2O+H]1+
568,621.401,5.605814,[M+NH3+H]1+
514,481.3116,5.601884,[M+Na]1+
2510,231.0855,5.275,[M+H]1+
2258,585.3218,5.322776,[M+H]1+
200,544.3153,5.273,[M+Na]1+
18301,546.3977,5.969581,[M+H]1+
222,523.3218,5.70142,[M+Na]1+
274,583.3428,5.553,[M+Na]1+
15067,740.5916,6.358,[M-H2O+H]1+
4823,471.3297,5.485,[M+NH3+H]1+
90,443.2986,5.228,[M-H2O+H]1+
1021,546.3979,5.701568,[M+H]1+
271,608.3979,5.501,[M+NH3+H]1+
346,413.2881,5.301,[M+H]1+
604,578.3878,5.409,[M+H]1+
51,527.3194,5.3665,[M+H]1+
727,502.3048,5.097,[M-NH3+H2O+H]1+
1302,778.5765,6.330239,[M+Na]1+
135,467.2985,5.3665,[M+ACN+H]1+
932,547.336,5.341676,[M-H2O+H]1+
3443,511.2939,5.583152,[M+H]1+
7927,497.2981,5.583,[M+Na]1+
862,609.4011,5.477,[M+NH3+H]1+
13679,831.5559,6.289438,[M+H]1+
302,525.3401,5.6,[M-H2O+H]1+
580,555.3116,5.4605,[M+Na]1+
1237,453.3192,5.485,[M+H]1+
66,586.3255,5.377,[M+Na]1+
1447,381.2986,5.682696,[M+H]1+
5425,265.2517,5.326,[M-H2O+H]1+
12,585.3221,5.376,[M+Na]1+
328,429.3194,5.167,[M-2H2O+H]1+
29,555.3118,5.401,[M+Na]1+
459,425.2882,5.3665,[M+H]1+
127,625.3529,5.605814,[M+Na]1+
10225,283.2623,5.318,[M+H]1+
33114,640.3238,4.753,[M+H]1+
450,495.2911,5.555,[M+Na]1+
412,626.3563,5.605814,[M+Na]1+
581,453.2807,5.475,[M+3Na-2H]1+
286,608.3982,5.376,[M+H]1+
1571,353.2672,5.569,[M+H]1+
284,456.3019,5.409,[M+K]1+
194,620.3975,5.605814,[M+NH3+H]1+
1639,496.2941,5.569,[M+Na]1+
1647,501.3402,5.459,[M+H]1+
2738,237.2206,5.14,[M-H2O+H]1+
146,401.2882,5.14,[M-H2O+H]1+
45901,381.2986,5.569,[M+H]1+
245,499.2883,5.299,[M+K]1+
902,430.3227,5.326,[M+H]1+
2480,273.0961,5.305829,[M+H]1+
1048,499.2883,5.224628,[M-2H2O+H]1+
12662,453.318,5.592166,[M+H]1+
1429,585.361,5.6,[M+H]1+
2909,384.3094,5.394,[M+NH3+H]1+
5764,381.2985,5.384,[M+H]1+
1699,579.3912,5.409,[M+H]1+
47486,812.5793,5.764,[M+H]1+
15963,611.4067,5.509,[M+NH3+H]1+
3330,648.4292,5.917,[M+H]1+
9876,159.0646,5.569,[M+H]1+
31687,399.1436,0.532976,[M+H]1+
5504,618.3821,5.493,[M+H]1+
5039,211.1073,0.570349,[M-3H2O+H]1+
4359,739.5886,6.358,[M-H2O+H]1+
2105,738.5852,6.358,[M-H2O+H]1+
23744,250.1156,0.67469,[M+Na]1+
10329,247.2412,5.542,[M+H]1+
153,513.301,5.332,[M+Na]1+
13586,558.5225,6.358,[M-H2O+H]1+
2527,779.5801,6.330239,[M+Na]1+
8294,255.2312,5.276696,[M+H]1+
418,625.3531,5.926067,[M+K]1+
3577,443.2986,5.377,[M+NH3+H]1+
22471,439.3556,4.769283,[M+H]1+
11563,756.5956,6.358,[M+H]1+
306,597.3608,5.631,[M-H2O+H]1+
22944,255.2309,5.435,[M+H]1+
1455,649.4323,5.605814,[M+H]1+
7676,375.2879,5.501,[M-H2O+H]1+
1902,634.3773,5.843893,[M+H]1+
547,648.4289,5.605814,[M+H]1+
7742,576.533,6.358,[M+H]1+
40,527.3192,5.425,[M-H2O+H]1+
8146,255.231,5.149,[M+H]1+
1095,495.3298,5.543,[M-H2O+H]1+
233,429.3193,5.326,[M+H]1+
1758,265.2515,5.409,[M+H]1+
14638,734.59,5.690685,[M-H2O+H]1+
886,518.3666,5.564458,[M+NH3+H]1+
1225,311.2571,5.376,[M+H]1+
3073,377.3189,4.988,[M-H2O+H]1+
296,473.3089,5.301,[M-H2O+H]1+
42161,739.5306,6.295729,[M+H]1+
5929,650.4348,5.605814,[M+H]1+
2746,613.2959,5.501,[M+K]1+
2,520.3372,4.951,[M+H]1+
20,521.3406,4.951,[M+H]1+
540,557.33,5.501,[M-H2O+H]1+
3940,228.1338,0.687,[M+H]1+
1449,489.312,5.577,[M+H]1+
52738,657.5045,6.28025,[M+H]1+
386,498.3124,5.493,[M-H2O+H]1+
376,593.3702,5.501,[M+NH3+H]1+
3429,503.3306,4.951,[M-H2O+H]1+
6980,235.1073,0.961,[M+H]1+
97,592.3667,5.501,[M+NH3+H]1+
126,557.2911,5.224628,[M+Na]1+
88,497.3089,5.5,[M-H2O+H]1+
2189,597.3225,5.545,[M+H]1+
12759,594.5434,5.89605,[M+H]1+
925,616.3745,5.544,[M-H2O+H]1+
43,597.3221,5.501,[M+Na]1+
198,497.3089,5.567,[M+K]1+
3424,671.3375,5.54364,[M+K]1+
6626,273.0959,5.571,[M+H]1+
3410,548.2893,5.261,[M+Na]1+
5318,441.3193,5.564458,[M+H]1+
576,371.2779,5.209269,[M+H]1+
2227,695.3948,5.819006,[M+H]1+
1172,579.3614,5.583,[M+H]1+
1193,626.3566,5.926067,[M+K]1+
1152,439.2674,5.299,[M-H2O+H]1+
728,582.374,5.129,[M+H]1+
3156,333.1171,1.628606,[M-H2O+H]1+
4713,755.358,5.694,[M+H]1+
4924,523.3723,5.547,[M+H]1+
8388,567.3115,5.4222,[M+Na]1+
920,489.3403,5.326,[M-H2O+H]1+
11123,291.1067,0.59549,[M-H2O+H]1+
13215,737.4368,5.587,[M+H]1+
2008,624.3845,5.231833,[M+H]1+
1684,427.2672,5.266,[M-H2O+H]1+
1065,598.3254,5.793,[M+Na]1+
7204,365.2675,5.275114,[M-2H2O+H]1+
742,273.0961,5.461,[M-H2O+H]1+
2071,706.4343,5.654275,[M+H]1+
3885,790.4915,5.79,[M+H]1+
784,514.3436,5.418,[M-H2O+H]1+
13574,705.4138,5.501,[M+H]1+
1943,566.3879,5.276696,[M+H]1+
25348,623.4406,6.188336,[M+H]1+
11037,629.3389,5.711879,[M+H]1+
244,600.3049,5.299,[M+Na]1+
1329,545.33,5.318,[M+H]1+
1468,331.099,0.655439,[M+Na]1+
3946,333.1165,5.515333,[M+H]1+
5394,790.4914,5.837,[M+H]1+
5023,543.3505,5.605814,[M+H]1+
4695,660.3924,5.57,[M+H]1+
5822,648.3925,5.614,[M+H]1+
3151,549.2899,5.261,[M+2Na-H]1+
1835,353.2675,5.200462,[M-H2O+H]1+
592,634.377,5.46836,[M+H]1+
4506,602.3,5.376,[M+H]1+
5470,676.4237,5.545,[M+H]1+
3423,610.404,5.376,[M+H]1+
11165,706.4694,5.64595,[M+H]1+
8590,333.1168,5.618704,[M+H]1+
8090,375.2879,5.409,[M-2H2O+H]1+
1981,518.3021,5.196239,[M-H2O+H]1+
196,515.2808,5.104,[M+Na]1+
36719,219.0857,0.924,[M+H]1+
2354,711.3896,5.654275,[M+K]1+
5377,734.465,5.654275,[M+K]1+
13862,757.4293,5.200632,[M+H]1+
25483,684.3979,5.674,[M+H]1+
21720,637.3528,5.638544,[M+Na]1+
7112,483.2906,5.24563,[M+Na]1+
30086,651.4719,6.656,[M+H]1+
2498,655.3065,5.567,[M+K]1+
20609,453.2831,4.978009,[M+H]1+
1127,668.3672,5.939657,[M+H]1+
5617,678.4037,5.562,[M+NH3+H]1+
19040,703.4344,5.669,[M+CH3OH+H]1+
39436,398.2289,4.534127,[M+H]1+
3601,718.4344,5.64,[M+NH3+H]1+
7405,670.3718,5.677,[M+Na]1+
5309,654.3878,5.736,[M+3Na-2H]1+
12534,669.3432,5.217097,[M+H]1+
163,569.2908,5.384,[M+Na]1+
120,611.3009,5.46836,[M+Na]1+
4820,667.3959,5.515333,[M+NH3+H]1+
10492,383.2778,5.377,[M+H]1+
13817,765.4693,5.701,[M-3H2O+H]1+
25505,328.0906,0.983158,[M+H]1+
2888,683.3948,5.64605,[M+H]1+
13560,527.3857,5.659,[M-H2O+H]1+
483,664.3876,5.781,[M+H]1+
2720,585.3607,5.668644,[M+H]1+
5177,644.3097,5.467,[M+K]1+
973,636.383,5.567,[M+NH3+H]1+
49739,737.5728,6.06,[M-H2O+H]1+
1899,748.4807,5.746,[M+K]1+
47515,870.6329,6.232,[M+H]1+
18988,583.3065,5.24575,[M+H]1+
6000,457.2779,5.096,[M-2H2O+H]1+
192,664.3876,5.393,[M+H]1+
5903,672.3516,5.517,[M+Na]1+
1041,395.2776,5.409,[M+H]1+
30151,774.4963,5.638457,[M+H]1+
23454,626.314,0.882433,[M+2H]2+
555,762.46,5.654576,[M+3Na-2H]1+
6161,695.4273,5.638457,[M+NH3+H]1+
1665,557.3297,5.567,[M+NH3+H]1+
17628,354.1749,0.535229,[M+H]1+
14213,851.5455,6.538,[M+H]1+
2660,523.3243,5.359,[M+H]1+
4930,748.4809,5.711,[M+H]1+
773,711.3531,5.814989,[M+H]1+
1405,739.3846,6.015397,[M+H]1+
9848,695.4276,5.509,[M+H]1+
563,569.3295,5.587,[M+H]1+
19,641.3117,5.393,[M+Na]1+
2818,630.3411,5.459,[M+2Na-H]1+
11834,609.3228,5.501,[M+Na]1+
6366,776.4758,5.737,[M+3Na-2H]1+
320,559.3091,5.299,[M-H2O+H]1+
8960,527.3246,5.799,[M+H]1+
647,630.3534,5.515333,[M-H2O+H]1+
2035,303.1063,5.668644,[M+H]1+
1634,658.3849,5.618704,[M-H2O+H]1+
2587,690.4394,5.931921,[M+H]1+
34769,733.4452,5.621025,[M+CH3OH+H]1+
11316,640.3316,1.714554,[M+H]1+
17465,998.6137,5.282,[M+H]1+
1099,685.3376,5.14,[M+Na]1+
558,331.0991,0.983158,[M+Na]1+
495,720.4499,5.914,[M+H]1+
2895,353.2672,5.326,[M+H]1+
11887,255.231,5.375667,[M+H]1+
707,725.4051,5.746,[M+Na]1+
3417,764.4663,5.701,[M-3H2O+H]1+
6111,732.4133,5.553,[M+NH3+H]1+
26397,408.1539,4.593253,[M+H]1+
2237,485.3092,5.468,[M+H]1+
322,707.4013,5.578,[M+NH3+H]1+
9760,653.4172,5.57,[M+NH3+H]1+
17578,497.2703,5.196239,[M+H]1+
6220,615.3325,5.301,[M+NH3+H]1+
17089,862.4327,5.207202,[M+H]1+
4810,342.2379,1.348737,[M+H]1+
991,597.3608,5.691,[M+H]1+
5658,706.3979,5.560545,[M+H]1+
8455,700.3822,5.638457,[M+Na]1+
1977,527.3195,5.518702,[M+H]1+
1032,303.1064,5.567,[M+H]1+
11885,663.4038,5.467,[M+NH3+H]1+
26658,330.1803,1.45062,[M+H]1+
659,656.3672,5.870815,[M+NH3+H]1+
428,667.3638,5.939657,[M+H]1+
49,599.3015,5.299,[M+Na]1+
1375,670.3464,5.79,[M+Na]1+
24312,494.2495,5.067,[M+H]1+
16816,527.3828,4.583192,[M+H]1+
89,557.291,5.196239,[M+Na]1+
5462,678.4397,5.718317,[M+H]1+
30566,296.1962,1.1705,[M+H]1+
3678,617.3774,5.544,[M-H2O+H]1+
1031,526.3433,5.668644,[M+H]1+
4038,499.3543,5.48756,[M-H2O+H]1+
169,739.3842,5.654576,[M+3Na-2H]1+
224,629.3506,5.507,[M-H2O+H]1+
3857,683.3947,5.66243,[M+H]1+
3183,683.3375,5.666,[M+K]1+
4691,676.4239,5.729,[M+NH3+H]1+
5608,219.2101,5.426,[M-H2O+H]1+
20356,576.5328,5.856,[M+H]1+
9707,685.413,5.701,[M+H]1+
22425,838.6365,6.162933,[M+H]1+
4719,540.3641,4.995,[M+2H]2+
15647,792.5948,5.986035,[M+NH3+H]1+
43532,499.3514,4.582,[M+H]1+
7319,665.4165,5.668644,[M+NH3+H]1+
3101,694.4247,5.501,[M+H]1+
3411,641.3478,5.254854,[M+2ACN+H]1+
335,570.3326,5.515333,[M-H2O+H]1+
2980,685.3167,5.501,[M+K]1+
1092,671.3489,5.501,[M+Na]1+
7062,669.379,5.594188,[M+Na]1+
767,516.2842,5.104,[M+Na]1+
697,657.3817,5.618704,[M-H2O+H]1+
329,597.322,5.793,[M+Na]1+
1824,643.3068,5.468,[M+K]1+
4842,817.5402,6.632478,[M+H]1+
42422,273.0958,5.62536,[M+H]1+
9914,685.413,5.746,[M-H2O+H]1+
359,467.2986,5.434,[M-H2O+H]1+
236,588.3436,5.434,[M-H2O+H]1+
1970,678.4395,5.835909,[M+H]1+
18634,723.4579,5.638457,[M-3H2O+H]1+
1088,560.3125,5.299,[M-H2O+H]1+
2181,237.2207,5.358,[M+H]1+
11992,353.1232,3.170294,[M-NH3+H]1+
1607,237.2205,5.418,[M+H]1+
926,621.4014,5.493,[M+H]1+
516,669.343,5.79,[M+Na]1+
347,525.3398,5.668644,[M+H]1+
17767,366.107,3.621046,[M+H]1+
47358,840.6525,6.456225,[M+H]1+
424,762.4602,5.701,[M-3H2O+H]1+
18369,335.2657,5.077,[M+H]1+
741,556.3538,5.553,[M-H2O+H]1+
207,665.3904,5.515333,[M+NH3+H]1+
748,457.2779,5.190745,[M+H]1+
249,639.3324,5.808,[M-NH3+H2O+H]1+
8240,661.351,2.951396,[M+H]1+
53,587.3401,5.434,[M-H2O+H]1+
44404,248.1819,3.961616,[M+H]1+
95,706.3979,5.578,[M+NH3+H]1+
267,623.3806,5.469,[M+NH3+H]1+
3972,680.4457,5.553,[M+3Na-2H]1+
996,231.0856,5.367,[M-H2O+H]1+
559,734.4289,5.587,[M+H]1+
10820,678.4034,5.225531,[M+H]1+
2178,653.3843,5.736,[M+3Na-2H]1+
2932,722.456,5.64,[M-3H2O+H]1+
5512,409.2868,5.3,[M+H]1+
6852,467.2979,5.514,[M+H]1+
208,734.429,5.683,[M+NH3+H]1+
221,655.3637,5.870815,[M+NH3+H]1+
4320,219.2101,5.255,[M-2H2O+H]1+
15661,201.0752,2.144,[M+H]1+
161,739.3843,5.7,[M+Na]1+
1424,669.3695,5.677,[M+Na]1+
307,693.4218,5.638457,[M+NH3+H]1+
1433,532.354,5.359,[M+H]1+
315,615.371,5.544,[M-H2O+H]1+
119,711.353,5.587,[M+Na]1+
3415,692.4459,5.676,[M+H]1+
13388,797.591,5.898491,[M+Na]1+
14543,738.5847,5.847,[M+H]1+
4526,473.2745,1.998408,[M+H]1+
8704,683.3585,5.57,[M+Na]1+
109,628.3356,5.467,[M+2Na-H]1+
39610,781.4707,4.559446,[M+H]1+
9958,748.5689,6.005931,[M+H]1+
33555,244.081,1.410193,[M+H]1+
16053,495.3298,5.623,[M+H]1+
216,635.3803,5.567,[M+NH3+H]1+
827,663.4117,5.58264,[M+H]1+
1339,499.2883,5.393,[M+H]1+
5353,658.3725,5.553,[M+Na]1+
855,691.4429,5.676,[M+H]1+
5452,709.4065,5.587,[M+NH3+H]1+
3366,495.2932,5.233,[M+H]1+
70,622.3771,5.469,[M+NH3+H]1+
362,663.4117,5.674,[M+NH3+H]1+
85,569.3292,5.515333,[M-H2O+H]1+
760,607.3928,5.729,[M+H]1+
18508,679.4363,5.615849,[M+H]1+
262,640.3357,5.567,[M+Na]1+
45,664.387,5.515333,[M+NH3+H]1+
18785,681.4483,5.54364,[M+3Na-2H]1+
14334,285.2415,5.047,[M+H]1+
6835,796.5876,5.888543,[M+Na]1+
158,650.4084,5.461,[M+Na]1+
243,555.3503,5.543,[M-H2O+H]1+
343,668.3668,5.677,[M+Na]1+
291,650.4086,5.426,[M+H]1+
154,628.3354,5.4222,[M+H]1+
3241,273.0962,1.628606,[M-H2O+H]1+
47292,411.0022,3.702,[M+H]1+
13162,710.5538,5.626526,[M+H]1+
116,662.408,5.668644,[M+NH3+H]1+
47,634.3769,5.567,[M+NH3+H]1+
2896,711.5573,5.991633,[M-H2O+H]1+
12195,549.5053,5.991633,[M+H]1+
10295,712.5605,6.002315,[M-H2O+H]1+
14058,729.5679,5.991633,[M+H]1+
8173,530.4913,5.991633,[M-H2O+H]1+
52278,204.1226,1.693745,[M+H]1+
1027,679.4431,5.578,[M+3Na-2H]1+
6900,409.3086,5.554605,[M-H2O+H]1+
28,627.332,5.4222,[M+Na]1+
8887,509.3356,4.603068,[M+H]1+
11921,545.3962,5.659,[M+H]1+
332,692.4188,5.501,[M+H]1+
312,662.4082,5.567,[M+H]1+
16113,728.5645,5.637355,[M-H2O+H]1+
6647,566.5122,5.653454,[M+NH3+H]1+
12560,548.5016,5.629298,[M+H]1+
96,692.4184,5.638457,[M+NH3+H]1+
1254,657.3697,5.553,[M+Na]1+
18,627.3322,5.467,[M+2Na-H]1+
6300,872.4681,5.367,[M+2H]2+
15601,567.5156,5.653454,[M+NH3+H]1+
26715,746.5753,5.654475,[M+H]1+
32580,530.4912,5.637355,[M-H2O+H]1+
26300,244.1325,4.902958,[M+H]1+
3698,231.0856,5.088,[M+ACN+H]1+
42232,713.5634,5.991633,[M-H2O+H]1+
67,639.3322,5.567,[M+Na]1+
33596,276.2678,5.991633,[M+H]1+
105,667.3634,5.677,[M+Na]1+
404,678.4397,5.578,[M+3Na-2H]1+
62,669.3431,5.501,[M+Na]1+
308,620.3979,5.493,[M+H]1+
147,650.4081,5.553,[M+NH3+H]1+
21869,757.5991,6.338,[M+H]1+
2418,411.3242,5.568033,[M+H]1+
524,1096.8655,5.587899,[M+H]1+
316,690.4395,5.676,[M+H]1+
298,720.4499,5.64,[M-3H2O+H]1+
32476,559.526,6.338,[M-H2O+H]1+
2221,282.1351,5.448231,[M+H]1+
14594,231.0857,1.628606,[M+H]1+
26348,1457.1259,6.002315,[2M+H]1+
1803,699.38,5.628725,[M+Na]1+
29156,756.5955,5.875,[M-H2O+H]1+
2604,409.3084,5.477,[M+Na]1+
50422,203.1789,4.570667,[M+H]1+
266,656.3669,5.553,[M+Na]1+
170,697.3738,5.619776,[M+Na]1+
11747,201.0753,1.428,[M+H]1+
46445,518.491,5.983257,[M+H]1+
68,655.3635,5.553,[M+Na]1+
19380,246.0966,7.650095,[M+ACN+H]1+
21105,515.3171,5.192887,[M+H]1+
1739,301.0885,0.924,[M+Na]1+
4944,745.4752,5.394,[M+NH3+H]1+
702,1097.869,5.587899,[M+H]1+
300,563.2628,5.454462,[M+H]1+
46186,581.3815,4.648048,[M-2H2O+H]1+
32948,328.3197,5.238,[M+H]1+
9100,745.4747,5.450841,[M+H]1+
16817,769.5598,5.639,[M+Na]1+
28771,343.1289,1.481,[M+H]1+
5542,415.3337,5.659,[M+H]1+
3600,457.3119,5.233564,[M+Na]1+
7106,308.0886,4.81698,[M+ACN+H]1+
6736,357.1144,3.09635,[M+Na]1+
1113,799.5643,5.631,[M+H]1+
3704,800.5674,5.631,[M+H]1+
13869,289.6404,5.055813,[M+H]1+
15953,554.7648,7.618413,[M+H+Na]2+
18100,428.0353,0.547349,[M+H]1+
40052,153.0543,0.983158,[M+H]1+
7037,485.2621,5.059057,[M+H]1+
5103,637.3855,5.567,[M+NH3+H]1+
25896,519.3257,4.540923,[M+H]1+
52546,536.3327,4.723,[M+H]1+
19166,577.5365,6.358,[M+H]1+
7971,273.0961,2.159152,[M+H]1+
42082,617.403,4.557696,[M+H]1+
4213,449.3008,5.554605,[M+Na]1+
35091,553.3116,5.131,[M+K]1+
122,697.3741,5.929582,[M+Na]1+
646,807.5671,5.469,[M+Na]1+
1670,520.3575,4.942,[M+H]1+
6372,521.3668,4.951,[M+H]1+
19724,572.3666,5.210971,[M+Na]1+
14275,537.3364,4.553,[M+H]1+
3207,1065.6816,5.056,[2M+Na]1+
8895,548.7994,4.951,[M+H]1+
22,519.325,4.864,[M+H]1+
18253,464.0798,0.792494,[M+H]1+
8485,596.4731,5.468,[M+Na]1+
3,518.3217,4.864,[M+H]1+
1895,387.3025,5.48756,[M+H]1+
29511,736.5694,6.06,[M-H2O+H]1+
2250,455.2987,5.503,[M+H]1+
6764,536.3331,4.483,[M+H]1+
178,778.5348,5.478,[M-H2O+H]1+
24450,257.0716,3.03724,[M+H]1+
32459,555.3594,4.753,[M+H]1+
9881,1023.6343,5.039,[M+Na]1+
505,1094.8489,5.562352,[M+H]1+
6742,753.5205,5.385,[M+H]1+
39516,777.5649,6.06,[M+Na]1+
4817,547.3545,5.176,[M+Na]1+
20561,441.3001,4.679057,[M+Na]1+
268,520.328,4.864,[M+H]1+
26484,1096.8569,5.556629,[M+H]1+
2037,521.3305,4.864,[M+H]1+
36917,153.0543,1.628606,[M+H]1+
16680,260.2,4.986,[M+H]1+
43156,707.4742,5.729,[M+H]1+
541,524.3596,5.047,[M+H]1+
4219,536.3329,4.553,[M+H]1+
3564,522.3789,5.055,[M+H]1+
3491,525.3618,5.047,[M+H]1+
15877,1024.6378,5.047,[M+Na]1+
8896,247.2412,5.485,[M-H2O+H]1+
7209,927.5424,4.882,[M+H]1+
22399,1063.6656,5.055,[M+H]1+
4099,549.3724,5.095,[M+H]1+
1363,502.3268,4.951,[M-H2O+H]1+
4331,772.5092,5.434,[M+H]1+
1257,270.2782,5.579699,[M+H]1+
14452,1067.6885,5.039,[2M+Na]1+
12250,773.3557,1.926607,[M+NH3+H]1+
782,184.0728,4.926,[M+H]1+
10107,538.3486,4.713,[M+H]1+
44925,570.3369,3.068,[M+H]1+
16308,357.1147,2.995436,[M+H]1+
5229,522.379,5.046,[M+H]1+
21964,425.3034,5.583839,[M+H]1+
10978,486.233,2.692302,[M+H]1+
14070,804.9404,4.873,[M+H]1+
25884,380.1903,3.107346,[M+H]1+
1064,1070.8497,5.572,[M+NH3+H]1+
2636,518.3475,4.864,[M+H]1+
4357,501.3148,4.864,[M-H2O+H]1+
14488,1043.8219,5.586652,[M-3H2O+H]1+
1859,523.3462,4.951,[M+H]1+
6595,393.726,0.975398,[M+H]1+
1843,526.3754,5.176,[M+H]1+
72,524.3691,5.176,[M+H]1+
1355,500.3115,4.872,[M-H2O+H]1+
36973,444.0302,0.53823,[M+H]1+
304,525.3726,5.176,[M+H]1+
12147,524.349,4.95,[M+H]1+
26139,1143.6245,5.055,[M+H]1+
27572,558.3147,4.553,[M+Na]1+
