row ID,row m/z,row retention time,adduct
190,447.3299,5.167,[M-H2O+H]1+
1793,636.4293,5.634988,[M+H]1+
234,513.34,5.409,[M-H2O+H]1+
1114,566.3878,5.427561,[M+NH3+H]1+
539,454.3226,5.409,[M+H]1+
1371,411.3089,5.409,[M+H]1+
777,532.3539,5.409,[M+H]1+
433,530.336,5.324225,[M+Na]1+
5563,599.3744,5.555955,[M+H]1+
406,502.3049,5.14,[M+Na]1+
1104,543.3503,5.530306,[M-H2O+H]1+
726,538.3566,5.264594,[M+NH3+H]1+
674,443.2986,5.088,[M-H2O+H]1+
664,486.3125,5.255,[M-2H2O+H]1+
2518,583.3427,5.81,[M+H]1+
5166,247.2412,5.409,[M+H]1+
27130,478.3487,5.702132,[M+H]1+
258,489.3404,5.272875,[M-H2O+H]1+
25047,463.3011,5.682696,[M+H]1+
3093,566.3878,5.264013,[M+H]1+
6120,601.2961,5.36,[M+K]1+
6487,576.3208,5.419,[M+H]1+
11582,599.3159,5.553,[M+K]1+
490,499.3225,5.377,[M+H]1+
16070,396.3458,5.701,[M+H]1+
2519,588.3307,5.376,[M+Na]1+
184,501.3015,5.088,[M+H]1+
7974,450.3174,5.553,[M+Na]1+
9222,628.3615,5.605814,[M+Na]1+
361,411.3089,5.326,[M-H2O+H]1+
5808,546.3199,5.246,[M+Na]1+
101,529.3326,5.324225,[M+Na]1+
239,486.3124,5.334,[M+H]1+
4246,459.3299,5.325,[M+H]1+
439,574.3644,5.477,[M-H2O+H]1+
14265,1394.9125,5.504,[M+H]1+
874,550.3564,5.451,[M+NH3+H]1+
971,342.2991,5.272875,[M+H]1+
740,556.3538,5.501,[M+H]1+
3611,559.2857,5.273,[M+K]1+
7040,553.3327,5.476,[M+Na]1+
1711,601.2961,5.376,[M+H]1+
873,594.4189,5.413878,[M+H]1+
26926,832.5594,6.289438,[M+H]1+
177,515.3193,5.409,[M-H2O+H]1+
3982,616.3622,5.468,[M+Na]1+
155,546.3333,5.341676,[M-H2O+H]1+
1120,545.3176,5.261,[M+Na]1+
219,572.3467,5.401,[M+Na]1+
529,550.3566,5.409,[M+NH3+H]1+
140,453.3192,5.409,[M+H]1+
118,513.3401,5.476,[M-H2O+H]1+
173,471.3298,5.401,[M-H2O+H]1+
340,503.3195,5.2,[M+2Na-H]1+
14315,677.4271,5.545,[M+H]1+
461,514.3435,5.476,[M-H2O+H]1+
19750,501.3403,5.701568,[M+H]1+
2249,231.0856,5.485,[M+H]1+
7125,606.419,5.718317,[M+H]1+
994,637.4326,5.477,[M+3Na-2H]1+
41,571.3432,5.401,[M+Na]1+
4198,513.34,5.554,[M+H]1+
477,542.3361,5.469,[M+Na]1+
10740,538.3491,5.12,[M+H]1+
166,513.3013,5.325,[M+Na]1+
19409,793.5598,6.061703,[M+Na]1+
1681,482.315,5.601884,[M+Na]1+
2235,579.3909,5.561,[M+NH3+H]1+
123,573.3611,5.485,[M-H2O+H]1+
3909,525.3283,5.70142,[M+Na]1+
20467,873.5657,6.396653,[M+H]1+
4540,688.424,5.676,[M+NH3+H]1+
4680,604.356,5.129,[M+Na]1+
1335,587.3281,5.363,[M+ACN+Na]1+
2122,524.3256,6.035339,[M+H]1+
1924,439.2673,5.196239,[M+ACN+H]1+
3318,611.3377,5.551,[M+Na]1+
4648,641.3268,5.612177,[M+H]1+
2794,614.3567,5.807,[M+H]1+
8010,423.3088,5.553,[M-H2O+H]1+
1037,495.2909,5.808,[M+H]1+
3703,607.4221,5.553,[M+H]1+
582,483.3295,5.530306,[M+H]1+
478,444.302,5.228,[M-H2O+H]1+
1332,1414.7532,2.661519,[M+H]1+
1574,483.3295,5.605814,[M+H]1+
2555,707.8802,2.661822,[M+2H]2+
121,541.3326,5.469,[M+Na]1+
143,614.3566,5.476,[M+Na]1+
1858,237.2206,5.255,[M-H2O+H]1+
9255,481.3117,5.929646,[M+H]1+
790,578.3875,5.561,[M+NH3+H]1+
26,545.3299,5.341676,[M-H2O+H]1+
1798,627.3589,5.605814,[M+Na]1+
117,529.3326,5.278,[M+Na]1+
4207,708.3815,2.650287,[M+2H]2+
203,487.3223,5.167,[M+Na]1+
2904,629.3267,5.476,[M+K]1+
334,636.4292,5.477,[M+3Na-2H]1+
3176,431.3502,5.258896,[M+H]1+
24,613.3531,5.476,[M+Na]1+
7015,228.1339,0.569651,[M+H]1+
7384,505.3619,5.657922,[M+H]1+
633,383.278,5.271,[M-H2O+H]1+
1999,641.348,5.485,[M+H]1+
10781,792.5563,6.071691,[M+Na]1+
706,615.3592,5.476,[M+Na]1+
438,518.3666,5.690667,[M+NH3+H]1+
746,613.3535,5.627096,[M+H]1+
82,501.3015,5.14,[M+Na]1+
533,490.3353,5.569,[M+NH3+H]1+
16323,513.3013,5.274,[M+H]1+
3535,211.1074,0.695,[M-NH3+H]1+
204,580.3668,5.376,[M+NH3+H]1+
256,555.3504,5.501,[M+H]1+
16996,801.4328,2.663356,[M+H]1+
1535,606.4187,5.553,[M+H]1+
953,441.3194,5.469,[M+H]1+
1572,641.3843,5.628,[M+H]1+
2926,368.3146,5.553,[M+H]1+
255,528.3228,5.3665,[M+H]1+
25945,501.3402,5.564458,[M+H]1+
16723,557.2908,5.14,[M+H]1+
1066,613.3532,5.807,[M+H]1+
162,503.3197,5.240311,[M-H2O+H]1+
