strain	in_phenotype_metadata	in_eb_ms_data	in_bfd_sequences	bfd_match	rsynced
DBVPG_10075	yes	yes	yes	Cystobasidium_sp._DBVPG_10075	yes
DBVPG_10348	yes	yes	yes	Rhodotorula_sp._clade_XI_DBVPG_10348	yes
DBVPG_10383	yes	yes	yes	Rhodotorula_kratochvilovae_DBVPG_10383	yes
DBVPG_10619	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_10619	yes
DBVPG_10753	yes	yes	yes	Rhodotorula_kratochvilovae_DBVPG_10753	yes
DBVPG_10780	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_10780	yes
DBVPG_10842	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_10842	yes
DBVPG_10882	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_10882	yes
DBVPG_10886	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_10886	yes
DBVPG_10937	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_10937	yes
DBVPG_3044	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3044	yes
DBVPG_3045	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3045	yes
DBVPG_3090	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3090	yes
DBVPG_3235	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3235	yes
DBVPG_3236	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3236	yes
DBVPG_3237	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3237	yes
DBVPG_3238	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3238	yes
DBVPG_3239	yes	yes	no		no
DBVPG_3380	yes	no	no		no
DBVPG_3381	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3381	yes
DBVPG_3382	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3382	yes
DBVPG_3383	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3383	yes
DBVPG_3384	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3384	yes
DBVPG_3442	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3442	yes
DBVPG_3443	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3443	yes
DBVPG_3444	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3444	yes
DBVPG_3445	yes	yes	no		no
DBVPG_3446	yes	yes	no		no
DBVPG_3538	yes	yes	no		no
DBVPG_3768	yes	yes	yes	Rhodotorula_dairenensis_DBVPG_3768	yes
DBVPG_3769	yes	yes	yes	Rhodotorula_dairenensis_DBVPG_3769	yes
DBVPG_3770	yes	yes	yes	Rhodotorula_dairenensis_DBVPG_3770	yes
DBVPG_3771	yes	no	yes	Rhodotorula_dairenensis_DBVPG_3771	yes
DBVPG_3772	yes	yes	yes	Rhodotorula_dairenensis_DBVPG_3772	yes
DBVPG_3773	yes	yes	yes	Rhodotorula_dairenensis_DBVPG_3773	yes
DBVPG_3774	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3774	yes
DBVPG_3775	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3775	yes
DBVPG_3776	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3776	yes
DBVPG_3777	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3777	yes
DBVPG_3778	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3778	yes
DBVPG_3780	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3780	yes
DBVPG_3853	yes	no	yes	Rhodotorula_dairenensis_DBVPG_3853	yes
DBVPG_3854	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3854	yes
DBVPG_3855	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3855	yes
DBVPG_3856	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3856	yes
DBVPG_3857	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3857	yes
DBVPG_3858	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3858	yes
DBVPG_3983	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3983	yes
DBVPG_3984	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_3984	yes
DBVPG_3985	yes	yes	no		no
DBVPG_4201	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4201	yes
DBVPG_4202	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4202	yes
DBVPG_4203	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4203	yes
DBVPG_4304	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4304	yes
DBVPG_4376	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4376	yes
DBVPG_4377	yes	no	yes	Rhodotorula_mucilaginosa_DBVPG_4377	yes
DBVPG_4378	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4378	yes
DBVPG_4379	yes	yes	no		no
DBVPG_4380	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4380	yes
DBVPG_4408	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4408	yes
DBVPG_4466	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4466	yes
DBVPG_4530	yes	yes	yes	Rhodotorula_taiwanensis_DBVPG_4530	yes
DBVPG_4531	yes	yes	yes	Rhodotorula_taiwanensis_DBVPG_4531	yes
DBVPG_4534	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4534	yes
DBVPG_4610	yes	no	yes	Rhodotorula_paludigena_DBVPG_4610	yes
DBVPG_4618	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4618	yes
DBVPG_4669	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4669	yes
DBVPG_4920	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4920	yes
DBVPG_4945	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4945	yes
DBVPG_4946	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4946	yes
DBVPG_4947	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4947	yes
DBVPG_4949	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4949	yes
DBVPG_4950	yes	no	yes	Rhodotorula_mucilaginosa_DBVPG_4950	yes
DBVPG_4952	yes	no	no		no
DBVPG_4956	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4956	yes
DBVPG_4957	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4957	yes
DBVPG_4958	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4958	yes
DBVPG_4962	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4962	yes
DBVPG_4963	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4963	yes
DBVPG_4964	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_4964	yes
DBVPG_5225	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5225	yes
DBVPG_5226	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5226	yes
DBVPG_5227	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5227	yes
DBVPG_5228	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5228	yes
DBVPG_5229	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5229	yes
DBVPG_5235	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5235	yes
DBVPG_5236	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5236	yes
DBVPG_5757	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5757	yes
DBVPG_5758	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5758	yes
DBVPG_5759	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_5759	yes
DBVPG_6081	yes	yes	yes	Rhodotorula_glutinis_DBVPG_6081	yes
DBVPG_6083	yes	yes	yes	Rhodotorula_graminis_DBVPG_6083	yes
DBVPG_6091	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6091	yes
DBVPG_6092	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6092	yes
DBVPG_6093	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6093	yes
DBVPG_6094	yes	yes	no		no
DBVPG_6121	yes	yes	yes	Rhodotorula_toruloides_DBVPG_6121	yes
DBVPG_6195	yes	yes	yes	Rhodotorula_diobovata_DBVPG_6195	yes
DBVPG_6202	yes	yes	yes	Rhodotorula_diobovata_DBVPG_6202	yes
DBVPG_6593	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6593	yes
DBVPG_6649	yes	yes	no		no
DBVPG_6660	yes	no	yes	Rhodotorula_mucilaginosa_DBVPG_6660	yes
DBVPG_6739	yes	yes	yes	Rhodotorula_toruloides_DBVPG_6739	yes
DBVPG_6740	yes	yes	yes	Pseudomicrostroma_phylloplanum_DBVPG_6740	yes
DBVPG_6741	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6741	yes
DBVPG_6742	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6742	yes
DBVPG_6743	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6743	yes
DBVPG_6803	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_6803	yes
DBVPG_7019	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_7019	yes
DBVPG_7021	yes	yes	yes	Rhodotorula_graminis_DBVPG_7021	yes
DBVPG_7316	yes	yes	yes	Rhodotorula_paludigena_DBVPG_7316	yes
DBVPG_7323	yes	yes	yes	Rhodotorula_paludigena_DBVPG_7323	yes
DBVPG_7539	yes	yes	yes	Rhodotorula_kratochvilovae_DBVPG_7539	yes
DBVPG_7947	yes	yes	yes	Rhodotorula_sp._clade_XIII_DBVPG_7947	yes
DBVPG_8043	yes	yes	yes	Rhodotorula_mucilaginosa_DBVPG_8043	yes
DBVPG_8058	yes	yes	yes	Rhodotorula_sp._clade_I_DBVPG_8058	yes
JES-025-001	yes	no	no		no
NRRL_Y-12923	yes	yes	yes	Rhodotorula_paludigena_NRRL_Y-12923	yes
NRRL_Y-17376	yes	yes	yes	Rhodotorula_araucariae_NRRL_Y-17376	yes
NRRL_Y-2474	yes	yes	yes	Rhodotorula_graminis_NRRL_Y-2474	yes
NRRL_Y-2504	yes	yes	yes	Rhodotorula_dairenensis_NRRL_Y-2504	yes
NRRL_Y-2510	yes	yes	yes	Rhodotorula_mucilaginosa_NRRL_Y-2510	yes
NRRL_Y-7192	yes	yes	yes	Rhodotorula_sphaerocarpa_NRRL_Y-7192	yes
NRRL_Y-7196	yes	no	yes	Rhodotorula_diobovata_NRRL_Y-7196	yes
TFCN_0520-4-2-1	yes	yes	yes	Rhodotorula_taiwanensis_TFCN_0520-4-2-1	yes
TFCN_0520-4-2-2	yes	yes	yes	Rhodotorula_taiwanensis_TFCN_0520-4-2-2	yes
TFCN_100D-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_100D-1	yes
TFCN_102C-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_102C-1	yes
TFCN_102C-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_102C-2	yes
TFCN_102D-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_102D-1	yes
TFCN_102D-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_102D-2	yes
TFCN_105A-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_105A-2	yes
TFCN_106A-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_106A-1	yes
TFCN_107A-6	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_107A-6	yes
TFCN_107C-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_107C-3	yes
TFCN_110C-1	yes	no	yes	Rhodotorula_mucilaginosa_TFCN_110C-1	yes
TFCN_118C-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_118C-2	yes
TFCN_122C-2	yes	no	yes	Rhodotorula_mucilaginosa_TFCN_122C-2	yes
TFCN_130D-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_130D-4	yes
TFCN_134A-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_134A-3	yes
TFCN_137C-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_137C-3	yes
TFCN_137D-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_137D-4	yes
TFCN_138A-1	yes	no	yes	Rhodotorula_mucilaginosa_TFCN_138A-1	yes
TFCN_140A-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_140A-3	yes
TFCN_141C-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_141C-2	yes
TFCN_152A-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_152A-1	yes
TFCN_152A-12	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_152A-12	yes
TFCN_152A-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_152A-2	yes
TFCN_152A-4	yes	yes	yes	Rhodotorula_toruloides_TFCN_152A-4	yes
TFCN_152A-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_152A-5	yes
TFCN_152A-6	yes	yes	yes	Rhodotorula_toruloides_TFCN_152A-6	yes
TFCN_152A_3	yes	no	no		no
TFCN_152C-2	yes	yes	no		no
TFCN_152C-3	yes	yes	yes	Rhodotorula_toruloides_TFCN_152C-3	yes
TFCN_152C-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_152C-5	yes
TFCN_152C-6	yes	yes	yes	Rhodotorula_toruloides_TFCN_152C-6	yes
TFCN_152D-4	yes	yes	yes	Rhodotorula_toruloides_TFCN_152D-4	yes
TFCN_152D-6	yes	yes	yes	Rhodotorula_toruloides_TFCN_152D-6	yes
TFCN_17-0-2E329-4	yes	no	no		no
TFCN_17-0-2E334-10	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-10	yes
TFCN_17-0-2E334-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-4	yes
TFCN_17-0-2E337-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-0-2E337-3	yes
TFCN_17-0-2E390-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-0-2E390-1	yes
TFCN_17-0-2E390-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2	yes
TFCN_17-267M-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-267M-1	yes
