strain	in_phenotype_metadata	in_eb_ms_data	in_bfd_sequences	bfd_match	rsynced
TFCN_17-291Y-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-291Y-1	yes
TFCN_17-325D-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-325D-2	yes
TFCN_17-325D-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-325D-4	yes
TFCN_17-325P-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-325P-1	yes
TFCN_17-328C-3	yes	yes	yes	Rhodotorula_sp._clade_I_TFCN_17-328C-3	yes
TFCN_17-328P-3	yes	no	yes	Rhodotorula_sp._clade_I_TFCN_17-328P-3	yes
TFCN_17-329Y-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-329Y-4	yes
TFCN_17-332C-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-332C-1	yes
TFCN_17-332C-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-332C-2	yes
TFCN_17-332M-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-332M-1	yes
TFCN_17-332M-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-332M-2	yes
TFCN_17-332P-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-332P-1	yes
TFCN_17-332P-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-332P-2	yes
TFCN_17-333D-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-333D-2	yes
TFCN_17-333P-6	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-333P-6	yes
TFCN_17-334C-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-334C-1	yes
TFCN_17-334D-6	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-334D-6	yes
TFCN_17-334Y-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-334Y-2	yes
TFCN_17-334Y-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-334Y-3	yes
TFCN_17-334Y-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-334Y-5	yes
TFCN_17-334Y-6	yes	yes	yes	Rhodotorula_diobovata_TFCN_17-334Y-6	yes
TFCN_17-337P-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-337P-5	yes
TFCN_17-338D-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-338D-3	yes
TFCN_17-390M-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17-390M-1	yes
TFCN_172A-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_172A-1	yes
TFCN_17Y-278-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_17Y-278-1	yes
TFCN_17_332M_1	yes	no	yes	Rhodotorula_mucilaginosa_TFCN_17-332M-1	yes
TFCN_181A-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_181A-1	yes
TFCN_186CL4_2	yes	no	no		no
TFCN_186DK3-2	yes	yes	yes	Rhodotorula_sp._clade_XI_TFCN_186DK3-2	yes
TFCN_1A-1-2	yes	yes	yes	Rhodotorula_paludigena_TFCN_1A-1-2	yes
TFCN_1A-1-3	yes	yes	yes	Rhodotorula_pacifica_TFCN_1A-1-3	yes
TFCN_1A-14	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_1A-14	yes
TFCN_1A_1_5	yes	no	no		no
TFCN_1B-1-2	yes	yes	yes	Rhodotorula_pacifica_TFCN_1B-1-2	yes
TFCN_209-6-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-1	yes
TFCN_209-6-11	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-11	yes
TFCN_209-6-12	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-12	yes
TFCN_209-6-14	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-14	yes
TFCN_209-6-17	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-17	yes
TFCN_209-6-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-2	yes
TFCN_209-6-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-4	yes
TFCN_209-6-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_209-6-5	yes
TFCN_211A-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_211A-3	yes
TFCN_211C_2	yes	no	no		no
TFCN_212C-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_212C-2	yes
TFCN_213-6-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_213-6-2	yes
TFCN_213-6-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_213-6-4	yes
TFCN_222A-2	yes	yes	yes	Rhodotorula_sp._clade_I_TFCN_222A-2	yes
TFCN_22C-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_22C-4	yes
TFCN_25-0-2E332-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-0-2E332-1	yes
TFCN_25-0-2E333-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-1	yes
TFCN_25-0-2E333-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-5	yes
TFCN_25-0-2E333-7	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-7	yes
TFCN_25-0-2E333-9	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-9	yes
TFCN_25-0-2E334-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-0-2E334-1	yes
TFCN_25-0-2E390-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-0-2E390-1	yes
TFCN_25-325Y-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-325Y-1	yes
TFCN_25-327D-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-327D-1	yes
TFCN_25-331D-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-331D-1	yes
TFCN_25-332C-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-332C-1	yes
TFCN_25-332D-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-332D-1	yes
TFCN_25-332D-2	yes	yes	no		no
TFCN_25-332M-1	yes	no	yes	Rhodotorula_mucilaginosa_TFCN_25-332M-1	yes
TFCN_25-332M-2	yes	yes	no		no
TFCN_25-332P-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-332P-2	yes
TFCN_25-332Y-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-332Y-1	yes
TFCN_25-333C-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-333C-2	yes
TFCN_25-333D-1	yes	no	yes	Rhodotorula_sp._clade_I_TFCN_25-333D-1	yes
TFCN_25-333D-5	yes	yes	yes	Rhodotorula_sp._clade_I_TFCN_25-333D-5	yes
TFCN_25-333P-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-333P-2	yes
TFCN_25-333P-5	yes	yes	yes	Rhodotorula_paludigena_TFCN_25-333P-5	yes
TFCN_25-333Y-10	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-333Y-10	yes
TFCN_25-333Y-2	yes	yes	yes	Rhodotorula_sp._clade_I_TFCN_25-333Y-2	yes
TFCN_25-333Y-9	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-333Y-9	yes
TFCN_25-334D-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-334D-3	yes
TFCN_25-334Y-6	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-334Y-6	yes
TFCN_25-335C-1	yes	yes	yes	Rhodotorula_diobovata_TFCN_25-335C-1	yes
TFCN_25-335P-1	yes	yes	yes	Rhodotorula_diobovata_TFCN_25-335P-1	yes
TFCN_25-335Y-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-335Y-1	yes
TFCN_25-337M-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-337M-3	yes
TFCN_25-337Y-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-337Y-1	yes
TFCN_25-395P-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_25-395P-1	yes
TFCN_270H-1	yes	yes	no		no
TFCN_270H-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_270H-2	yes
TFCN_273H-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_273H-1	yes
TFCN_2M-1-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_2M-1-4	yes
TFCN_2M_1_3	yes	no	no		no
TFCN_33A-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_33A-4	yes
TFCN_340-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_340-1	yes
TFCN_340-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_340-3	yes
TFCN_342-2	yes	no	yes	Rhodotorula_paludigena_TFCN_342-2	yes
TFCN_342-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_342-3	yes
TFCN_357-1	yes	yes	yes	Rhodotorula_taiwanensis_TFCN_357-1	yes
TFCN_363-1-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_363-1-2	yes
TFCN_3M-1-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_3M-1-1	yes
TFCN_404D-1	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_404D-1	yes
TFCN_43A-4	yes	yes	yes	Rhodotorula_paludigena_TFCN_43A-4	yes
TFCN_48A-10	yes	no	yes	Rhodotorula_paludigena_TFCN_48A-10	yes
TFCN_48A-15	yes	yes	yes	Rhodotorula_paludigena_TFCN_48A-15	yes
TFCN_48A-2	yes	yes	yes	Rhodotorula_paludigena_TFCN_48A-2	yes
TFCN_48A-3	yes	no	yes	Rhodotorula_paludigena_TFCN_48A-3	yes
TFCN_48C-3	yes	no	yes	Rhodotorula_paludigena_TFCN_48C-3	yes
TFCN_48D-10	yes	yes	yes	Rhodotorula_paludigena_TFCN_48D-10	yes
TFCN_48D-4	yes	no	yes	Rhodotorula_paludigena_TFCN_48D-4	yes
TFCN_49A-1	yes	no	yes	Rhodotorula_paludigena_TFCN_49A-1	yes
TFCN_4M-1-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_4M-1-2	yes
TFCN_4M-1-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_4M-1-3	yes
TFCN_4M-1-4	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_4M-1-4	yes
TFCN_4M-1-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_4M-1-5	yes
TFCN_54D-1	yes	no	yes	Rhodotorula_mucilaginosa_TFCN_54D-1	yes
TFCN_54D-2	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_54D-2	yes
TFCN_7-9-2	yes	yes	yes	Rhodotorula_diobovata_TFCN_7-9-2	yes
TFCN_7-9-3	yes	yes	yes	Rhodotorula_diobovata_TFCN_7-9-3	yes
TFCN_7W-292-3	yes	yes	yes	Rhodotorula_dairenensis_TFCN_7W-292-3	yes
TFCN_7_6_3	yes	no	no		no
TFCN_86A-12	yes	no	yes	Rhodotorula_mucilaginosa_TFCN_86A-12	yes
TFCN_86A-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_86A-3	yes
TFCN_86A-6	yes	yes	yes	Rhodotorula_sphaerocarpa_TFCN_86A-6	yes
TFCN_86A-8	yes	yes	yes	Rhodotorula_sphaerocarpa_TFCN_86A-8	yes
TFCN_86A_5	yes	no	no		no
TFCN_86C-10	yes	no	yes	Rhodotorula_sphaerocarpa_TFCN_86C-10	yes
TFCN_86C-7	yes	no	yes	Rhodotorula_sp._clade_I_TFCN_86C-7	yes
TFCN_86C-9	yes	yes	yes	Rhodotorula_sphaerocarpa_TFCN_86C-9	yes
TFCN_86C_3	yes	no	no		no
TFCN_89D-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_89D-3	yes
TFCN_98A-10	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98A-10	yes
TFCN_98A-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98A-5	yes
TFCN_98C-3	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98C-3	yes
TFCN_98C-5	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98C-5	yes
TFCN_98C-7	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98C-7	yes
TFCN_98C-8	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98C-8	yes
TFCN_98D-11	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98D-11	yes
TFCN_98D-7	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98D-7	yes
TFCN_98D-9	yes	yes	yes	Rhodotorula_mucilaginosa_TFCN_98D-9	yes
TFCN_S22D-1	yes	yes	yes	Rhodotorula_taiwanensis_TFCN_S22D-1	yes
