"species","orange_score_rank","orange_score_mean","patristic_dist_from_focal","above_mean_orange_score","distant_from_focal","candidate_convergent"
"Rhodotorula taiwanensis",1,4.22694140996463,0.591610792,TRUE,FALSE,FALSE
"Rhodotorula sphaerocarpa",2,1.79805225721004,0.600370287,TRUE,FALSE,FALSE
"Rhodotorula glutinis",3,1.41105073098793,1.08722637,TRUE,TRUE,TRUE
"Rhodotorula dairenensis",4,0.395315121950331,0,TRUE,FALSE,FALSE
"Rhodotorula mucilaginosa",5,0.0255320307140079,0.44216584,TRUE,FALSE,FALSE
"Rhodotorula paludigena",6,-0.114758833930082,0.911434805,TRUE,FALSE,FALSE
"Rhodotorula pacifica",7,-0.261626418236442,0.461954967,TRUE,FALSE,FALSE
"Rhodotorula sp. clade I",8,-0.442007635023444,1.145450059,TRUE,TRUE,TRUE
"Rhodotorula diobovata",9,-0.956959089781676,1.11489889,FALSE,TRUE,FALSE
"Rhodotorula kratochvilovae",10,-1.13733760232637,0.956581993,FALSE,TRUE,FALSE
"Rhodotorula toruloides",11,-1.27051477031782,0.846142225,FALSE,FALSE,FALSE
"Rhodotorula graminis",12,-2.43501541299152,1.062535624,FALSE,TRUE,FALSE
"Rhodotorula sp. clade XIII",13,-2.74713928150026,0.953414683,FALSE,FALSE,FALSE
"Rhodotorula sp. clade XI",14,-3.0322822649994,0.279534772,FALSE,FALSE,FALSE
"Rhodotorula araucariae",15,-5.87285670661427,0.981115533,FALSE,TRUE,FALSE
"Cystobasidium sp.",16,NA,1.686388934,NA,TRUE,NA
"Pseudomicrostroma phylloplanum",17,NA,1.218234731,NA,TRUE,NA
