"trait","n_species","K","K_p_value","lambda","lambda_logL","lambda_p_value"
"L*",16,0.282559604720305,0.795000000000001,7.33137435857406e-05,-29.26124917197,1
"a*",16,0.822975444929657,0.188,0.845785051123308,-33.8823308714097,0.00314990737138617
"b*",16,0.251020891247125,0.907000000000001,0.0224387786566457,-31.0523042567871,0.910579015657557
"C*",16,0.618718194459996,0.256,0.749332064550224,-34.5822024153796,0.0335589205764499
"h_deg",16,0.314354028659064,0.759000000000001,0.268560417142729,-62.3149389288733,0.150774842476682
"orange_score",14,0.349941870091905,0.591,0.100052783743198,-30.8363638894081,0.775984531126848
