"species","representative_tip","n_strains_in_species","within_species_max_patristic_dist","quality_value"
"Cystobasidium sp.","Cystobasidium_sp._DBVPG_10075.proteins",1,NA,NA
"Pseudomicrostroma phylloplanum","Pseudomicrostroma_phylloplanum_DBVPG_6740.proteins",1,NA,NA
"Rhodotorula araucariae","Rhodotorula_araucariae_NRRL_Y-17376.proteins",1,NA,NA
"Rhodotorula dairenensis","Rhodotorula_dairenensis_DBVPG_3773.proteins",9,0.117467115,95.2
"Rhodotorula diobovata","Rhodotorula_diobovata_NRRL_Y-7196.proteins",8,0.064670624,96.2
"Rhodotorula glutinis","Rhodotorula_glutinis_DBVPG_6081.proteins",1,NA,NA
"Rhodotorula graminis","Rhodotorula_graminis_NRRL_Y-2474.proteins",3,0.005714981,96.5
"Rhodotorula kratochvilovae","Rhodotorula_kratochvilovae_DBVPG_10383.proteins",3,0.028522232,96.5
"Rhodotorula mucilaginosa","Rhodotorula_mucilaginosa_TFCN_17-333P-6.proteins",201,0.42253357,97.9
"Rhodotorula pacifica","Rhodotorula_pacifica_TFCN_1B-1-2.proteins",2,0.005942118,93.6
"Rhodotorula paludigena","Rhodotorula_paludigena_NRRL_Y-12923.proteins",16,0.943084741,97
"Rhodotorula sp. clade I","Rhodotorula_sp._clade_I_TFCN_222A-2.proteins",8,0.057041543,96.4
"Rhodotorula sp. clade XI","Rhodotorula_sp._clade_XI_DBVPG_10348.proteins",2,0.012570129,96.4
"Rhodotorula sp. clade XIII","Rhodotorula_sp._clade_XIII_DBVPG_7947.proteins",1,NA,NA
"Rhodotorula sphaerocarpa","Rhodotorula_sphaerocarpa_NRRL_Y-7192.proteins",5,0.046737264,96
"Rhodotorula taiwanensis","Rhodotorula_taiwanensis_TFCN_357-1.proteins",6,0.058506596,97.1
"Rhodotorula toruloides","Rhodotorula_toruloides_TFCN_152A-4.proteins",8,0.843693406,97.1
