species,n_strains,species_missing_mean,species_missing_sd,n_replicates_mean,n_replicates_sd,L*_mean,L*_sd,a*_mean,a*_sd,b*_mean,b*_sd,C*_mean,C*_sd,h_deg_mean,h_deg_sd,L_z_mean,L_z_sd,a_z_mean,a_z_sd,b_z_mean,b_z_sd,orange_score_mean,orange_score_sd
Cystobasidium sp.,1,0.0,,1.0,,78.0228236979914,,7.032129320587277,,0.590445056433625,,7.056873822460636,,4.799519890086923,,,,,,,,,
Pseudomicrostroma phylloplanum,1,0.0,,1.0,,75.22988192149478,,10.897701620934896,,2.053186958055009,,11.089430882766449,,10.669766544664006,,,,,,,,,
Rhodotorula araucariae,1,0.0,,1.0,,78.80873699367484,,4.962276260984472,,1.6057026683572673,,5.215598407613424,,17.930640941870983,,-2.770212529971883,,-2.166494951661425,,-0.9361492249809652,,-5.872856706614273,
Rhodotorula dairenensis,8,0.0,0.0,1.0,0.0,75.49765015200197,1.5503884871184956,8.377654145972109,2.0116690584648946,5.933840815999237,2.659037229618019,10.427845992714964,2.7009445410248314,33.32979571668496,12.805090500100611,-0.441655096621213,1.0903273785586032,-0.6452695095454606,0.8960069005264233,1.482239728117005,1.4857627096510129,0.39531512195033125,1.9075023386062189
Rhodotorula diobovata,10,0.0,0.0,1.0,0.0,76.11048883318023,1.3399184693482862,8.154263173502951,1.4721841767775845,4.463102145523127,0.8439698499502878,9.342529247225176,1.3824640445568483,28.994245581054418,6.231751634403076,-0.8726404904629156,0.9423120748800506,-0.7447689038446483,0.6557177860284453,0.6604503045258876,0.4715762972999185,-0.9569590897816764,1.4702491101493433
Rhodotorula evergladensis,1,0.0,,1.0,,74.86840962891222,,11.45228074225843,,4.2949462735213935,,12.231160929852024,,20.55754087566848,,0.0008650689525168,,0.7241836990836312,,0.5664915884740198,,1.291540356510168,
Rhodotorula glutinis,3,0.0,0.0,1.0,0.0,72.43532338921798,0.8971121898710913,5.806568369789415,4.6061172514805175,5.946896743747787,2.408848583808903,8.509790671994926,4.6922049596221,53.49774117518758,21.130548381020958,1.7119591357456365,0.6309037962949956,-1.790443258483565,2.0515863802715884,1.4895348537258626,1.3459673896830147,1.4110507309879345,3.9592796073412093
Rhodotorula graminis,3,0.0,0.0,1.0,0.0,76.78326401886709,1.137167232695977,6.721322060391379,1.9283617989386375,3.80686077529873,1.6726490120374569,7.9024875414050335,1.5313094837428671,29.817525310153044,15.353438093835774,-1.345776875739208,0.7997250870409611,-1.383007643956179,0.8589014536412222,0.29376910670386275,0.9346087752132991,-2.435015412991524,1.720659435155683
Rhodotorula kratochvilovae,3,0.0,0.0,1.0,0.0,75.84235230987144,1.6856452332540408,4.754728512011585,1.3562368821379611,6.512678185407008,1.7601013359581603,8.09165462639465,2.0636506144331777,53.77481263635582,6.308830454008691,-0.6840705965401073,1.185448140013962,-2.258937699381739,0.6040743133323194,1.8056706935954756,0.9834736050496109,-1.1373376023263708,2.651387111975553
Rhodotorula mucilaginosa,216,0.0,0.0,1.0,0.0,74.87715073445676,1.2423562573214315,10.257344068118448,1.7804119487401187,2.9927215843673425,1.6086228524099129,10.794137734860467,1.8446443047178867,17.952398706109847,24.028140625172682,-0.005282207535455091,0.8737003999550625,0.19195326027648962,0.7930038915387944,-0.16113902202702662,0.8988335407197106,0.0255320307140079,1.9783746942469935
Rhodotorula pacifica,3,0.0,0.0,1.0,0.0,74.77809565787173,1.4065849448323007,10.558095649781842,1.246516595416189,2.1143901360128208,1.2630885385260213,10.831800873704298,1.0360381861919277,11.760577889540079,7.523117971421889,0.0643793404463789,0.9891959907863941,0.32590943531468236,0.5552043793753566,-0.6519151939975033,0.7057629087047974,-0.2616264182364422,1.2535340838950224
Rhodotorula paludigena,17,0.0,0.0,1.0588235294117647,0.24253562503633297,74.23554328636827,1.6909413597593117,8.296438464898856,2.7810679490801027,3.497211153273582,1.936107628812821,9.206955090154496,2.7467328586577056,39.88659541489201,66.4268470069466,0.445935131054424,1.1891726979405648,-0.6814433575083659,1.2387008005731202,0.12074939252386005,1.0818188195033915,-0.11475883393008188,1.9128716621610466
Rhodotorula sp. clade I,8,0.0,0.0,1.0,0.0,75.51496216406495,1.7997501579065394,10.013935884023685,2.6255714674268193,3.152760407968241,1.0625489714647662,10.57904839686491,2.466310480417508,18.367212053847716,8.758931082582677,-0.45382995530150777,1.2656936555158318,0.08353810537027373,1.1694419331750994,-0.07171578509220945,0.5937094905614289,-0.4420076350234436,2.052816367969967
Rhodotorula sp. clade XI,2,0.0,0.0,1.0,0.0,76.65261481800479,1.6315772342096058,7.584108124245301,3.910765608714817,1.8857551669620773,0.1138027957329101,7.840199263035457,3.8103972147737153,15.647396819514974,6.915960797385436,-1.2538964200530895,1.1474242381649489,-0.9987186558454458,1.7418734741706743,-0.7796671891008613,0.06358841022255209,-3.032282264999396,2.9528861225581746
Rhodotorula sp. clade XIII,1,0.0,,1.0,,74.19525051664161,,4.525341782047692,,1.7414428229112378,,4.848849487230517,,21.047731954364025,,0.4742714547281058,,-2.361107632389349,,-0.8603031038390186,,-2.747139281500262,
Rhodotorula sphaerocarpa,8,0.0,0.0,1.0,0.0,73.2014076640218,1.3620811054569588,10.764803336965139,1.8159171556725902,3.651343111956942,1.1963761291545116,11.427106334361996,1.7799840502647533,18.909583881046384,6.189144343878342,1.1732021299746243,0.9578981870906922,0.417978015545978,0.808818078411256,0.2068721116894374,0.6684867062465862,1.7980522572100397,1.080693425501921
Rhodotorula taiwanensis,6,0.0,0.0,1.0,0.0,72.82734237604448,0.9139726452720363,12.73168785836725,0.8561544128810195,5.959605817435871,0.9184177255796534,14.091893821332006,0.6434736963188071,25.14650436857434,4.337933248113062,1.4362675669530092,0.6427610928960451,1.2940376717300561,0.381335219443566,1.4966361712815683,0.5131747661708252,4.226941409964634,0.9052463493379304
Rhodotorula toruloides,10,0.0,0.0,1.0,0.0,75.29472836684391,0.8072260741515436,8.047417811213396,2.8323426331053145,2.960383446269615,1.9642364897883648,8.673036342590349,3.161503682057826,19.728591745876354,8.483709247324072,-0.29894816871115165,0.5676904186573312,-0.7923583328801284,1.2615387870279902,-0.1792082687265361,1.0975360919946928,-1.2705147703178161,2.379751049904191
