species,n_strains,single_strain_species
Cystobasidium sp.,1,True
Pseudomicrostroma phylloplanum,1,True
Rhodotorula araucariae,1,True
Rhodotorula dairenensis,8,False
Rhodotorula diobovata,10,False
Rhodotorula evergladensis,1,True
Rhodotorula glutinis,3,False
Rhodotorula graminis,3,False
Rhodotorula kratochvilovae,3,False
Rhodotorula mucilaginosa,216,False
Rhodotorula pacifica,3,False
Rhodotorula paludigena,17,False
Rhodotorula sp. clade I,8,False
Rhodotorula sp. clade XI,2,False
Rhodotorula sp. clade XIII,1,True
Rhodotorula sphaerocarpa,8,False
Rhodotorula taiwanensis,6,False
Rhodotorula toruloides,10,False
