sample_id,total_features,n_nonzero,prop_nonzero,nonzero_mode_prop,nonzero_n_unique,nonzero_cv,nonzero_median,nonzero_mean,sample_type
C_1,16332,6402,0.3919911829537105,0.00031240237425804435,6363,13.157272698263364,277980.0,5373869.208059981,C
C_100,16332,6756,0.4136664217487142,0.0002960331557134399,6698,7.443519376030418,179584.0,1924310.8512433392,C
C_104,16332,6456,0.3952975753122704,0.00046468401486988845,6414,11.299169941852902,276022.5,4324734.993494424,C
C_106,16332,6012,0.3681116825863336,0.000499001996007984,5969,8.882180211072116,302514.5,4319990.313705921,C
C_107,16332,5710,0.3496203771736468,0.0003502626970227671,5678,11.316154213916667,317667.0,6165517.760770578,C
C_108,16332,5375,0.3291084986529513,0.00037209302325581393,5347,11.214941316503158,327387.0,5674924.779162791,C
C_109,16332,5799,0.3550698016164585,0.0005173305742369374,5756,11.529115832995195,239829.0,3638191.534402483,C
C_11,16332,6422,0.3932157727161401,0.0004671441918405481,6376,11.863997671231235,290577.5,5919477.769230769,C
C_113,16332,6722,0.4115846191525839,0.0004462957453138947,6663,12.613693188833189,282967.0,4750756.33784588,C
C_115,16332,5565,0.34074210139603234,0.00035938903863432165,5538,9.666643992550842,318853.0,5520982.964959568,C
C_116,16332,5792,0.35464119519960813,0.0003453038674033149,5767,10.132673690132323,369548.5,5832638.478245856,C
C_117,16332,5732,0.3509674259123194,0.0003489183531053733,5701,10.280707513830205,326906.0,6133696.014654571,C
C_12,16332,6387,0.3910727406318883,0.0004697040864255519,6339,12.426479851432426,287068.0,6658440.757632691,C
C_124,16332,4911,0.30069801616458486,0.0006108735491753207,4861,7.001583384226559,135606.0,1370717.6234982691,C
C_125,16332,4506,0.27590007347538575,0.0006657789613848203,4459,7.386405927510923,136395.5,1576879.540834443,C
C_126,16332,5697,0.3488243938280676,0.000526592943654555,5649,11.0080192184096,209047.0,2981060.5741618397,C
C_127,16332,5784,0.3541513592946363,0.0005186721991701245,5751,10.898900377282882,311155.0,5879844.68637621,C
C_129,16332,5719,0.35017144256674015,0.0003497114880223815,5676,9.627637037775372,259872.0,3713793.702920091,C
C_13,16332,6447,0.3947465099191771,0.0003102218085931441,6399,12.218633160365878,260868.0,5189278.094462541,C
C_130,16332,5778,0.3537839823659074,0.00034614053305642093,5739,11.27118682997602,282551.5,4349269.881619938,C
C_131,16332,5700,0.349008082292432,0.0003508771929824561,5662,11.790487838126573,289549.5,5365479.066140351,C
C_133,16332,5849,0.3581312760225325,0.00034193879295606086,5813,12.809964174628096,291496.0,5703427.355616345,C
C_134,16332,5885,0.3603355375949057,0.0003398470688190314,5854,10.769197308148936,262967.0,3835839.567204758,C
