row ID	row m/z	row retention time	adduct	has_ms2	rho_auc	emp_p_perm_within_muc	best_identity	best_identity_source	library_NAME	library_cosine	library_matched_peaks	library_SMILES	library_INCHI	library_ORGANISM	analog_NAME	analog_cosine	analog_matched_peaks	analog_SMILES	analog_INCHI	analog_ORGANISM	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class
4951	554.2697	1.926625	[M+H]1+	True	0.3387	0.000999	His-Phe-Pro-Gly-Pro	sirius_structure													C26H39N3O10	[M + H]+	His-Phe-Pro-Gly-Pro	C1CC(N(C1)C(=O)CNC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)NC(=O)C(CC4=CN=CN4)N)C(=O)O	0.623	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives
1483	299.0993	0.605356	[M+H]1+	True	0.3243	0.000999	9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methyl-3H-purine-2,6-dione	sirius_structure							METHYLTHIOADENOSINE - 40.0 eV M+H	0.8951	8	CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N		GNPS-LIBRARY	C12H15FN4O2S	[M + H]+	9-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methyl-3H-purine-2,6-dione	CN1C(=O)C2=C(NC1=O)N(C=N2)C3C(C(C(O3)CO)O)O	0.319	Carbohydrates	Purine nucleosides	Purine nucleosides
17148	588.2539	2.294553	[M+H]1+	True	0.3187	0.000999		unidentified																				
5327	553.2858	1.183769	[M+H]1+	True	0.3167	0.000999		unidentified																				
1762	300.0917	0.693	[M+H]1+	True	0.3048	0.000999	2-amino-9-[(2R,4R,5R)-5-(hydroperoxymethyl)-3,4-dihydroxyoxolan-2-yl]-1H-purin-6-one	sirius_structure													C10H13N5O6	[M + H]+	2-amino-9-[(2R,4R,5R)-5-(hydroperoxymethyl)-3,4-dihydroxyoxolan-2-yl]-1H-purin-6-one	C1=NC2=C(N1C3C(C(C(O3)COO)O)O)N=C(NC2=O)N	0.505	Carbohydrates	Purine nucleosides	Purine nucleosides
28139	338.2046	0.683867	[M+H]1+	True	0.3039	0.000999	Massbank:ET201705 PRZ_M477 M+H	analog_library_match							Massbank:ET201705 PRZ_M477 M+H	0.716	6	CCCN(CCOC1=C(Cl)C=C(O)C(SCC(N)C(O)=O)=C1Cl)C(=O)N1C=CN=C1	1S/C18H22Cl2N4O5S/c1-2-4-23(18(28)24-5-3-22-10-24)6-7-29-15-11(19)8-13(25)16(14(15)20)30-9-12(21)17(26)27/h3,5,8,10,12,25H,2,4,6-7,9,21H2,1H3,(H,26,27)	MASSBANK								
22697	387.2702	4.97961	[M+H]1+	True	0.3016	0.000999	Massbank: Cholesterol [M+H]+	analog_library_match							Massbank: Cholesterol [M+H]+	0.8485	9	[H]C(C([H])([H])C([H])([H])C([H])([H])C(C(C4([H])[H])([H])C(C([H])([H])[H])(C3([H])[H])C(C4([H])[H])([H])C([H])(C([H])(C3([H])[H])1)C([H])([H])C([H])=C(C([H])([H])2)C1(C([H])([H])C([H])([H])C([H])(O[H])2)C([H])([H])[H])(C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H]	1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3	MASSBANK								
1979	300.0918	0.621469	[M+H]1+	True	0.3013	0.000999	Lysine, 6-[(1-carboxyethyl)carbamoyl]-, L-	sirius_structure								0.7325	6	CCC(C)C(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(=N)N)C(=O)O			C10H19N3O5	[M + K]+	Lysine, 6-[(1-carboxyethyl)carbamoyl]-, L-	CC(C(=O)O)NC(=O)C(CCCC(C(=O)O)N)N	0.222	Amino acids and Peptides	Dipeptides	Carboxylic acids and derivatives
48	298.0958	0.683	[M+H]1+	True	0.3005	0.000999	2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol [M+H]+	exact_library_match	2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol [M+H]+	0.9864	9	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)	MSNLIB-POSITIVE	2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol [M+H]+	0.9864	9	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)	MSNLIB-POSITIVE	C11H15N5O3S	[M + H]+	Methylthioadenosine	CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	0.847	Carbohydrates	Purine nucleosides	5'-deoxyribonucleosides
4299	1260.6807	2.516	[M+H]1+	True	-0.3287	0.000999		unidentified																				
