row ID	row m/z	row retention time	adduct	has_ms2	log2FC_a_over_b	q_value	q_value_perm_plate	q_used	q_used_source	blocking_robust	best_identity	best_identity_source	library_NAME	library_cosine	library_matched_peaks	library_SMILES	library_INCHI	library_ORGANISM	analog_NAME	analog_cosine	analog_matched_peaks	analog_SMILES	analog_INCHI	analog_ORGANISM	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class	comparison
190	447.3299	5.167	[M-H2O+H]1+	True	4.452809103827031	1.9809610854333066e-08	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.9181	9	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO											cell_dairenensis_vs_mucilaginosa
1793	636.4293	5.634988	[M+H]1+	True	4.533412455011511	4.5311650471447696e-08	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
234	513.34	5.409	[M-H2O+H]1+	True	7.833080003920939	1.4527301639938642e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.7309	6	CC(=O)OC1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O											cell_dairenensis_vs_mucilaginosa
1114	566.3878	5.427561	[M+NH3+H]1+	True	6.913250669092602	1.4527301639938642e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
539	454.3226	5.409	[M+H]1+	True	7.290169040259684	4.590003220530022e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	(7E,13E)-9,15-dihydroxy-4,10,16-trimethyl-1,5,11-trioxacyclohexadeca-7,13-diene-2,6,12-trione [M+H]+	analog_library_match							(7E,13E)-9,15-dihydroxy-4,10,16-trimethyl-1,5,11-trioxacyclohexadeca-7,13-diene-2,6,12-trione [M+H]+	0.8253	6		InChI=1S/C16H22O8/c1-9-8-16(21)24-11(3)13(18)5-7-15(20)23-10(2)12(17)4-6-14(19)22-9/h4-7,9-13,17-18H,8H2,1-3H3/b6-4+,7-5+	MONA									cell_dairenensis_vs_mucilaginosa
1371	411.3089	5.409	[M+H]1+	True	6.340102890106063	8.085315572212466e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.8403	8	CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O											cell_dairenensis_vs_mucilaginosa
777	532.3539	5.409	[M+H]1+	True	6.369371963344676	3.1070399446265275e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	[(2S,3R,4S,5R,6R)-6-[[(2R,3S,4S,5R,6R)-3,4-dihydroxy-6-[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenoxy]-5-[(2S,3R,4R,5S,6S)-3,4,5-triacetyloxy-6-methyloxan-2-yl]oxyoxan-2-yl]methoxy]-4,5-dihydroxy-2-methyloxan-3-yl] acetate [M+NH4]+	analog_library_match							[(2S,3R,4S,5R,6R)-6-[[(2R,3S,4S,5R,6R)-3,4-dihydroxy-6-[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenoxy]-5-[(2S,3R,4R,5S,6S)-3,4,5-triacetyloxy-6-methyloxan-2-yl]oxyoxan-2-yl]methoxy]-4,5-dihydroxy-2-methyloxan-3-yl] acetate [M+NH4]+	0.7194	7		InChI=1S/C46H72O18/c1-24(2)15-12-16-25(3)17-13-18-26(4)19-14-20-27(5)21-22-55-45-41(64-46-43(62-33(11)50)42(61-32(10)49)40(29(7)58-46)60-31(9)48)36(52)35(51)34(63-45)23-56-44-38(54)37(53)39(28(6)57-44)59-30(8)47/h15,17,19,21,28-29,34-46,51-54H,12-14,16,18,20,22-23H2,1-11H3/b25-17+,26-19+,27-21+/t28-,29-,34+,35+,36-,37-,38+,39-,40-,41+,42+,43+,44+,45+,46-/m0/s1	MONA									cell_dairenensis_vs_mucilaginosa
433	530.336	5.324225	[M+Na]1+	True	8.397858441696682	3.962228139025591e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.7168	6	CCC[C@H]1CC(=O)C=C(C)C1											cell_dairenensis_vs_mucilaginosa
5563	599.3744	5.555955	[M+H]1+	True	5.7440444363793866	3.962228139025591e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.7422	6	C=C(C)[C@@H]1CC=C(C(=O)O)CC1											cell_dairenensis_vs_mucilaginosa
406	502.3049	5.14	[M+Na]1+	True	3.491413604286717	4.406778737222267e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14 M+Na	exact_library_match	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14 M+Na	0.7509	6	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O	InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h9-10,22,25H,2-8,11-21,24H2,1H3,(H,27,28)/b10-9-/t22-/m1/s1	GNPS-NIST14-MATCHES		0.7663	6	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OCC(O)COP(=O)(O)OCCN											cell_dairenensis_vs_mucilaginosa
1104	543.3503	5.530306	[M-H2O+H]1+	True	6.768024578630266	6.091304758689036e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.7936	9	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCC											cell_dairenensis_vs_mucilaginosa
726	538.3566	5.264594	[M+NH3+H]1+	True	3.366624563545365	1.0183289828169848e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
674	443.2986	5.088	[M-H2O+H]1+	True	3.1490984741845	1.255461041418592e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.9145	10	CC(=O)OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O											cell_dairenensis_vs_mucilaginosa
664	486.3125	5.255	[M-2H2O+H]1+	True	3.906650788767254	1.3279842844197304e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	(7E,13E)-9,15-dihydroxy-4,10,16-trimethyl-1,5,11-trioxacyclohexadeca-7,13-diene-2,6,12-trione [M+H]+	analog_library_match							(7E,13E)-9,15-dihydroxy-4,10,16-trimethyl-1,5,11-trioxacyclohexadeca-7,13-diene-2,6,12-trione [M+H]+	0.7374	6		InChI=1S/C16H22O8/c1-9-8-16(21)24-11(3)13(18)5-7-15(20)23-10(2)12(17)4-6-14(19)22-9/h4-7,9-13,17-18H,8H2,1-3H3/b6-4+,7-5+	MONA									cell_dairenensis_vs_mucilaginosa
2518	583.3427	5.81	[M+H]1+	True	4.1423005355740665	1.4112029021081184e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
5166	247.2412	5.409	[M+H]1+	True	4.73885192282709	1.4222055397106871e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified		0.9845	11	CCCCCCCC/C=C\CCCCCCCC(=O)NCC(=O)O				0.9845	11	CCCCCCCC/C=C\CCCCCCCC(=O)NCC(=O)O											cell_dairenensis_vs_mucilaginosa
27130	478.3487	5.702132	[M+H]1+	True	4.610081964945002	1.4222055397106871e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
258	489.3404	5.272875	[M-H2O+H]1+	True	4.257792501374002	1.4222055397106871e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.8743	10	CC1OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O1											cell_dairenensis_vs_mucilaginosa
25047	463.3011	5.682696	[M+H]1+	True	3.878687262276349	1.4222055397106871e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.7432	6	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(CO)OC(C)=O											cell_dairenensis_vs_mucilaginosa
3093	566.3878	5.264013	[M+H]1+	True	3.744420555217824	1.4222055397106871e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
6120	601.2961	5.36	[M+K]1+	True	4.048340631198665	1.7776859219458292e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.9299	11	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC/C=C\CCCCCCCC											cell_dairenensis_vs_mucilaginosa
6487	576.3208	5.419	[M+H]1+	True	3.548220288736483	1.8062785757646246e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
11582	599.3159	5.553	[M+K]1+	True	5.611891463665605	2.0223907011459848e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
490	499.3225	5.377	[M+H]1+	True	5.983524772900802	2.414604292055471e-05	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified																					cell_dairenensis_vs_mucilaginosa
