ont_level,class_id,fraction,predictor,n_members,mean_signed_rho,mean_signed_rho_empirical_p,mean_signed_rho_empirical_fdr,gsea_es,gsea_es_empirical_p,gsea_es_empirical_fdr
npc_pathway,Alkaloids,cell,area,237,-0.07077492381397096,0.001996007984031936,0.0034930139720558877,0.06143448247698141,0.782435129740519,0.8682634730538922
npc_pathway,Amino acids and Peptides,cell,area,1424,-0.110803878196665,0.001996007984031936,0.0034930139720558877,0.3030093720774003,0.03592814371257485,0.18862275449101798
npc_pathway,Carbohydrates,cell,area,97,0.0027024247391281052,0.9461077844311377,0.9461077844311377,0.21974772349516147,0.1996007984031936,0.34930139720558884
npc_pathway,Fatty acids,cell,area,1055,-0.015415748490179926,0.18562874251497005,0.21656686626746505,0.2801598812310855,0.05389221556886228,0.18862275449101798
npc_pathway,Polyketides,cell,area,95,-0.06539448479608985,0.005988023952095809,0.008383233532934133,0.10207231422873486,0.7964071856287425,0.8682634730538922
npc_pathway,Shikimates and Phenylpropanoids,cell,area,29,-0.12996124400626224,0.001996007984031936,0.0034930139720558877,0.23200524858499483,0.12974051896207583,0.30272787757817693
npc_pathway,Terpenoids,cell,area,193,-0.06245119022682426,0.001996007984031936,0.0034930139720558877,0.07106578387943002,0.8682634730538922,0.8682634730538922
npc_class,2-pyrone derivatives,cell,area,3,-0.06740072579488637,0.249500998003992,0.4294296023337939,0.34473936680524464,0.9560878243512974,0.9935746484558972
npc_class,3-Spirotetramic acids,cell,area,1,0.017440369849128976,0.7465069860279441,0.8849321225099469,0.7571108980504954,0.36926147704590817,0.830688622754491
npc_class,Abietane diterpenoids,cell,area,1,-0.04212266410408037,0.720558882235529,0.8598669328010646,0.5893256631511665,0.8682634730538922,0.9620878724478754
npc_class,Acetate-derived alkaloids,cell,area,1,0.08868758490259526,0.7904191616766467,0.9174167793445368,0.8830297219558965,0.8383233532934131,0.9620878724478754
npc_class,Acridone alkaloids,cell,area,6,-0.030465995386478335,0.3852295409181637,0.5944490329685457,0.47759282970550576,0.11776447105788423,0.627663591735448
npc_class,Acyclic monoterpenoids,cell,area,1,0.055536850195562905,0.37924151696606784,0.5902976655384882,0.8290188558644934,0.25349301397205587,0.781561876247505
npc_class,Acyl phloroglucinols,cell,area,2,-0.14746158950538513,0.1656686626746507,0.31215463809223654,0.5882352941176471,0.936127744510978,0.9877891276270988
npc_class,Aminoacids,cell,area,63,-0.06836051423812624,0.003992015968063872,0.016617926936824023,0.09031109454976427,0.8323353293413174,0.9620878724478754
npc_class,Aminoglycosides,cell,area,12,-0.03532638329270934,0.21357285429141717,0.38229540918163674,0.2664635450074835,0.2634730538922156,0.781561876247505
npc_class,Aminosugars,cell,area,10,-0.018117744899852562,0.592814371257485,0.7724410334261056,0.2974358974358975,0.3033932135728543,0.8014781248314182
npc_class,Anabaenopeptins,cell,area,12,-0.1233939266938513,0.001996007984031936,0.010508394974756368,0.27303827239683554,0.4530938123752495,0.9051230871590152
npc_class,Androstane steroids,cell,area,1,-0.01431065285079883,0.8203592814371258,0.9347845190122899,0.668903803131991,0.5369261477045908,0.9378742514970059
npc_class,Ansa macrolides,cell,area,4,-0.053413163808457544,0.12375249500998003,0.24342523743721348,0.30166346769033914,0.8303393213572854,0.9620878724478754
npc_class,Anthranillic acid derivatives,cell,area,3,-0.21242206721022247,0.001996007984031936,0.010508394974756368,0.6463063639270866,0.18762475049900199,0.7378720819231102
npc_class,Anthraquinones and anthrones,cell,area,4,0.008148764519860484,0.846307385229541,0.9389635363419503,0.3873960332693538,0.5069860279441117,0.9378742514970059
npc_class,Antimycins,cell,area,1,-0.017693399527899452,0.7744510978043913,0.906057166712327,0.6589964844998402,0.6646706586826348,0.9564256103178259
npc_class,Apocarotenoids (β-),cell,area,3,-0.10876037927021594,0.00998003992015968,0.03190048474479612,0.39388124933375973,0.6147704590818364,0.9564256103178259
npc_class,Aromadendrane sesquiterpenoids,cell,area,1,-0.1899554714024669,0.001996007984031936,0.010508394974756368,0.7992968999680409,0.2654690618762475,0.781561876247505
npc_class,Ascarosides,cell,area,1,-0.03797528083125049,0.5329341317365269,0.7253976894695459,0.602428891019495,0.7465069860279441,0.9620878724478754
npc_class,Azaphilones,cell,area,2,-0.13549432060525596,0.005988023952095809,0.02101678994951274,0.40824808184143224,0.7425149700598802,0.9620878724478754
npc_class,Benzodiazepine alkaloids,cell,area,5,-0.1154739260830721,0.001996007984031936,0.010508394974756368,0.4159999999999999,0.4530938123752495,0.9051230871590152
npc_class,Beyerane diterpenoids,cell,area,2,-0.17361953106496925,0.003992015968063872,0.016617926936824023,0.7157928388746803,0.3712574850299401,0.830688622754491
npc_class,Bisabolane sesquiterpenoids,cell,area,4,-0.11666581043224594,0.003992015968063872,0.016617926936824023,0.4609724888035829,0.3213572854291417,0.8014781248314182
npc_class,Bisnaphthalenes,cell,area,2,0.030939406659118027,0.6027944111776448,0.7724410334261056,0.7535166240409207,0.23952095808383234,0.781561876247505
npc_class,Branched fatty acids,cell,area,5,-0.0784182267427834,0.03992015968063872,0.10208155118334758,0.36448,0.4930139720558882,0.9378742514970059
npc_class,Cannabinoids,cell,area,2,0.004077410268169187,0.9580838323353293,0.989560205431833,0.6656010230179028,0.6127744510978044,0.9564256103178259
npc_class,Carbazole alkaloids,cell,area,3,-0.04344964204909461,0.31137724550898205,0.5160789532047018,0.5027182603133995,0.3592814371257485,0.8245048364808844
npc_class,Carboline alkaloids,cell,area,16,-0.07186943876737015,0.005988023952095809,0.02101678994951274,0.30358863198458574,0.1437125748502994,0.6769618657421997
npc_class,Cardenolides,cell,area,4,-0.00037878606906893014,0.9960079840319361,0.9960079840319361,0.354766474728087,0.5449101796407185,0.9378742514970059
npc_class,"Carotenoids (C40, β-β)",cell,area,10,-0.10773242294153858,0.001996007984031936,0.010508394974756368,0.28397435897435896,0.31137724550898205,0.8014781248314182
npc_class,"Carotenoids (C40, π-Χ)",cell,area,4,0.012674622752906352,0.8522954091816367,0.9389635363419503,0.5588611644273833,0.3313373253493014,0.8014781248314182
npc_class,"Carotenoids (C40, π-π)",cell,area,1,0.03390778178062789,0.5748502994011976,0.7622089155023286,0.7932246724193033,0.3093812375249501,0.8014781248314182
npc_class,Caryophyllane sesquiterpenoids,cell,area,2,-0.08027089356878911,0.07784431137724551,0.17417664670658684,0.3897058823529411,0.8283433133732535,0.9620878724478754
