ont_level,class_id,fraction,predictor,n_members,spearman_rho,empirical_p,empirical_fdr,n_strains
npc_pathway,Alkaloids,cell,area,237,-0.2693507951902113,0.001996007984031936,0.0027944111776447103,274
npc_pathway,Amino acids and Peptides,cell,area,1424,-0.28866987027570973,0.001996007984031936,0.0027944111776447103,274
npc_pathway,Carbohydrates,cell,area,97,0.03579690382610088,0.8942115768463074,0.8942115768463074,274
npc_pathway,Fatty acids,cell,area,1055,-0.2374405156886909,0.001996007984031936,0.0027944111776447103,274
npc_pathway,Polyketides,cell,area,95,-0.29646528653827925,0.003992015968063872,0.004657351962741183,274
npc_pathway,Shikimates and Phenylpropanoids,cell,area,29,-0.3063712929406361,0.001996007984031936,0.0027944111776447103,274
npc_pathway,Terpenoids,cell,area,193,-0.3029452299525293,0.001996007984031936,0.0027944111776447103,274
npc_class,2-pyrone derivatives,cell,area,3,-0.07995595645230683,0.20159680638722555,0.3537826308167978,274
npc_class,3-Spirotetramic acids,cell,area,1,0.017440369849128976,0.7465069860279441,0.8676931850584544,274
npc_class,Abietane diterpenoids,cell,area,1,-0.04212266410408037,0.720558882235529,0.854172449802382,274
npc_class,Acetate-derived alkaloids,cell,area,1,0.08868758490259526,0.7904191616766467,0.8954748730387327,274
npc_class,Acridone alkaloids,cell,area,6,-0.062052691833713744,0.29740518962075846,0.4711108755939448,274
npc_class,Acyclic monoterpenoids,cell,area,1,0.055536850195562905,0.37924151696606784,0.5657019294743845,274
npc_class,Acyl phloroglucinols,cell,area,2,-0.14732566703369623,0.2055888223552894,0.3538499923230462,274
npc_class,Aminoacids,cell,area,63,-0.17628240372765924,0.013972055888223553,0.040338677483742195,274
npc_class,Aminoglycosides,cell,area,12,-0.20600392308421506,0.007984031936127744,0.02598439484667029,274
npc_class,Aminosugars,cell,area,10,-0.054296360573732834,0.6007984031936128,0.7564594948034965,274
npc_class,Anabaenopeptins,cell,area,12,-0.2843780963148824,0.001996007984031936,0.009161164849787603,274
npc_class,Androstane steroids,cell,area,1,-0.01431065285079883,0.8203592814371258,0.9130627633621644,274
npc_class,Ansa macrolides,cell,area,4,-0.06597033035632757,0.2554890219560878,0.41575031754672465,274
