structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	2	0.751	0.751	-208.130		0.046	114.490	C19H25N3O4	[M + H]+	C19H26N3O4+	ZJPGOXWRFNKIQL	InChI=1S/C19H25N3O4/c20-14(12-13-6-2-1-3-7-13)17(23)21-10-4-8-15(21)18(24)22-11-5-9-16(22)19(25)26/h1-3,6-7,14-16H,4-5,8-12,20H2,(H,25,26)	(R)-1-[(S)-1-((S)-2-Amino-3-phenyl-propionyl)-pyrrolidine-2-carbonyl]-pyrrolidine-2-carboxylic acid	C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)N)C(=O)O	1.038	10133081;44352420	CHEBI:(73644);PUBCHEM:(10133081 44352420);PUBMED	98	360.191	88	1.467	876482719641362527	876482681334784006	876482681330589701	6515	
1	2	0.258	0.258	-198.262		0.094	148.957	C32H39N7O6	[M + K]+	C32H39KN7O6+	RIGPFZUZYBKBKD	InChI=1S/C32H39N7O6/c1-18(2)11-25(38-32(45)27(37-28(40)14-33)13-20-16-35-24-10-6-4-8-22(20)24)31(44)39-26(30(43)36-17-29(41)42)12-19-15-34-23-9-5-3-7-21(19)23/h3-10,15-16,18,25-27,34-35H,11-14,17,33H2,1-2H3,(H,36,43)(H,37,40)(H,38,45)(H,39,44)(H,41,42)	H-Gly-Trp-Leu-Trp-Gly-OH	CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NCC(=O)O)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)CN	1.530	102513627	PUBCHEM:(102513627)	2	656.256	159	2.643	876483560519622802	876482681750020114	876482681745825809	13972	
1	1	0.295	0.295	-234.803		0.814	59.525	C26H40N4O6S	[M + H]+	C26H41N4O6S+	QDKIENMVMZEYTI	InChI=1S/C26H40N4O6S/c1-16(2)13-20(25(34)30-22(17(3)4)26(35)36)28-24(33)21(14-18-9-7-6-8-10-18)29-23(32)19(27-15-31)11-12-37-5/h6-10,15-17,19-22H,11-14H2,1-5H3,(H,27,31)(H,28,33)(H,29,32)(H,30,34)(H,35,36)	For-Met-Phe-Leu-Val-OH	CC(C)CC(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCSC)NC=O	2.603	101926391	PUBCHEM:(101926391)	2	537.274	187	3.119	876482852076511357	876482682232365094	876482682232365093	45184	
1	8	0.167	0.167	-181.601		0.009	43.821	C12H11FN4O3	[M + Na]+	C12H11FN4NaO3+	FPHJRCSUYMUKMX	InChI=1S/C12H11FN4O3/c1-16-10(18)9(11(19)17(2)12(16)20)15-14-8-5-3-7(13)4-6-8/h3-6,18H,1-2H3	5-[(4-Fluorophenyl)diazenyl]-6-hydroxy-1,3-dimethylpyrimidine-2,4-dione	CN1C(=C(C(=O)N(C1=O)C)N=NC2=CC=C(C=C2)F)O	1.300	2753914	COCONUT:(CNP0477677);PUBCHEM:(2753914)	2097154	301.070	237	3.949	876482713572204635	876482682010066970	876482682005872665	34917	
1	2	0.092	0.092	-240.154		0.337	43.953	C31H52O3	[M + K]+	C31H52KO3+	RKYCSEUXODRKTL	InChI=1S/C31H52O3/c1-6-16-31(34,17-7-2)19-8-10-22(3)27-14-15-28-24(11-9-18-30(27,28)5)12-13-25-20-26(32)21-29(33)23(25)4/h12-13,22,26-29,32-34H,4,6-11,14-21H2,1-3,5H3	(1S,3R,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-propylnonan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol	CCCC(CCC)(CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)O	6.800	9547602;6439071;88358726;13848752;73946594	LIPIDMAPS:(LMST03020498);MESH:(9547602);PUBCHEM:(9547602 6439071 88358726 13848752 73946594);PUBMED	2147483718	511.351	281	4.683	876482825690144884	876482681196371970	876482681192177665	4197	
1	3	0.457	0.457	-360.523		0.150	12.734	C27H46N4O6	[M + Na]+	C27H46N4NaO6+	ZLMCOZNQHMOQQG	InChI=1S/C27H46N4O6/c1-24(2,3)12-15(18(32)20(28)33)29-21(34)17-16-14(27(16,10)11)13-31(17)22(35)19(25(4,5)6)30-23(36)37-26(7,8)9/h14-17,19H,12-13H2,1-11H3,(H2,28,33)(H,29,34)(H,30,36)	tert-butyl N-[(2S)-1-[(2S)-2-[(1-amino-5,5-dimethyl-1,2-dioxohexan-3-yl)carbamoyl]-6,6-dimethyl-3-azabicyclo[3.1.0]hexan-3-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate	CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NC(CC(C)(C)C)C(=O)C(=O)N)C	3.800	58604943;23647804;21017337;71178379;44422857	PUBCHEMANNOTATIONBIO;PUBCHEM:(58604943 23647804 21017337 71178379 44422857);PUBMED	16777282	545.328	286	4.765	876482701182230604	876482682119118878	876482682114924573	40991	
1	1	0.827	0.827	-32.247		0.545	55.702	C5H14NO4P	[M + H]+	C5H15NO4P+	YHHSONZFOIEMCP	InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1	Chop	C[N+](C)(C)CCOP(=O)(O)O	-1.500	89678543;140611651;3330960;71751656;10631332;10631333;1014;135437	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0001565);MiMeDB:(MMDBc0000391);BloodExposome:(1014 135437 7886 3330960);SUPERNATURAL:(SN0450404);MESH:(1014 135437);FooDB:(FDB031111);PUBCHEM:(89678543 140611651 3330960 71751656 10631332 10631333 1014 135437);GNPS:(CCMSLIB00000577975);COCONUT:(CNP0191945);NORMAN:(NS00041278 NS00068575);PLANTCYC:(PHOSPHORYL-CHOLINE);CHEBI:(18132 61040 295975);KEGG:(C00588);DSSTox:(DTXSID30861727 DTXSID80983064 DTXSID90910205);LOTUS:(Q7187582 Q576895);YMDB:(YMDB00191);PUBCHEMANNOTATIONDRUG;PUBMED;KNAPSACK:(YHHSONZFOIEMCP-UHFFFAOYSA-O)	139376136574	184.073	290	4.839	876482692256751674	876482680818884602	876482680793718777	1318	
1	1	0.063	0.063	-622.305		1.000	126.054	C30H44N2O7	[M + H]+	C30H45N2O7+	UVVPZLUJAJCSMH	InChI=1S/C30H44N2O7/c33-26(21-32-17-12-7-5-3-1-2-4-6-8-13-18-37-30(32)35)25(20-23-14-10-9-11-15-23)31-29(34)39-27-22-38-28-24(27)16-19-36-28/h6,8-11,14-15,24-28,33H,1-5,7,12-13,16-22H2,(H,31,34)	N-[(1S,2R)-1-Benzyl-2-hydroxy-3-(2-oxo-1-oxa-3-aza-12-cyclopentadecene-3-yl)propyl]carbamic acid (3R)-2,3,3abeta,4,5,6abeta-hexahydrofuro[2,3-b]furan-3alpha-yl ester	C1CCCCN(C(=O)OCCC=CCCC1)CC(C(CC2=CC=CC=C2)NC(=O)OC3COC4C3CCO4)O	5.400	102463988;6477642	PUBCHEMANNOTATIONBIO;PUBCHEM:(102463988 6477642);PUBMED	16777282	545.330	321	5.358	876482693229830212	876482681473196042	876482681469001737	8023	
1	1	0.664	0.664	-124.670		1.000	49.569	C24H50NO7P	[M + H]+	C24H51NO7P+	ASWBNKHCZGQVJV	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1	1-Palmitoyl-sn-glycero-3-phosphocholine-d9	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.600	163332445;163332446;5313979;124202819;124202820;136212657;136212658;156589020;156589021;10097314;71751445;71751446;86554;86555;460602;460603;164516790;164516791	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0010382 HMDB0256091);MiMeDB:(MMDBc0000631);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(460603 86555 460602 86554);LIPIDMAPS:(LMGP01050018 LMGP01050113);SUPERNATURAL:(SN0014501);MESH:(86554 460602);FooDB:(FDB027533);PUBCHEM:(163332445 163332446 5313979 124202819 124202820 136212657 136212658 156589020 156589021 10097314 71751445 71751446 86554 86555 460602 460603 164516790 164516791);GNPS:(CCMSLIB00003134510);METACYC:(CPD-8343);PLANTCYC:(CPD-8343);CHEBI:(28468 72998);KEGG:(C04102);DSSTox:(DTXSID30914020 DTXSID401121558 DTXSID901306323);LOTUS:(Q92466416 Q27105001 Q27103710);YMDB:(YMDB01179);PUBCHEMANNOTATIONDRUG;LIPID:(LPC(16:0));PUBMED	145883339118	496.333	330	5.500	876482694446178377	876482681045377022	876482681036988413	2084	
1	1	0.150	0.150	-182.480		0.963	108.439	C41H66O11	[M + H]+	C41H67O11+	IBAJNOZMACNWJD	InChI=1S/C41H66O11/c1-21-28(43)30(45)31(46)33(50-21)52-32-29(44)24(42)20-49-34(32)51-27-12-13-38(6)25(37(27,4)5)11-14-40(8)26(38)10-9-22-23-19-36(2,3)15-17-41(23,35(47)48)18-16-39(22,40)7/h9,21,23-34,42-46H,10-20H2,1-8H3,(H,47,48)	Beta-Hederin	CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O	4.900	118701268;21603410;4483449;163188836;23304430;5317034;22524203;102219084;162990521;162990522;162990523;162990524;162990525;162990526;162990527;162990528;162990529;162990530;6325333;10259405;71697454;71697663;131676020;166005309;441929;133564715;72700372;72734450;44250278;158646431	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0249131);TeroMol:(TKC143955 TKC150699 TKC143960 TKC143949 TKC143958 TKC102897 TKC143956 TKC143954 TKC143953 TKC143959 TKC088947 TKC102898 TKC143951 TKC102899 TKC060643 TKC143948 TKC143957 TKC143950);BloodExposome:(118701268 4483449 441929);SUPERNATURAL:(SN0140837);MESH:(441929);PUBCHEM:(118701268 21603410 4483449 163188836 23304430 5317034 22524203 102219084 162990521 162990522 162990523 162990524 162990525 162990526 162990527 162990528 162990529 162990530 6325333 10259405 71697454 71697663 131676020 166005309 441929 133564715 72700372 72734450 44250278 158646431);COCONUT:(CNP0263507);NORMAN:(NS00094846);CHEBI:(10419);KEGG:(C08955);DSSTox:(DTXSID90331673);LOTUS:(Q105036388 Q105036389 Q105036394 Q27108632 Q105036392 Q105036391 Q105036395 Q105036390);PUBMED;KNAPSACK:(IBAJNOZMACNWJD-UHFFFAOYSA-N)	137740157310	735.468	340	5.659	876482816349429865	876482681603219470	876482681599025165	12287	
